Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,5,5,0.0104216603789316%,0.0104216603789316%
20000,14,14,0.0291806490610084%,0.0291806490610084%
30000,19,19,0.03960230943994%,0.03960230943994%
40000,32,32,0.0666986264251621%,0.0666986264251621%
50000,40,40,0.0833732830314526%,0.0833732830314526%
60000,44,44,0.0917106113345978%,0.0917106113345978%
70000,57,57,0.11880692831982%,0.11880692831982%
80000,64,64,0.133397252850324%,0.133397252850324%
90000,68,68,0.141734581153469%,0.141734581153469%
100000,74,74,0.154240573608187%,0.154240573608187%
110000,75,75,0.156324905683974%,0.156324905683974%
120000,82,82,0.170915230214478%,0.170915230214478%
130000,88,88,0.183421222669196%,0.183421222669196%
140000,96,96,0.200095879275486%,0.200095879275486%
150000,101,101,0.210517539654418%,0.210517539654418%
160000,104,104,0.216770535881777%,0.216770535881777%
170000,105,105,0.218854867957563%,0.218854867957563%
180000,118,118,0.245951184942785%,0.245951184942785%
190000,127,127,0.264710173624862%,0.264710173624862%
200000,136,136,0.283469162306939%,0.283469162306939%
210000,141,141,0.29389082268587%,0.29389082268587%
220000,146,146,0.304312483064802%,0.304312483064802%
230000,152,152,0.31681847551952%,0.31681847551952%
240000,163,163,0.339746128353169%,0.339746128353169%
250000,171,171,0.35642078495946%,0.35642078495946%
260000,173,173,0.360589449111032%,0.360589449111032%
270000,177,177,0.368926777414178%,0.368926777414178%
280000,178,178,0.371011109489964%,0.371011109489964%
290000,187,187,0.389770098172041%,0.389770098172041%
300000,190,190,0.3960230943994%,0.3960230943994%
310000,197,197,0.410613418929904%,0.410613418929904%
320000,199,199,0.414782083081477%,0.414782083081477%
330000,204,204,0.425203743460408%,0.425203743460408%
340000,213,213,0.443962732142485%,0.443962732142485%
350000,219,219,0.456468724597203%,0.456468724597203%
360000,225,225,0.468974717051921%,0.468974717051921%
370000,231,231,0.481480709506639%,0.481480709506639%
380000,233,233,0.485649373658211%,0.485649373658211%
390000,241,241,0.502324030264502%,0.502324030264502%
400000,246,246,0.512745690643433%,0.512745690643433%
410000,251,251,0.523167351022365%,0.523167351022365%
420000,260,260,0.541926339704442%,0.541926339704442%
430000,264,264,0.550263668007587%,0.550263668007587%
440000,268,268,0.558600996310732%,0.558600996310732%
450000,277,277,0.577359984992809%,0.577359984992809%
460000,284,284,0.591950309523313%,0.591950309523313%
470000,289,289,0.602371969902245%,0.602371969902245%
480000,295,295,0.614877962356963%,0.614877962356963%
490000,299,299,0.623215290660108%,0.623215290660108%
500000,305,305,0.635721283114826%,0.635721283114826%
510000,314,314,0.654480271796903%,0.654480271796903%
520000,322,322,0.671154928403193%,0.671154928403193%
530000,326,326,0.679492256706338%,0.679492256706338%
540000,336,336,0.700335577464202%,0.700335577464202%
550000,345,345,0.719094566146278%,0.719094566146278%
560000,350,350,0.72951622652521%,0.72951622652521%
570000,354,354,0.737853554828355%,0.737853554828355%
580000,357,357,0.744106551055714%,0.744106551055714%
590000,366,366,0.762865539737791%,0.762865539737791%
600000,372,372,0.775371532192509%,0.775371532192509%
610000,375,375,0.781624528419868%,0.781624528419868%
620000,380,380,0.792046188798799%,0.792046188798799%
630000,382,382,0.796214852950372%,0.796214852950372%
640000,387,387,0.806636513329304%,0.806636513329304%
650000,391,391,0.814973841632449%,0.814973841632449%
660000,398,398,0.829564166162953%,0.829564166162953%
670000,401,401,0.835817162390312%,0.835817162390312%
680000,403,403,0.839985826541885%,0.839985826541885%
690000,410,410,0.854576151072389%,0.854576151072389%
700000,415,415,0.86499781145132%,0.86499781145132%
710000,424,424,0.883756800133397%,0.883756800133397%
720000,433,433,0.902515788815474%,0.902515788815474%
730000,439,439,0.915021781270192%,0.915021781270192%
740000,442,442,0.921274777497551%,0.921274777497551%
750000,450,450,0.937949434103841%,0.937949434103841%
760000,463,463,0.965045751089063%,0.965045751089063%
770000,467,467,0.973383079392209%,0.973383079392209%
780000,473,473,0.985889071846927%,0.985889071846927%
790000,482,482,1.004648060529%,1.004648060529%
800000,485,485,1.01090105675636%,1.01090105675636%
810000,491,491,1.02340704921108%,1.02340704921108%
820000,494,494,1.02966004543844%,1.02966004543844%
830000,500,500,1.04216603789316%,1.04216603789316%
840000,506,506,1.05467203034787%,1.05467203034787%
850000,511,511,1.06509369072681%,1.06509369072681%
860000,518,518,1.07968401525731%,1.07968401525731%
870000,523,523,1.09010567563624%,1.09010567563624%
880000,528,528,1.10052733601517%,1.10052733601517%
890000,538,538,1.12137065677304%,1.12137065677304%
900000,542,542,1.12970798507618%,1.12970798507618%
910000,552,552,1.15055130583405%,1.15055130583405%
920000,555,555,1.1568043020614%,1.1568043020614%
930000,562,562,1.17139462659191%,1.17139462659191%
940000,566,566,1.17973195489505%,1.17973195489505%
950000,568,568,1.18390061904663%,1.18390061904663%
960000,572,572,1.19223794734977%,1.19223794734977%
970000,575,575,1.19849094357713%,1.19849094357713%
980000,580,580,1.20891260395606%,1.20891260395606%
990000,582,582,1.21308126810763%,1.21308126810763%
1000000,585,585,1.21933426433499%,1.21933426433499%
1010000,595,595,1.24017758509286%,1.24017758509286%
1020000,598,598,1.24643058132022%,1.24643058132022%
1030000,610,610,1.27144256622965%,1.27144256622965%
1040000,619,619,1.29020155491173%,1.29020155491173%
1050000,629,629,1.31104487566959%,1.31104487566959%
1060000,633,633,1.31938220397274%,1.31938220397274%
1070000,643,643,1.3402255247306%,1.3402255247306%
1080000,646,646,1.34647852095796%,1.34647852095796%
1090000,657,657,1.36940617379161%,1.36940617379161%
1100000,663,663,1.38191216624633%,1.38191216624633%
1110000,668,668,1.39233382662526%,1.39233382662526%
1120000,674,674,1.40483981907998%,1.40483981907998%
1130000,681,681,1.41943014361048%,1.41943014361048%
1140000,688,688,1.43402046814098%,1.43402046814098%
1150000,695,695,1.44861079267149%,1.44861079267149%
1160000,701,701,1.46111678512621%,1.46111678512621%
1170000,707,707,1.47362277758092%,1.47362277758092%
1180000,717,717,1.49446609833879%,1.49446609833879%
1190000,721,721,1.50280342664193%,1.50280342664193%
1200000,724,724,1.50905642286929%,1.50905642286929%
1210000,733,733,1.52781541155137%,1.52781541155137%
1220000,739,739,1.54032140400609%,1.54032140400609%
1230000,744,744,1.55074306438502%,1.55074306438502%
1240000,752,752,1.56741772099131%,1.56741772099131%
1250000,758,758,1.57992371344603%,1.57992371344603%
1260000,766,766,1.59659837005232%,1.59659837005232%
1270000,772,772,1.60910436250703%,1.60910436250703%
1280000,779,779,1.62369468703754%,1.62369468703754%
1290000,785,785,1.63620067949226%,1.63620067949226%
1300000,793,793,1.65287533609855%,1.65287533609855%
1310000,802,802,1.67163432478062%,1.67163432478062%
1320000,809,809,1.68622464931113%,1.68622464931113%
1330000,812,812,1.69247764553849%,1.69247764553849%
1340000,812,812,1.69247764553849%,1.69247764553849%
1350000,821,821,1.71123663422056%,1.71123663422056%
1360000,825,825,1.71957396252371%,1.71957396252371%
1370000,827,827,1.72374262667528%,1.72374262667528%
1380000,834,834,1.73833295120579%,1.73833295120579%
1390000,837,837,1.74458594743315%,1.74458594743315%
1400000,841,841,1.75292327573629%,1.75292327573629%
1410000,844,844,1.75917627196365%,1.75917627196365%
1420000,848,848,1.76751360026679%,1.76751360026679%
1430000,855,855,1.7821039247973%,1.7821039247973%
1440000,866,866,1.80503157763095%,1.80503157763095%
1450000,871,871,1.81545323800988%,1.81545323800988%
1460000,876,876,1.82587489838881%,1.82587489838881%
1470000,880,880,1.83421222669196%,1.83421222669196%
1480000,884,884,1.8425495549951%,1.8425495549951%
1490000,888,888,1.85088688329825%,1.85088688329825%
1500000,892,892,1.85922421160139%,1.85922421160139%
1510000,896,896,1.86756153990454%,1.86756153990454%
1520000,906,906,1.8884048606624%,1.8884048606624%
1530000,914,914,1.90507951726869%,1.90507951726869%
1540000,917,917,1.91133251349605%,1.91133251349605%
1550000,926,926,1.93009150217813%,1.93009150217813%
1560000,937,937,1.95301915501178%,1.95301915501178%
1570000,941,941,1.96135648331492%,1.96135648331492%
1580000,946,946,1.97177814369385%,1.97177814369385%
1590000,955,955,1.99053713237593%,1.99053713237593%
1600000,960,960,2.00095879275486%,2.00095879275486%
1610000,964,964,2.00929612105801%,2.00929612105801%
1620000,971,971,2.02388644558851%,2.02388644558851%
1630000,984,984,2.05098276257373%,2.05098276257373%
1640000,989,989,2.06140442295266%,2.06140442295266%
1650000,994,994,2.0718260833316%,2.0718260833316%
1660000,999,999,2.08224774371053%,2.08224774371053%
1670000,1002,1002,2.08850073993789%,2.08850073993789%
1680000,1006,1006,2.09683806824103%,2.09683806824103%
1690000,1018,1018,2.12185005315047%,2.12185005315047%
1700000,1027,1027,2.14060904183254%,2.14060904183254%
