Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.00208433207578631%,0.00208433207578631%
20000,7,7,0.0145903245305042%,0.0145903245305042%
30000,11,11,0.0229276528336495%,0.0229276528336495%
40000,14,14,0.0291806490610084%,0.0291806490610084%
50000,18,18,0.0375179773641537%,0.0375179773641537%
60000,19,19,0.03960230943994%,0.03960230943994%
70000,23,23,0.0479396377430852%,0.0479396377430852%
80000,27,27,0.0562769660462305%,0.0562769660462305%
90000,30,30,0.0625299622735894%,0.0625299622735894%
100000,32,32,0.0666986264251621%,0.0666986264251621%
110000,35,35,0.072951622652521%,0.072951622652521%
120000,41,41,0.0854576151072389%,0.0854576151072389%
130000,42,42,0.0875419471830252%,0.0875419471830252%
140000,46,46,0.0958792754861705%,0.0958792754861705%
150000,47,47,0.0979636075619568%,0.0979636075619568%
160000,52,52,0.108385267940888%,0.108385267940888%
170000,54,54,0.112553932092461%,0.112553932092461%
180000,61,61,0.127144256622965%,0.127144256622965%
190000,62,62,0.129228588698751%,0.129228588698751%
200000,62,62,0.129228588698751%,0.129228588698751%
210000,68,68,0.141734581153469%,0.141734581153469%
220000,69,69,0.143818913229256%,0.143818913229256%
230000,71,71,0.147987577380828%,0.147987577380828%
240000,76,76,0.15840923775976%,0.15840923775976%
250000,78,78,0.162577901911333%,0.162577901911333%
260000,81,81,0.168830898138691%,0.168830898138691%
270000,83,83,0.172999562290264%,0.172999562290264%
280000,85,85,0.177168226441837%,0.177168226441837%
290000,88,88,0.183421222669196%,0.183421222669196%
300000,91,91,0.189674218896555%,0.189674218896555%
310000,98,98,0.204264543427059%,0.204264543427059%
320000,100,100,0.208433207578631%,0.208433207578631%
330000,104,104,0.216770535881777%,0.216770535881777%
340000,106,106,0.220939200033349%,0.220939200033349%
350000,109,109,0.227192196260708%,0.227192196260708%
360000,110,110,0.229276528336495%,0.229276528336495%
370000,110,110,0.229276528336495%,0.229276528336495%
380000,111,111,0.231360860412281%,0.231360860412281%
390000,113,113,0.235529524563854%,0.235529524563854%
400000,116,116,0.241782520791212%,0.241782520791212%
410000,120,120,0.250119849094358%,0.250119849094358%
420000,122,122,0.25428851324593%,0.25428851324593%
430000,127,127,0.264710173624862%,0.264710173624862%
440000,130,130,0.270963169852221%,0.270963169852221%
450000,133,133,0.27721616607958%,0.27721616607958%
460000,133,133,0.27721616607958%,0.27721616607958%
470000,139,139,0.289722158534298%,0.289722158534298%
480000,142,142,0.295975154761657%,0.295975154761657%
490000,146,146,0.304312483064802%,0.304312483064802%
500000,147,147,0.306396815140588%,0.306396815140588%
510000,150,150,0.312649811367947%,0.312649811367947%
520000,153,153,0.318902807595306%,0.318902807595306%
530000,157,157,0.327240135898451%,0.327240135898451%
540000,157,157,0.327240135898451%,0.327240135898451%
550000,158,158,0.329324467974238%,0.329324467974238%
560000,161,161,0.335577464201597%,0.335577464201597%
570000,163,163,0.339746128353169%,0.339746128353169%
580000,171,171,0.35642078495946%,0.35642078495946%
590000,171,171,0.35642078495946%,0.35642078495946%
600000,173,173,0.360589449111032%,0.360589449111032%
610000,175,175,0.364758113262605%,0.364758113262605%
620000,178,178,0.371011109489964%,0.371011109489964%
630000,183,183,0.381432769868896%,0.381432769868896%
640000,185,185,0.385601434020468%,0.385601434020468%
650000,188,188,0.391854430247827%,0.391854430247827%
660000,191,191,0.398107426475186%,0.398107426475186%
670000,196,196,0.408529086854118%,0.408529086854118%
680000,201,201,0.418950747233049%,0.418950747233049%
690000,202,202,0.421035079308836%,0.421035079308836%
700000,202,202,0.421035079308836%,0.421035079308836%
710000,205,205,0.427288075536194%,0.427288075536194%
720000,210,210,0.437709735915126%,0.437709735915126%
730000,214,214,0.446047064218271%,0.446047064218271%
740000,219,219,0.456468724597203%,0.456468724597203%
750000,225,225,0.468974717051921%,0.468974717051921%
760000,227,227,0.473143381203493%,0.473143381203493%
770000,231,231,0.481480709506639%,0.481480709506639%
780000,232,232,0.483565041582425%,0.483565041582425%
790000,236,236,0.49190236988557%,0.49190236988557%
800000,237,237,0.493986701961356%,0.493986701961356%
810000,240,240,0.500239698188715%,0.500239698188715%
820000,242,242,0.504408362340288%,0.504408362340288%
830000,243,243,0.506492694416074%,0.506492694416074%
840000,245,245,0.510661358567647%,0.510661358567647%
850000,247,247,0.51483002271922%,0.51483002271922%
860000,249,249,0.518998686870792%,0.518998686870792%
870000,249,249,0.518998686870792%,0.518998686870792%
880000,251,251,0.523167351022365%,0.523167351022365%
890000,255,255,0.53150467932551%,0.53150467932551%
900000,259,259,0.539842007628655%,0.539842007628655%
910000,260,260,0.541926339704442%,0.541926339704442%
920000,264,264,0.550263668007587%,0.550263668007587%
930000,265,265,0.552348000083373%,0.552348000083373%
940000,269,269,0.560685328386519%,0.560685328386519%
950000,273,273,0.569022656689664%,0.569022656689664%
960000,274,274,0.57110698876545%,0.57110698876545%
970000,278,278,0.579444317068595%,0.579444317068595%
980000,280,280,0.583612981220168%,0.583612981220168%
990000,280,280,0.583612981220168%,0.583612981220168%
1000000,281,281,0.585697313295954%,0.585697313295954%
1010000,283,283,0.589865977447527%,0.589865977447527%
1020000,283,283,0.589865977447527%,0.589865977447527%
1030000,287,287,0.598203305750672%,0.598203305750672%
1040000,291,291,0.606540634053817%,0.606540634053817%
1050000,294,294,0.612793630281176%,0.612793630281176%
1060000,299,299,0.623215290660108%,0.623215290660108%
1070000,301,301,0.627383954811681%,0.627383954811681%
1080000,303,303,0.631552618963253%,0.631552618963253%
1090000,306,306,0.637805615190612%,0.637805615190612%
1100000,310,310,0.646142943493757%,0.646142943493757%
1110000,312,312,0.65031160764533%,0.65031160764533%
1120000,314,314,0.654480271796903%,0.654480271796903%
1130000,315,315,0.656564603872689%,0.656564603872689%
1140000,318,318,0.662817600100048%,0.662817600100048%
1150000,319,319,0.664901932175834%,0.664901932175834%
1160000,322,322,0.671154928403193%,0.671154928403193%
1170000,327,327,0.681576588782125%,0.681576588782125%
1180000,329,329,0.685745252933697%,0.685745252933697%
1190000,331,331,0.68991391708527%,0.68991391708527%
1200000,334,334,0.696166913312629%,0.696166913312629%
1210000,339,339,0.70658857369156%,0.70658857369156%
1220000,341,341,0.710757237843133%,0.710757237843133%
1230000,343,343,0.714925901994706%,0.714925901994706%
1240000,346,346,0.721178898222065%,0.721178898222065%
1250000,350,350,0.72951622652521%,0.72951622652521%
1260000,353,353,0.735769222752569%,0.735769222752569%
1270000,355,355,0.739937886904142%,0.739937886904142%
1280000,355,355,0.739937886904142%,0.739937886904142%
1290000,357,357,0.744106551055714%,0.744106551055714%
1300000,363,363,0.756612543510432%,0.756612543510432%
1310000,365,365,0.760781207662005%,0.760781207662005%
1320000,370,370,0.771202868040936%,0.771202868040936%
1330000,375,375,0.781624528419868%,0.781624528419868%
1340000,378,378,0.787877524647227%,0.787877524647227%
1350000,380,380,0.792046188798799%,0.792046188798799%
1360000,381,381,0.794130520874586%,0.794130520874586%
1370000,382,382,0.796214852950372%,0.796214852950372%
1380000,385,385,0.802467849177731%,0.802467849177731%
1390000,387,387,0.806636513329304%,0.806636513329304%
1400000,388,388,0.80872084540509%,0.80872084540509%
1410000,392,392,0.817058173708235%,0.817058173708235%
1420000,396,396,0.82539550201138%,0.82539550201138%
1430000,401,401,0.835817162390312%,0.835817162390312%
1440000,402,402,0.837901494466098%,0.837901494466098%
1450000,405,405,0.844154490693457%,0.844154490693457%
1460000,407,407,0.84832315484503%,0.84832315484503%
1470000,408,408,0.850407486920816%,0.850407486920816%
1480000,411,411,0.856660483148175%,0.856660483148175%
1490000,414,414,0.862913479375534%,0.862913479375534%
1500000,414,414,0.862913479375534%,0.862913479375534%
1510000,416,416,0.867082143527107%,0.867082143527107%
1520000,418,418,0.871250807678679%,0.871250807678679%
1530000,422,422,0.879588135981825%,0.879588135981825%
1540000,426,426,0.88792546428497%,0.88792546428497%
1550000,429,429,0.894178460512329%,0.894178460512329%
1560000,431,431,0.898347124663901%,0.898347124663901%
1570000,434,434,0.90460012089126%,0.90460012089126%
1580000,436,436,0.908768785042833%,0.908768785042833%
1590000,439,439,0.915021781270192%,0.915021781270192%
1600000,442,442,0.921274777497551%,0.921274777497551%
1610000,444,444,0.925443441649124%,0.925443441649124%
1620000,446,446,0.929612105800696%,0.929612105800696%
1630000,446,446,0.929612105800696%,0.929612105800696%
1640000,448,448,0.933780769952269%,0.933780769952269%
1650000,450,450,0.937949434103841%,0.937949434103841%
1660000,453,453,0.9442024303312%,0.9442024303312%
1670000,457,457,0.952539758634346%,0.952539758634346%
1680000,458,458,0.954624090710132%,0.954624090710132%
1690000,460,460,0.958792754861705%,0.958792754861705%
1700000,463,463,0.965045751089063%,0.965045751089063%
1710000,464,464,0.96713008316485%,0.96713008316485%
1720000,465,465,0.969214415240636%,0.969214415240636%
1730000,467,467,0.973383079392209%,0.973383079392209%
1740000,470,470,0.979636075619568%,0.979636075619568%
1750000,473,473,0.985889071846927%,0.985889071846927%
1760000,474,474,0.987973403922713%,0.987973403922713%
1770000,476,476,0.992142068074286%,0.992142068074286%
1780000,478,478,0.996310732225858%,0.996310732225858%
1790000,480,480,1.00047939637743%,1.00047939637743%
1800000,483,483,1.00673239260479%,1.00673239260479%
