Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,1,1,0.0120510966497951%,0.0134138162307176%
40000,1,1,0.0120510966497951%,0.0134138162307176%
50000,1,1,0.0120510966497951%,0.0134138162307176%
60000,1,1,0.0120510966497951%,0.0134138162307176%
70000,1,1,0.0120510966497951%,0.0134138162307176%
80000,1,1,0.0120510966497951%,0.0134138162307176%
90000,1,1,0.0120510966497951%,0.0134138162307176%
100000,1,1,0.0120510966497951%,0.0134138162307176%
110000,1,1,0.0120510966497951%,0.0134138162307176%
120000,1,1,0.0120510966497951%,0.0134138162307176%
130000,2,2,0.0241021932995903%,0.0268276324614353%
140000,2,2,0.0241021932995903%,0.0268276324614353%
150000,2,2,0.0241021932995903%,0.0268276324614353%
160000,2,2,0.0241021932995903%,0.0268276324614353%
170000,3,3,0.0361532899493854%,0.0402414486921529%
180000,5,4,0.0602554832489757%,0.0536552649228706%
190000,5,4,0.0602554832489757%,0.0536552649228706%
200000,5,4,0.0602554832489757%,0.0536552649228706%
210000,5,4,0.0602554832489757%,0.0536552649228706%
220000,5,4,0.0602554832489757%,0.0536552649228706%
230000,5,4,0.0602554832489757%,0.0536552649228706%
240000,5,4,0.0602554832489757%,0.0536552649228706%
250000,5,4,0.0602554832489757%,0.0536552649228706%
260000,5,4,0.0602554832489757%,0.0536552649228706%
270000,5,4,0.0602554832489757%,0.0536552649228706%
280000,5,4,0.0602554832489757%,0.0536552649228706%
290000,5,4,0.0602554832489757%,0.0536552649228706%
300000,5,4,0.0602554832489757%,0.0536552649228706%
310000,5,4,0.0602554832489757%,0.0536552649228706%
320000,5,4,0.0602554832489757%,0.0536552649228706%
330000,5,4,0.0602554832489757%,0.0536552649228706%
340000,5,4,0.0602554832489757%,0.0536552649228706%
350000,5,4,0.0602554832489757%,0.0536552649228706%
360000,6,5,0.0723065798987708%,0.0670690811535882%
370000,6,5,0.0723065798987708%,0.0670690811535882%
380000,6,5,0.0723065798987708%,0.0670690811535882%
390000,6,5,0.0723065798987708%,0.0670690811535882%
400000,6,5,0.0723065798987708%,0.0670690811535882%
410000,6,5,0.0723065798987708%,0.0670690811535882%
420000,6,5,0.0723065798987708%,0.0670690811535882%
430000,6,5,0.0723065798987708%,0.0670690811535882%
