Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,20745,44,0.318459262006544%,0.0014829214631312%
20000,22025,89,0.338108712735316%,0.00299954568678811%
30000,22108,119,0.339382856806009%,0.00401062850255939%
40000,22389,165,0.34369652528631%,0.00556095548674201%
50000,22666,199,0.347948789233083%,0.00670684934461612%
60000,22794,233,0.349913734305961%,0.00785274320249023%
70000,22909,264,0.351679114644874%,0.00889752877878721%
80000,23055,305,0.353920380118624%,0.0102793419603413%
90000,23241,341,0.356775690927649%,0.0114926413392668%
100000,23955,391,0.367736400162292%,0.0131777793655523%
110000,24195,430,0.371420672173937%,0.0144921870260549%
120000,24278,467,0.372694816244631%,0.0157391891655062%
130000,24438,510,0.375150997585727%,0.0171884078681117%
140000,24649,543,0.378390086729298%,0.0183005989654601%
150000,25796,582,0.395997836718284%,0.0196150066259627%
160000,25854,614,0.396888202454431%,0.0206934949627854%
170000,25984,644,0.398883849794072%,0.0217045777785567%
180000,26067,679,0.400157993864766%,0.0228841743969565%
190000,26279,716,0.403412434141719%,0.0241311765364077%
200000,26418,759,0.405546241681796%,0.0255803952390132%
210000,27257,808,0.418425842589171%,0.027231830504773%
220000,27374,842,0.420221925194848%,0.0283777243626471%
230000,27628,888,0.424121113073839%,0.0299280513468297%
240000,28888,922,0.443463541134974%,0.0310739452047038%
250000,29019,961,0.445474539607997%,0.0323883528652065%
260000,29310,990,0.449941719422116%,0.0333657329204521%
270000,29908,1030,0.459121697184464%,0.0347138433414804%
280000,30115,1068,0.462299381794508%,0.0359945482414574%
290000,30210,1105,0.463757739465784%,0.0372415503809086%
300000,30447,1142,0.467395958077283%,0.0384885525203598%
310000,30547,1170,0.468931071415468%,0.0394322298150797%
320000,30676,1208,0.470911367621727%,0.0407129347150566%
330000,30750,1236,0.472047351491984%,0.0416566120097765%
340000,30849,1268,0.473567113696788%,0.0427351003465992%
350000,31143,1311,0.478080346911053%,0.0441843190492047%
360000,31207,1349,0.479062819447491%,0.0454650239491816%
370000,31376,1386,0.481657160989024%,0.0467120260886329%
380000,31445,1426,0.482716389192372%,0.0480601365096612%
390000,31622,1457,0.48543353980096%,0.0491049220859582%
400000,31797,1487,0.488119988142785%,0.0501160049017295%
410000,32959,1520,0.505958005132498%,0.0512281959990779%
420000,33294,1550,0.511100634815419%,0.0522392788148492%
430000,33390,1580,0.512574343620077%,0.0532503616306204%
440000,33446,1605,0.51343400708946%,0.0540929306437632%
450000,33951,1641,0.521186329447296%,0.0553062300226887%
460000,34004,1673,0.521999939516534%,0.0563847183595114%
470000,34177,1707,0.524655685591595%,0.0575306122173855%
480000,34232,1733,0.525499997927597%,0.0584068839910539%
490000,34284,1764,0.526298256863453%,0.0594516695673509%
500000,34415,1799,0.528309255336476%,0.0606312661857507%
510000,34874,1828,0.535355425558747%,0.0616086462409963%
520000,34993,1862,0.537182210431187%,0.0627545400988704%
530000,35271,1903,0.541449825511342%,0.0641363532804245%
540000,35421,1939,0.54375249551862%,0.06534965265935%
550000,35658,1971,0.54739071413012%,0.0664281409961727%
560000,35742,2008,0.548680209334195%,0.067675143135624%
570000,35802,2034,0.549601277337106%,0.0685514149092924%
580000,36227,2070,0.556125509024394%,0.0697647142882179%
590000,36494,2118,0.560224261637349%,0.071382446793452%
