Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,6,1,0.272108843537415%,0.0508388408744281%
30000,6,1,0.272108843537415%,0.0508388408744281%
40000,6,1,0.272108843537415%,0.0508388408744281%
50000,7,2,0.317460317460317%,0.101677681748856%
60000,7,2,0.317460317460317%,0.101677681748856%
70000,7,2,0.317460317460317%,0.101677681748856%
80000,7,2,0.317460317460317%,0.101677681748856%
90000,7,2,0.317460317460317%,0.101677681748856%
100000,7,2,0.317460317460317%,0.101677681748856%
110000,7,2,0.317460317460317%,0.101677681748856%
120000,7,2,0.317460317460317%,0.101677681748856%
130000,7,2,0.317460317460317%,0.101677681748856%
140000,7,2,0.317460317460317%,0.101677681748856%
150000,7,2,0.317460317460317%,0.101677681748856%
160000,7,2,0.317460317460317%,0.101677681748856%
170000,8,3,0.36281179138322%,0.152516522623284%
180000,8,3,0.36281179138322%,0.152516522623284%
190000,8,3,0.36281179138322%,0.152516522623284%
200000,8,3,0.36281179138322%,0.152516522623284%
210000,8,3,0.36281179138322%,0.152516522623284%
220000,8,3,0.36281179138322%,0.152516522623284%
230000,8,3,0.36281179138322%,0.152516522623284%
240000,8,3,0.36281179138322%,0.152516522623284%
250000,8,3,0.36281179138322%,0.152516522623284%
260000,8,3,0.36281179138322%,0.152516522623284%
270000,8,3,0.36281179138322%,0.152516522623284%
280000,9,4,0.408163265306122%,0.203355363497712%
290000,9,4,0.408163265306122%,0.203355363497712%
300000,9,4,0.408163265306122%,0.203355363497712%
310000,9,4,0.408163265306122%,0.203355363497712%
320000,9,4,0.408163265306122%,0.203355363497712%
330000,9,4,0.408163265306122%,0.203355363497712%
340000,9,4,0.408163265306122%,0.203355363497712%
350000,10,5,0.453514739229025%,0.25419420437214%
360000,10,5,0.453514739229025%,0.25419420437214%
370000,10,5,0.453514739229025%,0.25419420437214%
380000,10,5,0.453514739229025%,0.25419420437214%
390000,10,5,0.453514739229025%,0.25419420437214%
400000,10,5,0.453514739229025%,0.25419420437214%
410000,10,5,0.453514739229025%,0.25419420437214%
420000,10,5,0.453514739229025%,0.25419420437214%
430000,10,5,0.453514739229025%,0.25419420437214%
440000,10,5,0.453514739229025%,0.25419420437214%
450000,10,5,0.453514739229025%,0.25419420437214%
460000,10,5,0.453514739229025%,0.25419420437214%
470000,10,5,0.453514739229025%,0.25419420437214%
480000,10,5,0.453514739229025%,0.25419420437214%
490000,11,6,0.498866213151927%,0.305033045246568%
500000,11,6,0.498866213151927%,0.305033045246568%
510000,11,6,0.498866213151927%,0.305033045246568%
520000,11,6,0.498866213151927%,0.305033045246568%
530000,11,6,0.498866213151927%,0.305033045246568%
540000,11,6,0.498866213151927%,0.305033045246568%
550000,11,6,0.498866213151927%,0.305033045246568%
560000,11,6,0.498866213151927%,0.305033045246568%
570000,12,7,0.54421768707483%,0.355871886120996%
580000,17,8,0.770975056689342%,0.406710726995424%
590000,17,8,0.770975056689342%,0.406710726995424%
600000,17,8,0.770975056689342%,0.406710726995424%
610000,19,9,0.861678004535147%,0.457549567869853%
620000,19,9,0.861678004535147%,0.457549567869853%
630000,19,9,0.861678004535147%,0.457549567869853%
640000,19,9,0.861678004535147%,0.457549567869853%
650000,20,10,0.90702947845805%,0.508388408744281%
660000,20,10,0.90702947845805%,0.508388408744281%
670000,20,10,0.90702947845805%,0.508388408744281%
680000,20,10,0.90702947845805%,0.508388408744281%
690000,20,10,0.90702947845805%,0.508388408744281%
700000,20,10,0.90702947845805%,0.508388408744281%
710000,20,10,0.90702947845805%,0.508388408744281%
720000,20,10,0.90702947845805%,0.508388408744281%
730000,20,10,0.90702947845805%,0.508388408744281%
740000,20,10,0.90702947845805%,0.508388408744281%
750000,20,10,0.90702947845805%,0.508388408744281%
760000,20,10,0.90702947845805%,0.508388408744281%
770000,20,10,0.90702947845805%,0.508388408744281%
780000,20,10,0.90702947845805%,0.508388408744281%
790000,20,10,0.90702947845805%,0.508388408744281%
800000,20,10,0.90702947845805%,0.508388408744281%
810000,20,10,0.90702947845805%,0.508388408744281%
820000,20,10,0.90702947845805%,0.508388408744281%
830000,21,11,0.952380952380952%,0.559227249618709%
840000,21,11,0.952380952380952%,0.559227249618709%
850000,21,11,0.952380952380952%,0.559227249618709%
860000,21,11,0.952380952380952%,0.559227249618709%
870000,21,11,0.952380952380952%,0.559227249618709%
880000,21,11,0.952380952380952%,0.559227249618709%
890000,21,11,0.952380952380952%,0.559227249618709%
900000,21,11,0.952380952380952%,0.559227249618709%
910000,22,12,0.997732426303855%,0.610066090493137%
920000,22,12,0.997732426303855%,0.610066090493137%
930000,22,12,0.997732426303855%,0.610066090493137%
940000,22,12,0.997732426303855%,0.610066090493137%
950000,23,13,1.04308390022676%,0.660904931367565%
960000,23,13,1.04308390022676%,0.660904931367565%
970000,23,13,1.04308390022676%,0.660904931367565%
980000,38,14,1.72335600907029%,0.711743772241993%
990000,38,14,1.72335600907029%,0.711743772241993%
1000000,38,14,1.72335600907029%,0.711743772241993%
1010000,38,14,1.72335600907029%,0.711743772241993%
1020000,38,14,1.72335600907029%,0.711743772241993%
1030000,38,14,1.72335600907029%,0.711743772241993%
1040000,38,14,1.72335600907029%,0.711743772241993%
1050000,38,14,1.72335600907029%,0.711743772241993%
1060000,38,14,1.72335600907029%,0.711743772241993%
1070000,38,14,1.72335600907029%,0.711743772241993%
1080000,38,14,1.72335600907029%,0.711743772241993%
1090000,38,14,1.72335600907029%,0.711743772241993%
1100000,38,14,1.72335600907029%,0.711743772241993%
1110000,38,14,1.72335600907029%,0.711743772241993%
1120000,38,14,1.72335600907029%,0.711743772241993%
1130000,38,14,1.72335600907029%,0.711743772241993%
1140000,38,14,1.72335600907029%,0.711743772241993%
1150000,38,14,1.72335600907029%,0.711743772241993%
1160000,38,14,1.72335600907029%,0.711743772241993%
1170000,39,15,1.7687074829932%,0.762582613116421%
1180000,39,15,1.7687074829932%,0.762582613116421%
1190000,39,15,1.7687074829932%,0.762582613116421%
1200000,39,15,1.7687074829932%,0.762582613116421%
1210000,39,15,1.7687074829932%,0.762582613116421%
1220000,39,15,1.7687074829932%,0.762582613116421%
