Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.0120510966497951%,0.0134138162307176%
20000,2,2,0.0241021932995903%,0.0268276324614353%
30000,2,2,0.0241021932995903%,0.0268276324614353%
40000,2,2,0.0241021932995903%,0.0268276324614353%
50000,2,2,0.0241021932995903%,0.0268276324614353%
60000,2,2,0.0241021932995903%,0.0268276324614353%
70000,2,2,0.0241021932995903%,0.0268276324614353%
80000,2,2,0.0241021932995903%,0.0268276324614353%
90000,2,2,0.0241021932995903%,0.0268276324614353%
100000,2,2,0.0241021932995903%,0.0268276324614353%
110000,2,2,0.0241021932995903%,0.0268276324614353%
120000,2,2,0.0241021932995903%,0.0268276324614353%
130000,2,2,0.0241021932995903%,0.0268276324614353%
140000,2,2,0.0241021932995903%,0.0268276324614353%
150000,2,2,0.0241021932995903%,0.0268276324614353%
160000,3,3,0.0361532899493854%,0.0402414486921529%
170000,3,3,0.0361532899493854%,0.0402414486921529%
180000,3,3,0.0361532899493854%,0.0402414486921529%
190000,3,3,0.0361532899493854%,0.0402414486921529%
200000,3,3,0.0361532899493854%,0.0402414486921529%
210000,3,3,0.0361532899493854%,0.0402414486921529%
220000,3,3,0.0361532899493854%,0.0402414486921529%
230000,3,3,0.0361532899493854%,0.0402414486921529%
240000,4,4,0.0482043865991805%,0.0536552649228706%
250000,4,4,0.0482043865991805%,0.0536552649228706%
260000,4,4,0.0482043865991805%,0.0536552649228706%
270000,4,4,0.0482043865991805%,0.0536552649228706%
280000,4,4,0.0482043865991805%,0.0536552649228706%
290000,4,4,0.0482043865991805%,0.0536552649228706%
300000,4,4,0.0482043865991805%,0.0536552649228706%
310000,4,4,0.0482043865991805%,0.0536552649228706%
320000,4,4,0.0482043865991805%,0.0536552649228706%
330000,4,4,0.0482043865991805%,0.0536552649228706%
340000,4,4,0.0482043865991805%,0.0536552649228706%
350000,4,4,0.0482043865991805%,0.0536552649228706%
360000,4,4,0.0482043865991805%,0.0536552649228706%
370000,5,5,0.0602554832489757%,0.0670690811535882%
380000,5,5,0.0602554832489757%,0.0670690811535882%
