Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,46,1,0.894593543368339%,0.0236742424242424%
20000,46,1,0.894593543368339%,0.0236742424242424%
30000,46,1,0.894593543368339%,0.0236742424242424%
40000,46,1,0.894593543368339%,0.0236742424242424%
50000,46,1,0.894593543368339%,0.0236742424242424%
60000,46,1,0.894593543368339%,0.0236742424242424%
70000,46,1,0.894593543368339%,0.0236742424242424%
80000,46,1,0.894593543368339%,0.0236742424242424%
90000,46,1,0.894593543368339%,0.0236742424242424%
100000,46,1,0.894593543368339%,0.0236742424242424%
110000,46,1,0.894593543368339%,0.0236742424242424%
120000,46,1,0.894593543368339%,0.0236742424242424%
130000,46,1,0.894593543368339%,0.0236742424242424%
140000,47,2,0.914041229093738%,0.0473484848484848%
150000,47,2,0.914041229093738%,0.0473484848484848%
160000,48,3,0.933488914819136%,0.0710227272727273%
170000,48,3,0.933488914819136%,0.0710227272727273%
180000,48,3,0.933488914819136%,0.0710227272727273%
190000,48,3,0.933488914819136%,0.0710227272727273%
200000,48,3,0.933488914819136%,0.0710227272727273%
210000,48,3,0.933488914819136%,0.0710227272727273%
220000,48,3,0.933488914819136%,0.0710227272727273%
230000,48,3,0.933488914819136%,0.0710227272727273%
240000,48,3,0.933488914819136%,0.0710227272727273%
250000,48,3,0.933488914819136%,0.0710227272727273%
260000,48,3,0.933488914819136%,0.0710227272727273%
270000,48,3,0.933488914819136%,0.0710227272727273%
280000,48,3,0.933488914819136%,0.0710227272727273%
290000,48,3,0.933488914819136%,0.0710227272727273%
300000,48,3,0.933488914819136%,0.0710227272727273%
310000,49,4,0.952936600544535%,0.0946969696969697%
320000,49,4,0.952936600544535%,0.0946969696969697%
330000,49,4,0.952936600544535%,0.0946969696969697%
340000,49,4,0.952936600544535%,0.0946969696969697%
350000,49,4,0.952936600544535%,0.0946969696969697%
360000,49,4,0.952936600544535%,0.0946969696969697%
370000,49,4,0.952936600544535%,0.0946969696969697%
380000,49,4,0.952936600544535%,0.0946969696969697%
