Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,2,2,0.0241021932995903%,0.0268276324614353%
20000,2,2,0.0241021932995903%,0.0268276324614353%
30000,2,2,0.0241021932995903%,0.0268276324614353%
40000,2,2,0.0241021932995903%,0.0268276324614353%
50000,2,2,0.0241021932995903%,0.0268276324614353%
60000,2,2,0.0241021932995903%,0.0268276324614353%
70000,4,4,0.0482043865991805%,0.0536552649228706%
80000,4,4,0.0482043865991805%,0.0536552649228706%
90000,4,4,0.0482043865991805%,0.0536552649228706%
100000,4,4,0.0482043865991805%,0.0536552649228706%
110000,5,5,0.0602554832489757%,0.0670690811535882%
120000,5,5,0.0602554832489757%,0.0670690811535882%
130000,5,5,0.0602554832489757%,0.0670690811535882%
140000,6,6,0.0723065798987708%,0.0804828973843058%
150000,6,6,0.0723065798987708%,0.0804828973843058%
160000,6,6,0.0723065798987708%,0.0804828973843058%
170000,6,6,0.0723065798987708%,0.0804828973843058%
180000,6,6,0.0723065798987708%,0.0804828973843058%
190000,7,7,0.0843576765485659%,0.0938967136150235%
200000,7,7,0.0843576765485659%,0.0938967136150235%
210000,7,7,0.0843576765485659%,0.0938967136150235%
220000,7,7,0.0843576765485659%,0.0938967136150235%
230000,7,7,0.0843576765485659%,0.0938967136150235%
240000,8,8,0.0964087731983611%,0.107310529845741%
250000,8,8,0.0964087731983611%,0.107310529845741%
260000,8,8,0.0964087731983611%,0.107310529845741%
270000,8,8,0.0964087731983611%,0.107310529845741%
280000,8,8,0.0964087731983611%,0.107310529845741%
290000,8,8,0.0964087731983611%,0.107310529845741%
300000,9,9,0.108459869848156%,0.120724346076459%
310000,9,9,0.108459869848156%,0.120724346076459%
320000,10,10,0.120510966497951%,0.134138162307176%
330000,12,11,0.144613159797542%,0.147551978537894%
340000,12,11,0.144613159797542%,0.147551978537894%
350000,12,11,0.144613159797542%,0.147551978537894%
360000,12,11,0.144613159797542%,0.147551978537894%
370000,12,11,0.144613159797542%,0.147551978537894%
380000,12,11,0.144613159797542%,0.147551978537894%
390000,12,11,0.144613159797542%,0.147551978537894%
400000,12,11,0.144613159797542%,0.147551978537894%
410000,12,11,0.144613159797542%,0.147551978537894%
420000,12,11,0.144613159797542%,0.147551978537894%
430000,12,11,0.144613159797542%,0.147551978537894%
440000,12,11,0.144613159797542%,0.147551978537894%
450000,12,11,0.144613159797542%,0.147551978537894%
460000,12,11,0.144613159797542%,0.147551978537894%
470000,12,11,0.144613159797542%,0.147551978537894%
480000,15,13,0.180766449746927%,0.174379610999329%
490000,15,13,0.180766449746927%,0.174379610999329%
500000,17,14,0.204868643046517%,0.187793427230047%
510000,17,14,0.204868643046517%,0.187793427230047%
520000,17,14,0.204868643046517%,0.187793427230047%
530000,18,15,0.216919739696312%,0.201207243460765%
540000,18,15,0.216919739696312%,0.201207243460765%
550000,18,15,0.216919739696312%,0.201207243460765%
560000,18,15,0.216919739696312%,0.201207243460765%
570000,18,15,0.216919739696312%,0.201207243460765%
580000,20,17,0.241021932995903%,0.2280348759222%
590000,20,17,0.241021932995903%,0.2280348759222%
600000,20,17,0.241021932995903%,0.2280348759222%
610000,20,17,0.241021932995903%,0.2280348759222%
620000,20,17,0.241021932995903%,0.2280348759222%
630000,20,17,0.241021932995903%,0.2280348759222%
640000,20,17,0.241021932995903%,0.2280348759222%
650000,23,18,0.277175222945288%,0.241448692152918%
660000,23,18,0.277175222945288%,0.241448692152918%
670000,23,18,0.277175222945288%,0.241448692152918%
680000,24,19,0.289226319595083%,0.254862508383635%
690000,24,19,0.289226319595083%,0.254862508383635%
700000,24,19,0.289226319595083%,0.254862508383635%
710000,24,19,0.289226319595083%,0.254862508383635%
720000,24,19,0.289226319595083%,0.254862508383635%
730000,24,19,0.289226319595083%,0.254862508383635%
740000,24,19,0.289226319595083%,0.254862508383635%
750000,24,19,0.289226319595083%,0.254862508383635%
760000,24,19,0.289226319595083%,0.254862508383635%
770000,24,19,0.289226319595083%,0.254862508383635%
780000,24,19,0.289226319595083%,0.254862508383635%
790000,24,19,0.289226319595083%,0.254862508383635%
800000,24,19,0.289226319595083%,0.254862508383635%
810000,24,19,0.289226319595083%,0.254862508383635%
820000,24,19,0.289226319595083%,0.254862508383635%
830000,24,19,0.289226319595083%,0.254862508383635%
840000,24,19,0.289226319595083%,0.254862508383635%
850000,24,19,0.289226319595083%,0.254862508383635%
860000,24,19,0.289226319595083%,0.254862508383635%
870000,24,19,0.289226319595083%,0.254862508383635%
880000,24,19,0.289226319595083%,0.254862508383635%
890000,25,20,0.301277416244878%,0.268276324614353%
900000,25,20,0.301277416244878%,0.268276324614353%
910000,25,20,0.301277416244878%,0.268276324614353%
920000,28,22,0.337430706194264%,0.295103957075788%
930000,28,22,0.337430706194264%,0.295103957075788%
940000,28,22,0.337430706194264%,0.295103957075788%
950000,28,22,0.337430706194264%,0.295103957075788%
960000,29,23,0.349481802844059%,0.308517773306506%
970000,33,24,0.397686189443239%,0.321931589537223%
980000,34,25,0.409737286093034%,0.335345405767941%
990000,34,25,0.409737286093034%,0.335345405767941%
1000000,34,25,0.409737286093034%,0.335345405767941%
1010000,34,25,0.409737286093034%,0.335345405767941%
1020000,34,25,0.409737286093034%,0.335345405767941%
1030000,34,25,0.409737286093034%,0.335345405767941%
1040000,34,25,0.409737286093034%,0.335345405767941%
1050000,35,26,0.42178838274283%,0.348759221998659%
1060000,35,26,0.42178838274283%,0.348759221998659%
1070000,35,26,0.42178838274283%,0.348759221998659%
1080000,35,26,0.42178838274283%,0.348759221998659%
1090000,35,26,0.42178838274283%,0.348759221998659%
1100000,37,28,0.44589057604242%,0.375586854460094%
1110000,37,28,0.44589057604242%,0.375586854460094%
1120000,37,28,0.44589057604242%,0.375586854460094%
1130000,37,28,0.44589057604242%,0.375586854460094%
1140000,38,29,0.457941672692215%,0.389000670690812%
1150000,38,29,0.457941672692215%,0.389000670690812%
1160000,40,31,0.482043865991805%,0.415828303152247%
1170000,41,32,0.4940949626416%,0.429242119382964%
1180000,42,33,0.506146059291396%,0.442655935613682%
1190000,42,33,0.506146059291396%,0.442655935613682%
1200000,42,33,0.506146059291396%,0.442655935613682%
