Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,376,5,0.541295365878237%,0.00903538255809751%
20000,383,9,0.551372673221715%,0.0162636886045755%
30000,418,14,0.601759209939104%,0.025299071162673%
40000,426,16,0.613276132617365%,0.028913224185912%
50000,428,18,0.61615536328693%,0.032527377209151%
60000,430,20,0.619034593956495%,0.03614153023239%
70000,434,24,0.624793055295625%,0.043369836278868%
80000,437,26,0.629111901299973%,0.0469839893021071%
90000,441,30,0.634870362639103%,0.0542122953485851%
100000,443,32,0.637749593308668%,0.0578264483718241%
110000,443,32,0.637749593308668%,0.0578264483718241%
120000,446,35,0.642068439313015%,0.0632476779066826%
130000,454,38,0.653585361991276%,0.0686689074415411%
140000,457,41,0.657904207995624%,0.0740901369763996%
150000,457,41,0.657904207995624%,0.0740901369763996%
160000,459,43,0.660783438665189%,0.0777042899996386%
170000,459,43,0.660783438665189%,0.0777042899996386%
180000,462,45,0.665102284669536%,0.0813184430228776%
190000,464,46,0.667981515339101%,0.0831255195344971%
200000,466,48,0.670860746008667%,0.0867396725577361%
210000,517,50,0.744281128082576%,0.0903538255809751%
220000,520,52,0.748599974086924%,0.0939679786042141%
230000,521,53,0.750039589421706%,0.0957750551158336%
240000,521,53,0.750039589421706%,0.0957750551158336%
250000,528,58,0.760116896765184%,0.104810437673931%
260000,530,60,0.762996127434749%,0.10842459069717%
270000,592,62,0.852252278191267%,0.112038743720409%
280000,596,66,0.858010739530398%,0.119267049766887%
290000,604,71,0.869527662208658%,0.128302432324985%
300000,604,71,0.869527662208658%,0.128302432324985%
310000,606,73,0.872406892878223%,0.131916585348224%
320000,607,74,0.873846508213006%,0.133723661859843%
330000,608,75,0.875286123547788%,0.135530738371463%
340000,609,76,0.876725738882571%,0.137337814883082%
350000,612,78,0.881044584886918%,0.140951967906321%
360000,612,78,0.881044584886918%,0.140951967906321%
370000,614,80,0.883923815556483%,0.14456612092956%
380000,615,81,0.885363430891266%,0.14637319744118%
390000,616,82,0.886803046226048%,0.148180273952799%
400000,617,83,0.888242661560831%,0.149987350464419%
410000,619,85,0.891121892230396%,0.153601503487658%
420000,621,87,0.894001122899961%,0.157215656510897%
430000,623,89,0.896880353569526%,0.160829809534136%
440000,624,90,0.898319968904309%,0.162636886045755%
450000,1870,92,2.69208067604336%,0.166251039068994%
460000,1872,94,2.69495990671293%,0.169865192092233%
470000,1873,95,2.69639952204771%,0.171672268603853%
480000,1878,100,2.70359759872162%,0.18070765116195%
490000,1878,100,2.70359759872162%,0.18070765116195%
500000,1880,102,2.70647682939119%,0.184321804185189%
510000,1881,103,2.70791644472597%,0.186128880696809%
520000,1884,105,2.71223529073032%,0.189743033720048%
530000,1885,106,2.7136749060651%,0.191550110231667%
540000,1885,106,2.7136749060651%,0.191550110231667%
550000,1887,108,2.71655413673466%,0.195164263254906%
560000,1888,109,2.71799375206945%,0.196971339766526%
570000,1889,110,2.71943336740423%,0.198778416278145%
580000,1889,110,2.71943336740423%,0.198778416278145%
590000,1889,110,2.71943336740423%,0.198778416278145%
600000,1896,115,2.72951067474771%,0.207813798836243%
610000,1897,116,2.73095029008249%,0.209620875347862%
620000,1898,117,2.73238990541727%,0.211427951859482%
630000,1899,118,2.73382952075206%,0.213235028371101%
640000,1901,120,2.73670875142162%,0.21684918139434%
650000,1902,121,2.7381483667564%,0.21865625790596%
660000,1908,126,2.7467860587651%,0.227691640464057%
670000,1910,127,2.74966528943466%,0.229498716975677%
680000,1914,129,2.75542375077379%,0.233112869998916%
690000,1916,131,2.75830298144336%,0.236727023022155%
700000,1918,132,2.76118221211292%,0.238534099533774%
710000,1918,132,2.76118221211292%,0.238534099533774%
720000,1920,134,2.76406144278249%,0.242148252557013%
730000,1925,137,2.7712595194564%,0.247569482091872%
740000,1926,138,2.77269913479118%,0.249376558603491%
750000,1931,142,2.7798972114651%,0.256604864649969%
760000,1933,144,2.78277644213466%,0.260219017673208%
770000,1933,144,2.78277644213466%,0.260219017673208%
780000,1934,145,2.78421605746944%,0.262026094184828%
790000,1935,146,2.78565567280423%,0.263833170696447%
800000,1937,148,2.78853490347379%,0.267447323719686%
810000,1938,149,2.78997451880857%,0.269254400231306%
820000,1939,150,2.79141413414336%,0.271061476742925%
830000,1950,152,2.80724990282596%,0.274675629766164%
840000,1952,154,2.81012913349553%,0.278289782789403%
850000,1957,156,2.81732721016944%,0.281903935812642%
860000,1959,158,2.82020644083901%,0.285518088835881%
870000,1961,159,2.82308567150857%,0.287325165347501%
880000,1963,161,2.82596490217814%,0.29093931837074%
890000,1965,163,2.8288441328477%,0.294553471393979%
900000,1966,164,2.83028374818249%,0.296360547905598%
910000,1969,166,2.83460259418683%,0.299974700928837%
920000,1973,170,2.84036105552596%,0.307203006975315%
930000,1973,170,2.84036105552596%,0.307203006975315%
940000,1975,171,2.84324028619553%,0.309010083486935%
950000,2000,173,2.87923066956509%,0.312624236510174%
960000,2000,173,2.87923066956509%,0.312624236510174%
970000,2000,173,2.87923066956509%,0.312624236510174%
980000,2002,175,2.88210990023466%,0.316238389533413%
990000,2007,178,2.88930797690857%,0.321659619068271%
1000000,2007,178,2.88930797690857%,0.321659619068271%
1010000,2010,181,2.89362682291292%,0.32708084860313%
1020000,2013,184,2.89794566891727%,0.332502078137988%
1030000,2014,185,2.89938528425205%,0.334309154649608%
1040000,2016,187,2.90226451492161%,0.337923307672847%
1050000,2016,187,2.90226451492161%,0.337923307672847%
1060000,2016,187,2.90226451492161%,0.337923307672847%
1070000,2020,189,2.90802297626074%,0.341537460696086%
1080000,2022,191,2.91090220693031%,0.345151613719325%
1090000,2023,192,2.91234182226509%,0.346958690230944%
1100000,2026,193,2.91666066826944%,0.348765766742564%
1110000,2028,195,2.919539898939%,0.352379919765803%
1120000,2028,195,2.919539898939%,0.352379919765803%
1130000,2029,196,2.92097951427379%,0.354186996277422%
1140000,2033,200,2.92673797561292%,0.3614153023239%
1150000,2034,201,2.9281775909477%,0.36322237883552%
1160000,2040,206,2.93681528295639%,0.372257761393617%
