Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,21114,92,0.324123830224447%,0.00310065396836524%
20000,21678,170,0.332781869451813%,0.00572946928937055%
30000,22190,249,0.340641649743321%,0.00839198737090158%
40000,22745,324,0.34916152877025%,0.0109196944103298%
50000,23053,388,0.353889677851861%,0.0130766710839751%
60000,23506,466,0.36084374127384%,0.0157054864049805%
70000,26743,529,0.410535360030899%,0.0178287603181001%
80000,27236,594,0.418103468788152%,0.0200194397522712%
90000,28074,669,0.430967718562145%,0.0225471467916994%
100000,28420,733,0.436279210712267%,0.0247041234653448%
110000,28707,798,0.440684985992858%,0.0268948028995159%
120000,28961,847,0.444584173871849%,0.0285462381652756%
130000,29373,927,0.450908840825173%,0.0312424590073324%
140000,31052,1000,0.476683393773304%,0.0337027605257091%
150000,31416,1055,0.482271206324299%,0.0355564123546231%
160000,31808,1120,0.488288850609985%,0.0377470917887942%
170000,31955,1177,0.490545467217117%,0.0396681491387597%
180000,32200,1242,0.494306494895671%,0.0418588285729308%
190000,32501,1314,0.498927186043609%,0.0442854273307818%
200000,32888,1394,0.504868074662386%,0.0469816481728385%
210000,33887,1460,0.520203856910858%,0.0492060303675353%
220000,34215,1535,0.525239028660105%,0.0517337374069635%
230000,34788,1603,0.534035228087907%,0.0540255251227117%
240000,35922,1674,0.551443413342929%,0.0564184211200371%
250000,37576,1744,0.576834187956514%,0.0587776143568367%
260000,37964,1818,0.582790427708673%,0.0612716186357392%
270000,38212,1881,0.586597508787373%,0.0633948925488589%
280000,38371,1931,0.589038338995087%,0.0650800305751443%
290000,38693,2001,0.593981403944044%,0.067439223811944%
300000,38961,2074,0.59809550769038%,0.0698995253303207%
310000,39645,2136,0.608595682923568%,0.0719890964829147%
320000,40000,2194,0.614045335274126%,0.0739438565934059%
330000,40231,2256,0.617591447085334%,0.0760334277459998%
340000,42192,2307,0.647695019647148%,0.077752268532811%
350000,42451,2368,0.651670963193048%,0.0798081369248792%
360000,42782,2431,0.656752188342441%,0.0819314108379989%
370000,42943,2490,0.65922372081692%,0.0839198737090158%
380000,43196,2548,0.663107557562529%,0.0858746338195069%
390000,43397,2625,0.666193135372281%,0.0884697463799865%
400000,43697,2690,0.670798475386837%,0.0906604258141576%
410000,43951,2746,0.674697663265828%,0.0925477804035973%
420000,45393,2821,0.69683399760246%,0.0950754874430255%
430000,45626,2894,0.700410811680432%,0.0975357889614022%
440000,46084,2962,0.707441630769321%,0.0998275766771505%
450000,46277,3017,0.710404399512018%,0.101681228506064%
460000,46611,3074,0.715531678061557%,0.10360228585603%
470000,47462,3141,0.728595492569514%,0.105860370811252%
480000,47989,3194,0.736685539861751%,0.107646617119115%
490000,48210,3249,0.74007814033914%,0.109500268948029%
500000,48545,3325,0.745220770022061%,0.112061678747983%
510000,48866,3384,0.750148483837636%,0.114050141619%
520000,49140,3446,0.754354694384264%,0.116139712771594%
530000,49814,3522,0.764701358283633%,0.118701122571548%
540000,49928,3583,0.766451387489164%,0.120756990963616%
550000,50361,3639,0.773098428243507%,0.122644345553056%
560000,51108,3703,0.784565724879751%,0.124801322226701%
570000,51335,3765,0.788050432157431%,0.126890893379295%
580000,52015,3840,0.798489202857091%,0.129418600418723%
590000,52269,3903,0.802388390736082%,0.131541874331843%
600000,52527,3957,0.8063489831486%,0.133361823400231%
610000,52879,4014,0.811752582099013%,0.135282880750197%
620000,53122,4076,0.815482907510803%,0.13737245190279%
630000,53400,4135,0.819750522590958%,0.139360914773807%
640000,53574,4194,0.822421619799401%,0.141349377644824%
650000,53961,4264,0.828362508418178%,0.143708570881624%
660000,54287,4328,0.833366977900662%,0.145865547555269%
670000,54475,4383,0.83625299097645%,0.147719199384183%
680000,54791,4446,0.841103949125116%,0.149842473297303%
690000,55005,4501,0.844389091668832%,0.151696125126217%
700000,55227,4566,0.847797043279604%,0.153886804560388%
710000,55569,4633,0.853047130896198%,0.15614488951561%
720000,56993,4695,0.874907144831956%,0.158234460668204%
730000,57133,4748,0.877056303505416%,0.160020706976067%
740000,57631,4819,0.884701167929579%,0.162413602973392%
750000,57934,4887,0.88935256134428%,0.164705390689141%
760000,58114,4952,0.892115765353014%,0.166896070123312%
770000,58403,5021,0.896552242900369%,0.169221560599586%
780000,58657,5086,0.90045143077936%,0.171412240033757%
790000,58862,5143,0.90359841312264%,0.173333297383722%
800000,59043,5198,0.906376968264755%,0.175186949212636%
810000,59298,5253,0.910291507277128%,0.17704060104155%
820000,59811,5313,0.918166638702019%,0.179062766673093%
830000,60221,5376,0.924460603388578%,0.181186040586212%
840000,60549,5433,0.929495775137826%,0.183107097936178%
850000,60812,5489,0.933533123217254%,0.184994452525617%
860000,61333,5546,0.941531063709199%,0.186915509875583%
870000,61698,5609,0.947134227393576%,0.189038783788703%
880000,61880,5666,0.949928133669073%,0.190959841138668%
890000,62207,5728,0.954947954284939%,0.193049412291262%
900000,62388,5778,0.957726509427054%,0.194734550317547%
910000,62646,5835,0.961687101839572%,0.196655607667513%
920000,62891,5891,0.965448129518126%,0.198542962256953%
930000,63081,5953,0.968364844860679%,0.200632533409547%
940000,63345,6016,0.972417544073488%,0.202755807322666%
950000,69720,6092,1.0702810193828%,0.20531721712262%
960000,70175,6170,1.07726578507154%,0.207946032443625%
970000,70973,6235,1.08951598951026%,0.210136711877796%
980000,71492,6284,1.09748322773545%,0.211788147143556%
990000,71635,6351,1.09967843980905%,0.214046232098779%
1000000,71883,6404,1.10348552088775%,0.215832478406641%
1010000,72055,6463,1.10612591582943%,0.217820941277658%
1020000,72276,6527,1.10951851630682%,0.219977917951304%
1030000,72706,6604,1.11611950366102%,0.222573030511783%
1040000,73324,6669,1.125606504091%,0.224763709945954%
1050000,73599,6746,1.12982806577101%,0.227358822506434%
1060000,73782,6793,1.13263732317989%,0.228942852251142%
1070000,73968,6856,1.13549263398891%,0.231066126164262%
1080000,74315,6920,1.14081947727242%,0.233223102837907%
1090000,74897,6977,1.14975383690066%,0.235144160187873%
1100000,75328,7035,1.15637017538823%,0.237098920298364%
1110000,75591,7083,1.16040752346766%,0.238716652803598%
1120000,75933,7159,1.16565761108426%,0.241278062603552%
1130000,78505,7217,1.20514072614238%,0.243232822714043%
1140000,78947,7282,1.21192592709716%,0.245423502148214%
1150000,79265,7334,1.21680758751259%,0.247176045695551%
1160000,79586,7396,1.22173530132816%,0.249265616848145%
1170000,79842,7458,1.22566519147392%,0.251355188000739%
1180000,80237,7549,1.23172888915975%,0.254422139208578%
1190000,80633,7615,1.23780793797897%,0.256646521403275%
1200000,80924,7677,1.24227511779308%,0.258736092555869%
1210000,81213,7729,1.24671159534044%,0.260488636103206%
1220000,81520,7783,1.25142439328867%,0.262308585171594%
1230000,81965,7843,1.25825564764359%,0.264330750803137%
1240000,82148,7897,1.26106490505247%,0.266150699871525%
1250000,82371,7953,1.26448820779663%,0.268038054460965%
1260000,82585,8008,1.26777335034034%,0.269891706289879%
1270000,82863,8069,1.2720409654205%,0.271947574681947%
1280000,83087,8141,1.27547961929803%,0.274374173439798%
1290000,83376,8195,1.27991609684539%,0.276194122508186%
1300000,83542,8246,1.28246438498678%,0.277912963294998%
1310000,83975,8311,1.28911142574112%,0.280103642729169%
1320000,84244,8366,1.29324088062084%,0.281957294558083%
1330000,84588,8428,1.29852167050419%,0.284046865710677%
1340000,84846,8496,1.30248226291671%,0.286338653426425%
1350000,84978,8547,1.30450861252312%,0.288057494213236%
1360000,85222,8597,1.30825428906829%,0.289742632239522%
1370000,85700,8683,1.31559213082481%,0.292641069644732%
1380000,85926,8740,1.31906148696911%,0.294562126994698%
1390000,87333,8794,1.34066053163738%,0.296382076063086%
1400000,87927,8856,1.3497791048662%,0.29847164721568%
1410000,88171,8905,1.35352478141137%,0.30012308248144%
1420000,88414,8969,1.35725510682316%,0.302280059155085%
1430000,88689,9016,1.36147666850317%,0.303864088899794%
1440000,89081,9085,1.36749431278886%,0.306189579376068%
1450000,89396,9142,1.37232991980414%,0.308110636726033%
1460000,89610,9188,1.37561506234786%,0.309660963710216%
1470000,89758,9244,1.37788703008837%,0.311548318299655%
1480000,89936,9288,1.38061953183034%,0.313031239762786%
1490000,90163,9358,1.38410423910803%,0.315390432999586%
1500000,90378,9407,1.38740473278512%,0.317041868265346%
1510000,90741,9468,1.39297719420274%,0.319097736657414%
1520000,91112,9533,1.3986724646874%,0.321288416091585%
1530000,91446,9585,1.40379974323694%,0.323040959638922%
1540000,91693,9642,1.40759147318226%,0.324962016988887%
1550000,92072,9727,1.41340955273398%,0.327826751633573%
1560000,92455,9778,1.41928903681923%,0.329545592420384%
1570000,92828,9842,1.42501500957066%,0.331702569094029%
1580000,93156,9894,1.43005018131991%,0.333455112641366%
1590000,93470,9970,1.43487043720181%,0.33601652244132%
1600000,93675,10019,1.43801741954509%,0.33766795770708%
1610000,94134,10075,1.44506358976736%,0.33955531229652%
1620000,94549,10127,1.45143431012083%,0.341307855843856%
1630000,94714,10184,1.45396724712884%,0.343228913193822%
1640000,95092,10235,1.45976997554718%,0.344947753980633%
1650000,95469,10288,1.46555735283214%,0.346734000288496%
1660000,95906,10356,1.47226579812001%,0.349025788004244%
1670000,96365,10426,1.47931196834228%,0.351384981241044%
1680000,96568,10473,1.48242824841879%,0.352969010985752%
1690000,97790,10533,1.50118733341142%,0.354991176617294%
1700000,98387,10600,1.51035196004039%,0.357249261572517%
1710000,98867,10661,1.51772050406368%,0.359305129964585%
1720000,99166,10726,1.52231049294485%,0.361495809398756%
1730000,99446,10781,1.52660881029177%,0.36334946122767%
1740000,99605,10846,1.52904964049948%,0.365540140661841%
1750000,99829,10907,1.53248829437702%,0.36759600905391%
1760000,100553,10970,1.54360251494548%,0.369719282967029%
1770000,100739,11026,1.5464578257545%,0.371606637556469%
1780000,101202,11081,1.5535654005103%,0.373460289385383%
1790000,101514,11129,1.55835495412544%,0.375078021890617%
1800000,101800,11188,1.56274537827265%,0.377066484761634%
1810000,102193,11262,1.56877837369172%,0.379560489040536%
1820000,102611,11320,1.57519514744533%,0.381515249151027%
