Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,46,1,0.894593543368339%,0.0236742424242424%
20000,46,1,0.894593543368339%,0.0236742424242424%
30000,46,1,0.894593543368339%,0.0236742424242424%
40000,46,1,0.894593543368339%,0.0236742424242424%
50000,46,1,0.894593543368339%,0.0236742424242424%
60000,46,1,0.894593543368339%,0.0236742424242424%
70000,46,1,0.894593543368339%,0.0236742424242424%
80000,46,1,0.894593543368339%,0.0236742424242424%
90000,46,1,0.894593543368339%,0.0236742424242424%
100000,46,1,0.894593543368339%,0.0236742424242424%
110000,46,1,0.894593543368339%,0.0236742424242424%
120000,46,1,0.894593543368339%,0.0236742424242424%
130000,46,1,0.894593543368339%,0.0236742424242424%
140000,46,1,0.894593543368339%,0.0236742424242424%
150000,47,2,0.914041229093738%,0.0473484848484848%
160000,48,3,0.933488914819136%,0.0710227272727273%
170000,48,3,0.933488914819136%,0.0710227272727273%
180000,48,3,0.933488914819136%,0.0710227272727273%
190000,48,3,0.933488914819136%,0.0710227272727273%
200000,49,4,0.952936600544535%,0.0946969696969697%
210000,49,4,0.952936600544535%,0.0946969696969697%
220000,50,5,0.972384286269934%,0.118371212121212%
230000,50,5,0.972384286269934%,0.118371212121212%
240000,50,5,0.972384286269934%,0.118371212121212%
250000,50,5,0.972384286269934%,0.118371212121212%
260000,51,6,0.991831971995333%,0.142045454545455%
270000,51,6,0.991831971995333%,0.142045454545455%
280000,53,7,1.03072734344613%,0.165719696969697%
290000,53,7,1.03072734344613%,0.165719696969697%
300000,53,7,1.03072734344613%,0.165719696969697%
310000,53,7,1.03072734344613%,0.165719696969697%
320000,53,7,1.03072734344613%,0.165719696969697%
330000,54,8,1.05017502917153%,0.189393939393939%
340000,54,8,1.05017502917153%,0.189393939393939%
350000,54,8,1.05017502917153%,0.189393939393939%
360000,54,8,1.05017502917153%,0.189393939393939%
370000,54,8,1.05017502917153%,0.189393939393939%
380000,54,8,1.05017502917153%,0.189393939393939%
