Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.0120510966497951%,0.0134138162307176%
20000,13,2,0.156664256447337%,0.0268276324614353%
30000,14,3,0.168715353097132%,0.0402414486921529%
40000,14,3,0.168715353097132%,0.0402414486921529%
50000,14,3,0.168715353097132%,0.0402414486921529%
60000,14,3,0.168715353097132%,0.0402414486921529%
70000,14,3,0.168715353097132%,0.0402414486921529%
80000,15,4,0.180766449746927%,0.0536552649228706%
90000,15,4,0.180766449746927%,0.0536552649228706%
100000,15,4,0.180766449746927%,0.0536552649228706%
110000,15,4,0.180766449746927%,0.0536552649228706%
120000,15,4,0.180766449746927%,0.0536552649228706%
130000,15,4,0.180766449746927%,0.0536552649228706%
140000,15,4,0.180766449746927%,0.0536552649228706%
150000,16,5,0.192817546396722%,0.0670690811535882%
160000,16,5,0.192817546396722%,0.0670690811535882%
170000,16,5,0.192817546396722%,0.0670690811535882%
180000,17,6,0.204868643046517%,0.0804828973843058%
190000,17,6,0.204868643046517%,0.0804828973843058%
200000,19,8,0.228970836346108%,0.107310529845741%
210000,19,8,0.228970836346108%,0.107310529845741%
220000,20,9,0.241021932995903%,0.120724346076459%
230000,20,9,0.241021932995903%,0.120724346076459%
240000,20,9,0.241021932995903%,0.120724346076459%
250000,20,9,0.241021932995903%,0.120724346076459%
260000,20,9,0.241021932995903%,0.120724346076459%
270000,20,9,0.241021932995903%,0.120724346076459%
280000,20,9,0.241021932995903%,0.120724346076459%
290000,20,9,0.241021932995903%,0.120724346076459%
300000,20,9,0.241021932995903%,0.120724346076459%
310000,20,9,0.241021932995903%,0.120724346076459%
320000,23,10,0.277175222945288%,0.134138162307176%
330000,23,10,0.277175222945288%,0.134138162307176%
340000,23,10,0.277175222945288%,0.134138162307176%
350000,23,10,0.277175222945288%,0.134138162307176%
360000,24,11,0.289226319595083%,0.147551978537894%
370000,24,11,0.289226319595083%,0.147551978537894%
380000,25,12,0.301277416244878%,0.160965794768612%
390000,25,12,0.301277416244878%,0.160965794768612%
400000,25,12,0.301277416244878%,0.160965794768612%
410000,25,12,0.301277416244878%,0.160965794768612%
420000,25,12,0.301277416244878%,0.160965794768612%
430000,25,12,0.301277416244878%,0.160965794768612%
440000,26,13,0.313328512894673%,0.174379610999329%
450000,26,13,0.313328512894673%,0.174379610999329%
460000,26,13,0.313328512894673%,0.174379610999329%
470000,26,13,0.313328512894673%,0.174379610999329%
480000,30,14,0.361532899493854%,0.187793427230047%
490000,30,14,0.361532899493854%,0.187793427230047%
500000,30,14,0.361532899493854%,0.187793427230047%
510000,30,14,0.361532899493854%,0.187793427230047%
520000,30,14,0.361532899493854%,0.187793427230047%
530000,30,14,0.361532899493854%,0.187793427230047%
540000,30,14,0.361532899493854%,0.187793427230047%
550000,30,14,0.361532899493854%,0.187793427230047%
560000,30,14,0.361532899493854%,0.187793427230047%
570000,30,14,0.361532899493854%,0.187793427230047%
580000,30,14,0.361532899493854%,0.187793427230047%
590000,30,14,0.361532899493854%,0.187793427230047%
600000,30,14,0.361532899493854%,0.187793427230047%
610000,30,14,0.361532899493854%,0.187793427230047%
620000,30,14,0.361532899493854%,0.187793427230047%
630000,30,14,0.361532899493854%,0.187793427230047%
640000,31,15,0.373583996143649%,0.201207243460765%
650000,31,15,0.373583996143649%,0.201207243460765%
660000,34,17,0.409737286093034%,0.2280348759222%
670000,34,17,0.409737286093034%,0.2280348759222%
680000,34,17,0.409737286093034%,0.2280348759222%
690000,34,17,0.409737286093034%,0.2280348759222%
700000,34,17,0.409737286093034%,0.2280348759222%
710000,34,17,0.409737286093034%,0.2280348759222%
720000,34,17,0.409737286093034%,0.2280348759222%
730000,34,17,0.409737286093034%,0.2280348759222%
740000,34,17,0.409737286093034%,0.2280348759222%
750000,34,17,0.409737286093034%,0.2280348759222%
760000,34,17,0.409737286093034%,0.2280348759222%
770000,34,17,0.409737286093034%,0.2280348759222%
780000,34,17,0.409737286093034%,0.2280348759222%
790000,34,17,0.409737286093034%,0.2280348759222%
800000,34,17,0.409737286093034%,0.2280348759222%
810000,34,17,0.409737286093034%,0.2280348759222%
820000,34,17,0.409737286093034%,0.2280348759222%
830000,34,17,0.409737286093034%,0.2280348759222%
840000,34,17,0.409737286093034%,0.2280348759222%
850000,35,18,0.42178838274283%,0.241448692152918%
860000,36,19,0.433839479392625%,0.254862508383635%
870000,36,19,0.433839479392625%,0.254862508383635%
880000,36,19,0.433839479392625%,0.254862508383635%
890000,36,19,0.433839479392625%,0.254862508383635%
900000,36,19,0.433839479392625%,0.254862508383635%
910000,36,19,0.433839479392625%,0.254862508383635%
920000,36,19,0.433839479392625%,0.254862508383635%
930000,38,20,0.457941672692215%,0.268276324614353%
940000,39,21,0.46999276934201%,0.28169014084507%
950000,41,22,0.4940949626416%,0.295103957075788%
960000,41,22,0.4940949626416%,0.295103957075788%
970000,42,23,0.506146059291396%,0.308517773306506%
980000,43,24,0.518197155941191%,0.321931589537223%
990000,43,24,0.518197155941191%,0.321931589537223%
1000000,43,24,0.518197155941191%,0.321931589537223%
1010000,45,26,0.542299349240781%,0.348759221998659%
1020000,46,27,0.554350445890576%,0.362173038229376%
1030000,46,27,0.554350445890576%,0.362173038229376%
1040000,46,27,0.554350445890576%,0.362173038229376%
1050000,46,27,0.554350445890576%,0.362173038229376%
1060000,46,27,0.554350445890576%,0.362173038229376%
1070000,46,27,0.554350445890576%,0.362173038229376%
1080000,46,27,0.554350445890576%,0.362173038229376%
1090000,46,27,0.554350445890576%,0.362173038229376%
1100000,46,27,0.554350445890576%,0.362173038229376%
1110000,46,27,0.554350445890576%,0.362173038229376%
1120000,46,27,0.554350445890576%,0.362173038229376%
1130000,46,27,0.554350445890576%,0.362173038229376%
1140000,47,28,0.566401542540371%,0.375586854460094%
1150000,47,28,0.566401542540371%,0.375586854460094%
1160000,47,28,0.566401542540371%,0.375586854460094%
1170000,47,28,0.566401542540371%,0.375586854460094%
1180000,48,29,0.578452639190166%,0.389000670690812%
1190000,48,29,0.578452639190166%,0.389000670690812%
1200000,48,29,0.578452639190166%,0.389000670690812%
1210000,48,29,0.578452639190166%,0.389000670690812%
1220000,48,29,0.578452639190166%,0.389000670690812%
1230000,48,29,0.578452639190166%,0.389000670690812%
