Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,390,9,0.561449980565193%,0.0162636886045755%
20000,395,14,0.568648057239106%,0.025299071162673%
30000,397,16,0.571527287908671%,0.028913224185912%
40000,399,18,0.574406518578236%,0.032527377209151%
50000,404,20,0.581604595252149%,0.03614153023239%
60000,439,23,0.631991131969538%,0.0415627597672485%
70000,441,25,0.634870362639103%,0.0451769127904876%
80000,441,25,0.634870362639103%,0.0451769127904876%
90000,445,27,0.640628823978233%,0.0487910658137266%
100000,446,28,0.642068439313015%,0.0505981423253461%
110000,447,29,0.643508054647798%,0.0524052188369656%
120000,450,31,0.647826900652146%,0.0560193718602046%
130000,451,32,0.649266515986928%,0.0578264483718241%
140000,455,34,0.655024977326058%,0.0614406013950631%
150000,457,36,0.657904207995624%,0.0650547544183021%
160000,462,39,0.665102284669536%,0.0704759839531606%
170000,464,41,0.667981515339101%,0.0740901369763996%
180000,466,42,0.670860746008667%,0.0758972134880191%
190000,468,43,0.673739976678231%,0.0777042899996386%
200000,471,45,0.678058822682579%,0.0813184430228776%
210000,472,46,0.679498438017362%,0.0831255195344971%
220000,472,46,0.679498438017362%,0.0831255195344971%
230000,478,51,0.688136130026057%,0.0921609020925946%
240000,479,52,0.68957574536084%,0.0939679786042141%
250000,480,53,0.691015360695622%,0.0957750551158336%
260000,483,56,0.69533420669997%,0.101196284650692%
270000,484,57,0.696773822034752%,0.103003361162312%
280000,487,60,0.7010926680391%,0.10842459069717%
290000,488,61,0.702532283373883%,0.11023166720879%
300000,502,64,0.722686898060838%,0.115652896743648%
310000,503,65,0.724126513395621%,0.117459973255268%
320000,523,67,0.752918820091272%,0.121074126278507%
330000,523,67,0.752918820091272%,0.121074126278507%
340000,525,69,0.755798050760837%,0.124688279301746%
350000,528,72,0.760116896765184%,0.130109508836604%
360000,528,72,0.760116896765184%,0.130109508836604%
370000,529,73,0.761556512099967%,0.131916585348224%
380000,531,75,0.764435742769532%,0.135530738371463%
390000,532,76,0.765875358104315%,0.137337814883082%
400000,535,78,0.770194204108662%,0.140951967906321%
410000,538,81,0.77451305011301%,0.14637319744118%
420000,539,82,0.775952665447792%,0.148180273952799%
430000,542,85,0.78027151145214%,0.153601503487658%
440000,548,88,0.788909203460835%,0.159022733022516%
450000,549,89,0.790348818795618%,0.160829809534136%
460000,550,90,0.7917884341304%,0.162636886045755%
470000,557,94,0.801865741473878%,0.169865192092233%
480000,559,96,0.804744972143443%,0.173479345115472%
490000,559,96,0.804744972143443%,0.173479345115472%
500000,562,99,0.809063818147791%,0.178900574650331%
510000,566,102,0.814822279486921%,0.184321804185189%
520000,566,102,0.814822279486921%,0.184321804185189%
530000,569,104,0.819141125491269%,0.187935957208428%
540000,569,104,0.819141125491269%,0.187935957208428%
550000,570,105,0.820580740826051%,0.189743033720048%
560000,572,106,0.823459971495616%,0.191550110231667%
570000,577,109,0.830658048169529%,0.196971339766526%
580000,577,109,0.830658048169529%,0.196971339766526%
590000,577,109,0.830658048169529%,0.196971339766526%
600000,578,110,0.832097663504312%,0.198778416278145%
610000,578,110,0.832097663504312%,0.198778416278145%
620000,579,111,0.833537278839094%,0.200585492789765%
630000,580,112,0.834976894173877%,0.202392569301384%
640000,583,114,0.839295740178224%,0.206006722324623%
650000,585,115,0.84217497084779%,0.207813798836243%
660000,586,116,0.843614586182572%,0.209620875347862%
