Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,21093,96,0.323801456423428%,0.00323546501046808%
20000,23030,166,0.353536601784078%,0.00559465824726772%
30000,23336,231,0.358234048598925%,0.00778533768143881%
40000,23638,298,0.362870090880245%,0.0100434226366613%
50000,23960,368,0.367813155829201%,0.012402615873461%
60000,24434,444,0.3750895930522%,0.0149640256734149%
70000,24713,491,0.379372559265737%,0.0165480554181232%
80000,24828,544,0.38113793960465%,0.0183343017259858%
90000,25253,596,0.387662171291938%,0.0200868452733226%
100000,25520,657,0.391760923904892%,0.0221427136653909%
110000,25701,709,0.394539479047008%,0.0238952572127278%
120000,26210,766,0.402353205938371%,0.0258163145626932%
130000,26576,833,0.407971720756129%,0.0280743995179157%
140000,26852,900,0.412208633569521%,0.0303324844731382%
150000,27549,954,0.422908373536672%,0.0321524335415265%
160000,27779,1021,0.426439134214499%,0.034410518496749%
170000,27879,1073,0.427974247552684%,0.0361630620440859%
180000,28201,1131,0.432917312501641%,0.038117822154577%
190000,28349,1188,0.435189280242155%,0.0400388795045425%
200000,28798,1241,0.442081939130607%,0.041825125812405%
210000,29309,1288,0.449926368288734%,0.0434091555571134%
220000,29425,1333,0.451707099761029%,0.0449257797807703%
230000,29626,1391,0.454792677570781%,0.0468805398912614%
240000,29786,1434,0.457248858911878%,0.0483297585938669%
250000,31186,1509,0.478740445646472%,0.0508574656332951%
260000,31311,1553,0.480659337319204%,0.0523403870964263%
270000,32015,1613,0.491466535220029%,0.0543625527279688%
280000,35059,1668,0.538195385234389%,0.0562162045568829%
290000,35280,1715,0.541587985711779%,0.0578002343015912%
300000,35473,1776,0.544550754454477%,0.0598561026936594%
310000,35598,1825,0.546469646127208%,0.0615075379594192%
320000,35989,1879,0.552471939279513%,0.0633274870278075%
330000,36073,1931,0.553761434483589%,0.0650800305751443%
340000,36154,1969,0.555004876287519%,0.0663607354751213%
350000,36345,2021,0.557936942763453%,0.0681132790224582%
360000,36545,2067,0.561007169439823%,0.0696636060066408%
370000,37209,2126,0.571200322005374%,0.0716520688776576%
380000,37356,2183,0.573456938612506%,0.0735731262276231%
390000,37434,2225,0.574654327016291%,0.0749886421697028%
400000,37760,2272,0.579658796498775%,0.0765726719144112%
410000,38150,2329,0.585645738517698%,0.0784937292643766%
420000,38345,2388,0.588639209527159%,0.0804821921353934%
430000,38613,2442,0.592753313273496%,0.0823021412037817%
440000,38829,2498,0.596069158083976%,0.0841894957932214%
450000,38976,2542,0.598325774691108%,0.0856724172563526%
460000,39716,2590,0.60968561339368%,0.0872901497615867%
470000,39998,2661,0.614014633007362%,0.089683045758912%
480000,40191,2703,0.61697740175006%,0.0910985617009918%
490000,99758,2761,1.53139836390691%,0.0930533218114829%
500000,99893,2801,1.53347076691346%,0.0944014322325113%
510000,100108,2862,1.53677126059056%,0.0964573006245796%
520000,100372,2925,1.54082395980336%,0.0985805745376992%
