Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,58,2,1.12796577207312%,0.0473484848484848%
20000,58,2,1.12796577207312%,0.0473484848484848%
30000,86,4,1.67250097238429%,0.0946969696969697%
40000,86,4,1.67250097238429%,0.0946969696969697%
50000,86,4,1.67250097238429%,0.0946969696969697%
60000,86,4,1.67250097238429%,0.0946969696969697%
70000,90,7,1.75029171528588%,0.165719696969697%
80000,96,10,1.86697782963827%,0.236742424242424%
90000,96,10,1.86697782963827%,0.236742424242424%
100000,154,11,2.9949436017114%,0.260416666666667%
110000,154,11,2.9949436017114%,0.260416666666667%
120000,154,11,2.9949436017114%,0.260416666666667%
130000,155,12,3.0143912874368%,0.284090909090909%
140000,155,12,3.0143912874368%,0.284090909090909%
150000,155,12,3.0143912874368%,0.284090909090909%
160000,155,12,3.0143912874368%,0.284090909090909%
170000,157,13,3.05328665888759%,0.307765151515151%
180000,159,14,3.09218203033839%,0.331439393939394%
190000,161,15,3.13107740178919%,0.355113636363636%
200000,163,16,3.16997277323998%,0.378787878787879%
210000,163,16,3.16997277323998%,0.378787878787879%
220000,163,16,3.16997277323998%,0.378787878787879%
230000,163,16,3.16997277323998%,0.378787878787879%
240000,169,17,3.28665888759238%,0.402462121212121%
250000,169,17,3.28665888759238%,0.402462121212121%
260000,169,17,3.28665888759238%,0.402462121212121%
270000,169,17,3.28665888759238%,0.402462121212121%
280000,169,17,3.28665888759238%,0.402462121212121%
290000,193,18,3.75340334500194%,0.426136363636364%
300000,194,19,3.77285103072734%,0.449810606060606%
310000,194,19,3.77285103072734%,0.449810606060606%
320000,194,19,3.77285103072734%,0.449810606060606%
330000,194,19,3.77285103072734%,0.449810606060606%
340000,194,19,3.77285103072734%,0.449810606060606%
350000,194,19,3.77285103072734%,0.449810606060606%
360000,194,19,3.77285103072734%,0.449810606060606%
370000,194,19,3.77285103072734%,0.449810606060606%
380000,194,19,3.77285103072734%,0.449810606060606%
390000,194,19,3.77285103072734%,0.449810606060606%
400000,195,20,3.79229871645274%,0.473484848484849%
410000,195,20,3.79229871645274%,0.473484848484849%
420000,198,21,3.85064177362894%,0.497159090909091%
430000,198,21,3.85064177362894%,0.497159090909091%
440000,198,21,3.85064177362894%,0.497159090909091%
450000,198,21,3.85064177362894%,0.497159090909091%
460000,198,21,3.85064177362894%,0.497159090909091%
470000,198,21,3.85064177362894%,0.497159090909091%
480000,198,21,3.85064177362894%,0.497159090909091%
490000,199,22,3.87008945935434%,0.520833333333333%
500000,199,22,3.87008945935434%,0.520833333333333%
510000,199,22,3.87008945935434%,0.520833333333333%
520000,199,22,3.87008945935434%,0.520833333333333%
530000,199,22,3.87008945935434%,0.520833333333333%
540000,200,23,3.88953714507974%,0.544507575757576%
550000,200,23,3.88953714507974%,0.544507575757576%
560000,200,23,3.88953714507974%,0.544507575757576%
570000,200,23,3.88953714507974%,0.544507575757576%
580000,200,23,3.88953714507974%,0.544507575757576%
590000,200,23,3.88953714507974%,0.544507575757576%
600000,200,23,3.88953714507974%,0.544507575757576%
610000,200,23,3.88953714507974%,0.544507575757576%
620000,200,23,3.88953714507974%,0.544507575757576%
630000,200,23,3.88953714507974%,0.544507575757576%
640000,201,24,3.90898483080513%,0.568181818181818%
