Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.00143961533478255%,0.0018070765116195%
20000,1,1,0.00143961533478255%,0.0018070765116195%
30000,2,2,0.00287923066956509%,0.003614153023239%
40000,2,2,0.00287923066956509%,0.003614153023239%
50000,3,3,0.00431884600434764%,0.00542122953485851%
60000,6,6,0.00863769200869528%,0.010842459069717%
70000,6,6,0.00863769200869528%,0.010842459069717%
80000,6,6,0.00863769200869528%,0.010842459069717%
90000,6,6,0.00863769200869528%,0.010842459069717%
100000,6,6,0.00863769200869528%,0.010842459069717%
110000,6,6,0.00863769200869528%,0.010842459069717%
120000,6,6,0.00863769200869528%,0.010842459069717%
130000,7,7,0.0100773073434778%,0.0126495355813365%
140000,8,8,0.0115169226782604%,0.014456612092956%
150000,9,9,0.0129565380130429%,0.0162636886045755%
160000,9,9,0.0129565380130429%,0.0162636886045755%
170000,10,10,0.0143961533478255%,0.018070765116195%
180000,10,10,0.0143961533478255%,0.018070765116195%
190000,10,10,0.0143961533478255%,0.018070765116195%
200000,10,10,0.0143961533478255%,0.018070765116195%
210000,10,10,0.0143961533478255%,0.018070765116195%
220000,11,11,0.015835768682608%,0.0198778416278145%
230000,12,12,0.0172753840173906%,0.021684918139434%
240000,12,12,0.0172753840173906%,0.021684918139434%
250000,12,12,0.0172753840173906%,0.021684918139434%
260000,12,12,0.0172753840173906%,0.021684918139434%
270000,21,13,0.0302319220304335%,0.0234919946510535%
280000,21,13,0.0302319220304335%,0.0234919946510535%
290000,21,13,0.0302319220304335%,0.0234919946510535%
300000,21,13,0.0302319220304335%,0.0234919946510535%
310000,21,13,0.0302319220304335%,0.0234919946510535%
320000,25,15,0.0359903833695637%,0.0271061476742925%
330000,25,15,0.0359903833695637%,0.0271061476742925%
340000,25,15,0.0359903833695637%,0.0271061476742925%
350000,26,16,0.0374299987043462%,0.028913224185912%
360000,26,16,0.0374299987043462%,0.028913224185912%
370000,26,16,0.0374299987043462%,0.028913224185912%
380000,27,17,0.0388696140391287%,0.0307203006975315%
390000,27,17,0.0388696140391287%,0.0307203006975315%
400000,28,18,0.0403092293739113%,0.032527377209151%
410000,28,18,0.0403092293739113%,0.032527377209151%
420000,29,19,0.0417488447086938%,0.0343344537207705%
430000,29,19,0.0417488447086938%,0.0343344537207705%
440000,29,19,0.0417488447086938%,0.0343344537207705%
450000,30,20,0.0431884600434764%,0.03614153023239%
460000,33,22,0.047507306047824%,0.039755683255629%
470000,33,22,0.047507306047824%,0.039755683255629%
480000,33,22,0.047507306047824%,0.039755683255629%
490000,33,22,0.047507306047824%,0.039755683255629%
500000,34,23,0.0489469213826066%,0.0415627597672485%
510000,34,23,0.0489469213826066%,0.0415627597672485%
520000,34,23,0.0489469213826066%,0.0415627597672485%
530000,34,23,0.0489469213826066%,0.0415627597672485%
540000,36,25,0.0518261520521717%,0.0451769127904876%
550000,36,25,0.0518261520521717%,0.0451769127904876%
560000,37,26,0.0532657673869542%,0.0469839893021071%
570000,37,26,0.0532657673869542%,0.0469839893021071%
580000,37,26,0.0532657673869542%,0.0469839893021071%
590000,38,27,0.0547053827217368%,0.0487910658137266%
600000,40,29,0.0575846133913018%,0.0524052188369656%
610000,40,29,0.0575846133913018%,0.0524052188369656%
620000,41,30,0.0590242287260844%,0.0542122953485851%
630000,41,30,0.0590242287260844%,0.0542122953485851%
640000,41,30,0.0590242287260844%,0.0542122953485851%
650000,41,30,0.0590242287260844%,0.0542122953485851%
660000,41,30,0.0590242287260844%,0.0542122953485851%
670000,43,32,0.0619034593956495%,0.0578264483718241%
680000,44,33,0.063343074730432%,0.0596335248834436%
690000,47,34,0.0676619207347797%,0.0614406013950631%
700000,52,35,0.0748599974086924%,0.0632476779066826%
710000,52,35,0.0748599974086924%,0.0632476779066826%
720000,53,36,0.0762996127434749%,0.0650547544183021%
730000,53,36,0.0762996127434749%,0.0650547544183021%
740000,53,36,0.0762996127434749%,0.0650547544183021%
750000,53,36,0.0762996127434749%,0.0650547544183021%
760000,55,38,0.07917884341304%,0.0686689074415411%
770000,55,38,0.07917884341304%,0.0686689074415411%
780000,55,38,0.07917884341304%,0.0686689074415411%
790000,56,39,0.0806184587478226%,0.0704759839531606%
800000,58,41,0.0834976894173877%,0.0740901369763996%
810000,58,41,0.0834976894173877%,0.0740901369763996%
820000,60,42,0.0863769200869528%,0.0758972134880191%
830000,65,44,0.0935749967608655%,0.0795113665112581%
840000,65,44,0.0935749967608655%,0.0795113665112581%
850000,66,45,0.095014612095648%,0.0813184430228776%
860000,66,45,0.095014612095648%,0.0813184430228776%
870000,66,45,0.095014612095648%,0.0813184430228776%
880000,66,45,0.095014612095648%,0.0813184430228776%
890000,67,46,0.0964542274304306%,0.0831255195344971%
900000,69,48,0.0993334580999957%,0.0867396725577361%
910000,69,48,0.0993334580999957%,0.0867396725577361%
920000,69,48,0.0993334580999957%,0.0867396725577361%
930000,69,48,0.0993334580999957%,0.0867396725577361%
940000,70,49,0.100773073434778%,0.0885467490693556%
950000,71,50,0.102212688769561%,0.0903538255809751%
960000,72,51,0.103652304104343%,0.0921609020925946%
970000,72,51,0.103652304104343%,0.0921609020925946%
980000,73,52,0.105091919439126%,0.0939679786042141%
990000,73,52,0.105091919439126%,0.0939679786042141%
1000000,74,53,0.106531534773908%,0.0957750551158336%
1010000,74,53,0.106531534773908%,0.0957750551158336%
1020000,76,54,0.109410765443474%,0.0975821316274531%
1030000,77,55,0.110850380778256%,0.0993892081390726%
1040000,78,56,0.112289996113039%,0.101196284650692%
1050000,78,56,0.112289996113039%,0.101196284650692%
1060000,78,56,0.112289996113039%,0.101196284650692%
1070000,79,57,0.113729611447821%,0.103003361162312%
1080000,81,59,0.116608842117386%,0.106617514185551%
1090000,127,60,0.182831147517383%,0.10842459069717%
1100000,127,60,0.182831147517383%,0.10842459069717%
1110000,128,61,0.184270762852166%,0.11023166720879%
1120000,131,63,0.188589608856514%,0.113845820232029%
1130000,131,63,0.188589608856514%,0.113845820232029%
1140000,131,63,0.188589608856514%,0.113845820232029%
1150000,131,63,0.188589608856514%,0.113845820232029%
1160000,131,63,0.188589608856514%,0.113845820232029%
1170000,131,63,0.188589608856514%,0.113845820232029%
1180000,131,63,0.188589608856514%,0.113845820232029%
1190000,132,64,0.190029224191296%,0.115652896743648%
1200000,133,65,0.191468839526079%,0.117459973255268%
1210000,134,66,0.192908454860861%,0.119267049766887%
1220000,134,66,0.192908454860861%,0.119267049766887%
1230000,140,67,0.201546146869556%,0.121074126278507%
1240000,140,67,0.201546146869556%,0.121074126278507%
1250000,140,67,0.201546146869556%,0.121074126278507%
1260000,141,68,0.202985762204339%,0.122881202790126%
1270000,141,68,0.202985762204339%,0.122881202790126%
1280000,153,69,0.22026114622173%,0.124688279301746%
1290000,153,69,0.22026114622173%,0.124688279301746%
1300000,153,69,0.22026114622173%,0.124688279301746%
1310000,153,69,0.22026114622173%,0.124688279301746%
1320000,153,69,0.22026114622173%,0.124688279301746%
1330000,153,69,0.22026114622173%,0.124688279301746%
1340000,153,69,0.22026114622173%,0.124688279301746%
1350000,154,70,0.221700761556512%,0.126495355813365%
1360000,157,73,0.22601960756086%,0.131916585348224%
1370000,159,75,0.228898838230425%,0.135530738371463%
1380000,159,75,0.228898838230425%,0.135530738371463%
1390000,160,76,0.230338453565207%,0.137337814883082%
1400000,160,76,0.230338453565207%,0.137337814883082%
1410000,161,77,0.23177806889999%,0.139144891394702%
1420000,163,79,0.234657299569555%,0.142759044417941%
1430000,163,79,0.234657299569555%,0.142759044417941%
1440000,164,80,0.236096914904338%,0.14456612092956%
1450000,164,80,0.236096914904338%,0.14456612092956%
1460000,164,80,0.236096914904338%,0.14456612092956%
1470000,165,81,0.23753653023912%,0.14637319744118%
1480000,165,81,0.23753653023912%,0.14637319744118%
1490000,165,81,0.23753653023912%,0.14637319744118%
1500000,166,82,0.238976145573903%,0.148180273952799%
1510000,167,83,0.240415760908685%,0.149987350464419%
1520000,167,83,0.240415760908685%,0.149987350464419%
1530000,168,84,0.241855376243468%,0.151794426976038%
1540000,168,84,0.241855376243468%,0.151794426976038%
1550000,170,86,0.244734606913033%,0.155408579999277%
1560000,171,87,0.246174222247815%,0.157215656510897%
1570000,172,88,0.247613837582598%,0.159022733022516%
