Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,31,1,0.0446280753782589%,0.0018070765116195%
40000,32,2,0.0460676907130415%,0.003614153023239%
50000,32,2,0.0460676907130415%,0.003614153023239%
60000,34,4,0.0489469213826066%,0.00722830604647801%
70000,34,4,0.0489469213826066%,0.00722830604647801%
80000,36,5,0.0518261520521717%,0.00903538255809751%
90000,36,5,0.0518261520521717%,0.00903538255809751%
100000,36,5,0.0518261520521717%,0.00903538255809751%
110000,36,5,0.0518261520521717%,0.00903538255809751%
120000,38,6,0.0547053827217368%,0.010842459069717%
130000,38,6,0.0547053827217368%,0.010842459069717%
140000,47,9,0.0676619207347797%,0.0162636886045755%
150000,47,9,0.0676619207347797%,0.0162636886045755%
160000,47,9,0.0676619207347797%,0.0162636886045755%
170000,48,10,0.0691015360695622%,0.018070765116195%
180000,48,10,0.0691015360695622%,0.018070765116195%
190000,49,11,0.0705411514043447%,0.0198778416278145%
200000,49,11,0.0705411514043447%,0.0198778416278145%
210000,50,12,0.0719807667391273%,0.021684918139434%
220000,50,12,0.0719807667391273%,0.021684918139434%
230000,50,12,0.0719807667391273%,0.021684918139434%
240000,50,12,0.0719807667391273%,0.021684918139434%
250000,50,12,0.0719807667391273%,0.021684918139434%
260000,50,12,0.0719807667391273%,0.021684918139434%
270000,51,13,0.0734203820739099%,0.0234919946510535%
280000,51,13,0.0734203820739099%,0.0234919946510535%
290000,51,13,0.0734203820739099%,0.0234919946510535%
300000,51,13,0.0734203820739099%,0.0234919946510535%
310000,51,13,0.0734203820739099%,0.0234919946510535%
320000,51,13,0.0734203820739099%,0.0234919946510535%
330000,51,13,0.0734203820739099%,0.0234919946510535%
340000,51,13,0.0734203820739099%,0.0234919946510535%
350000,51,13,0.0734203820739099%,0.0234919946510535%
360000,52,14,0.0748599974086924%,0.025299071162673%
370000,52,14,0.0748599974086924%,0.025299071162673%
380000,52,14,0.0748599974086924%,0.025299071162673%
390000,55,16,0.07917884341304%,0.028913224185912%
400000,56,17,0.0806184587478226%,0.0307203006975315%
410000,56,17,0.0806184587478226%,0.0307203006975315%
420000,56,17,0.0806184587478226%,0.0307203006975315%
430000,56,17,0.0806184587478226%,0.0307203006975315%
440000,56,17,0.0806184587478226%,0.0307203006975315%
