Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,25,20,0.000383778334546329%,0.000674055210514183%
20000,53,36,0.000813610069238217%,0.00121329937892553%
30000,82,50,0.00125879293731196%,0.00168513802628546%
40000,115,71,0.00176538033891311%,0.00239289599732535%
50000,1549,90,0.0237789056084905%,0.00303324844731382%
60000,1594,106,0.0244697066106739%,0.00357249261572517%
70000,1626,119,0.0249609428788932%,0.00401062850255939%
80000,1696,140,0.0260355222156229%,0.00471838647359928%
90000,1743,159,0.02675702548457%,0.00535873892358775%
100000,1803,182,0.0276780934874812%,0.00613390241567906%
110000,1826,198,0.0280311695552638%,0.00667314658409041%
120000,1881,219,0.0288754818912658%,0.0073809045551303%
130000,1924,236,0.0295355806266855%,0.00795385148406736%
140000,2004,253,0.0307636712972337%,0.00852679841300441%
150000,2065,278,0.0317000904335268%,0.00936936742614714%
160000,2123,295,0.0325904561696742%,0.0099423143550842%
170000,2289,321,0.0351387443110619%,0.0108185861287526%
180000,2335,340,0.0358448964466271%,0.0114589385787411%
190000,2387,360,0.0366431553824835%,0.0121329937892553%
200000,2486,381,0.0381629175872869%,0.0128407517602952%
210000,2963,402,0.0454854082104309%,0.0135485097313351%
220000,3126,421,0.0479876429516729%,0.0141888621813235%
230000,3205,441,0.0492003824888393%,0.0148629173918377%
240000,3230,459,0.0495841608233857%,0.0154695670813005%
250000,3254,472,0.0499525880245502%,0.0159077029681347%
260000,3277,492,0.0503056640923328%,0.0165817581786489%
270000,3424,515,0.0525622806994652%,0.0173569216707402%
280000,3507,542,0.053836424770159%,0.0182668962049344%
290000,3572,570,0.0548342484399795%,0.0192105734996542%
300000,3603,595,0.0553101335748169%,0.0200531425127969%
310000,3653,620,0.0560776902439095%,0.0208957115259397%
320000,3689,643,0.0566303310456563%,0.021670875018031%
330000,3749,664,0.0575513990485675%,0.0223786329890709%
340000,3779,680,0.0580119330500231%,0.0229178771574822%
350000,3896,704,0.0598080156556999%,0.0237267434100992%
360000,3974,723,0.0610054040594844%,0.0243670958600877%
370000,4015,746,0.0616348005281404%,0.025142259352179%
380000,4042,760,0.0620492811294504%,0.0256140979995389%
390000,4282,782,0.0657335531410952%,0.0263555587311045%
400000,4397,812,0.0674989334800083%,0.0273666415468758%
410000,4436,832,0.0680976276819006%,0.02804069675739%
420000,4507,847,0.0691875581520121%,0.0285462381652756%
430000,4545,864,0.0697709012205226%,0.0291191850942127%
440000,4571,880,0.0701700306884507%,0.029658429262624%
450000,4637,904,0.0711832054916531%,0.0304672955152411%
460000,4688,915,0.0719661132941276%,0.0308380258810239%
470000,4819,928,0.0739771117671503%,0.0312761617678581%
480000,4848,941,0.0744222946352241%,0.0317142976546923%
490000,4872,960,0.0747907218363885%,0.0323546501046808%
500000,4899,973,0.0752052024376986%,0.032792785991515%
510000,4994,989,0.0766635601089746%,0.0333320301599263%
520000,5042,1009,0.0774004145113036%,0.0340060853704405%
530000,5146,1024,0.0789969323830163%,0.0345116267783262%
540000,5186,1039,0.0796109777182904%,0.0350171681862118%
550000,5226,1058,0.0802250230535646%,0.0356575206362003%
560000,5304,1080,0.0814224114573491%,0.0363989813677659%
570000,5366,1100,0.082374181727024%,0.0370730365782801%
580000,5413,1123,0.0830956849959711%,0.0378482000703714%
590000,5522,1141,0.0847689585345931%,0.0384548497598341%
600000,5583,1156,0.0857053776708861%,0.0389603911677198%
610000,5605,1166,0.0860431026052869%,0.0392974187729769%
620000,5625,1180,0.086350125272924%,0.0397692574203368%
630000,7101,1203,0.109008398144539%,0.0405444209124281%
640000,7174,1221,0.110129030881414%,0.0411510706018909%
650000,7236,1236,0.111080801151089%,0.0416566120097765%
660000,7378,1257,0.113260662091313%,0.0423643699808164%
670000,7437,1281,0.114166378960842%,0.0431732362334334%
680000,7469,1299,0.114657615229061%,0.0437798859228962%
690000,7486,1310,0.114918584496553%,0.044150616288679%
700000,7552,1332,0.115931759299755%,0.0448920770202446%
710000,7570,1345,0.116208079700628%,0.0453302129070788%
720000,7676,1357,0.117835299839105%,0.0457346460333873%
730000,7739,1378,0.118802421242162%,0.0464424040044272%
740000,7894,1393,0.121181846916349%,0.0469479454123128%
750000,7928,1414,0.121703785451332%,0.0476557033833527%
760000,7970,1434,0.12234853305337%,0.0483297585938669%
770000,8053,1447,0.123622677124063%,0.0487678944807011%
780000,8122,1471,0.124681905327411%,0.0495767607333181%
790000,8179,1496,0.125556919930177%,0.0504193297464609%
800000,8352,1515,0.128212666005237%,0.0510596821964493%
810000,8438,1537,0.129532863476077%,0.051801142928015%
820000,8470,1560,0.130024099744296%,0.0525763064201063%
830000,8527,1584,0.130899114347062%,0.0533851726727233%
840000,8555,1602,0.131328946081754%,0.053991822362186%
850000,8864,1632,0.136072446296746%,0.0550029051779573%
860000,8893,1646,0.13651762916482%,0.0554747438253172%
870000,8987,1666,0.137960635702714%,0.0561487990358314%
880000,9061,1693,0.139096619572971%,0.0570587735700256%
890000,9114,1713,0.13991022964221%,0.0577328287805398%
900000,9137,1731,0.140263305709992%,0.0583394784700025%
910000,9203,1751,0.141276480513195%,0.0590135336805167%
920000,9313,1771,0.142965105185198%,0.0596875888910309%
930000,9418,1798,0.144576974190293%,0.060597563425225%
940000,9625,1817,0.147754658800337%,0.0612379158752135%
950000,9689,1840,0.148737131336775%,0.0620130793673048%
960000,9724,1859,0.14927442100514%,0.0626534318172933%
970000,9768,1878,0.149949870873942%,0.0632937842672818%
980000,9797,1900,0.150395053742015%,0.0640352449988474%
990000,9851,1925,0.151224014944635%,0.0648778140119901%
1000000,9875,1944,0.1515924421458%,0.0655181664619786%
1010000,9938,1962,0.152559563548857%,0.0661248161514413%
1020000,9987,1984,0.153311769084567%,0.0668662768830069%
1030000,10043,2005,0.154171432553951%,0.0675740348540468%
1040000,10065,2018,0.154509157488352%,0.068012170740881%
1050000,10399,2044,0.159636436037891%,0.0688884425145495%
1060000,10526,2061,0.161586029977386%,0.0694613894434865%
1070000,10626,2086,0.163121143315572%,0.0703039584566293%
1080000,10733,2109,0.16476371458743%,0.0710791219487206%
1090000,10796,2129,0.165730835990487%,0.0717531771592348%
1100000,10873,2153,0.166912873260889%,0.0725620434118518%
1110000,10923,2165,0.167680429929982%,0.0729664765381603%
1120000,11007,2184,0.168969925134058%,0.0736068289881488%
1130000,11200,2205,0.171932693876755%,0.0743145869591886%
1140000,11229,2228,0.172377876744829%,0.07508975045128%
1150000,11308,2247,0.173590616281995%,0.0757301029012684%
1160000,11335,2264,0.174005096883305%,0.0763030498302055%
1170000,11365,2283,0.174465630884761%,0.076943402280194%
1180000,11909,2301,0.182816647444489%,0.0775500519696567%
1190000,11927,2316,0.183092967845362%,0.0780555933775424%
1200000,12049,2335,0.184965806117949%,0.0786959458275308%
1210000,12067,2347,0.185242126518822%,0.0791003789538394%
1220000,12081,2358,0.185457042386168%,0.0794711093196221%
1230000,12127,2373,0.186163194521733%,0.0799766507275078%
1240000,12792,2400,0.196371698220665%,0.0808866252617019%
1250000,12924,2414,0.19839804782707%,0.0813584639090619%
1260000,13018,2433,0.199841054364964%,0.0819988163590503%
1270000,13114,2457,0.201314763169622%,0.0828076826116673%
1280000,13169,2481,0.202159075505624%,0.0836165488642844%
1290000,13208,2503,0.202757769707516%,0.08435800959585%
1300000,13253,2518,0.2034485707097%,0.0848635510037356%
1310000,13329,2536,0.204615256846721%,0.0854702006931984%
1320000,13414,2555,0.205920103184178%,0.0861105531431868%
1330000,13433,2568,0.206211774718433%,0.0865486890300211%
1340000,13473,2584,0.206825820053707%,0.0870879331984324%
1350000,13504,2602,0.207301705188545%,0.0876945828878952%
1360000,13533,2621,0.207746888056619%,0.0883349353378837%
1370000,13549,2633,0.207992506190728%,0.0887393684641922%
1380000,13584,2648,0.208529795859093%,0.0892449098720778%
1390000,13609,2660,0.208913574193639%,0.0896493429983863%
1400000,13708,2678,0.210433336398443%,0.0902559926878491%
1410000,13759,2707,0.211216244200917%,0.0912333727430946%
1420000,13822,2732,0.212183365603974%,0.0920759417562374%
1430000,13868,2751,0.212889517739539%,0.0927162942062258%
1440000,13906,2766,0.21347286080805%,0.0932218356141115%
1450000,13973,2783,0.214501386744634%,0.0937947825430485%
1460000,14017,2804,0.215176836613436%,0.0945025405140884%
1470000,14074,2824,0.216051851216201%,0.0951765957246026%
1480000,14117,2846,0.216711949951621%,0.0959180564561682%
1490000,14539,2863,0.223190128238763%,0.0964910033851053%
1500000,14587,2883,0.223926982641092%,0.0971650585956195%
1510000,14677,2899,0.225308584645459%,0.0977043027640308%
1520000,14726,2926,0.226060790181169%,0.0986142772982249%
1530000,14748,2943,0.22639851511557%,0.099187224227162%
1540000,14772,2957,0.226766942316735%,0.0996590628745219%
1550000,14810,2971,0.227350285385245%,0.100130901521882%
1560000,14848,2985,0.227933628453756%,0.100602740169242%
1570000,14878,3000,0.228394162455211%,0.101108281577127%
1580000,14897,3012,0.228685833989466%,0.101512714703436%
1590000,14966,3029,0.229745062192814%,0.102085661632373%
1600000,15025,3046,0.230650779062344%,0.10265860856131%
1610000,15275,3073,0.234488562407807%,0.103568583095504%
1620000,15366,3092,0.235885515545555%,0.104208935545493%
1630000,15398,3102,0.236376751813775%,0.10454596315075%
1640000,15433,3115,0.23691404148214%,0.104984099037584%
1650000,15495,3139,0.237865811751815%,0.105792965290201%
1660000,15623,3168,0.239830756824692%,0.106770345345447%
1670000,15679,3183,0.240690420294076%,0.107275886753332%
1680000,16149,3205,0.247905452983546%,0.108017347484898%
1690000,16166,3216,0.248166422251038%,0.108388077850681%
1700000,16237,3242,0.24925635272115%,0.109264349624349%
1710000,16280,3260,0.249916451456569%,0.109870999313812%
1720000,16329,3277,0.25066865699228%,0.110443946242749%
1730000,16364,3294,0.251205946660645%,0.111016893171686%
1740000,16492,3312,0.253170891733522%,0.111623542861149%
1750000,16579,3328,0.254506440337743%,0.11216278702956%
1760000,16601,3344,0.254844165272144%,0.112702031197971%
1770000,16649,3365,0.255581019674473%,0.113409789169011%
1780000,16878,3379,0.259096429218917%,0.113881627816371%
1790000,16925,3396,0.259817932487865%,0.114454574745308%
1800000,16976,3411,0.260600840290339%,0.114960116153194%
1810000,17038,3430,0.261552610560014%,0.115600468603182%
1820000,17134,3455,0.263026319364672%,0.116443037616325%
1830000,17193,3473,0.263932036234201%,0.117049687305788%
1840000,17227,3495,0.264453974769184%,0.117791148037353%
1850000,17294,3512,0.265482500705768%,0.118364094966291%
1860000,17392,3532,0.26698691177719%,0.119038150176805%
1870000,17451,3557,0.267892628646719%,0.119880719189947%
1880000,17486,3573,0.268429918315084%,0.120419963358359%
1890000,17518,3591,0.268921154583303%,0.121026613047822%
1900000,17586,3610,0.269965031653269%,0.12166696549781%
1910000,17655,3627,0.271024259856617%,0.122239912426747%
1920000,17745,3649,0.272405861860984%,0.122981373158313%
1930000,17782,3673,0.272973853796113%,0.12379023941093%
1940000,17818,3685,0.273526494597859%,0.124194672537238%
1950000,17853,3708,0.274063784266224%,0.124969836029329%
1960000,17887,3722,0.274585722801207%,0.125441674676689%
1970000,17949,3742,0.275537493070882%,0.126115729887204%
1980000,18016,3758,0.276566019007466%,0.126654974055615%
1990000,18078,3777,0.277517789277141%,0.127295326505603%
2000000,18127,3801,0.278269994812852%,0.12810419275822%
2010000,18155,3816,0.278699826547544%,0.128609734166106%
2020000,18197,3832,0.279344574149582%,0.129148978334517%
2030000,18236,3851,0.279943268351474%,0.129789330784506%
2040000,18252,3864,0.280188886485584%,0.13022746667134%
2050000,18300,3886,0.280925740887913%,0.130968927402906%
2060000,18310,3896,0.281079252221731%,0.131305955008163%
2070000,18355,3910,0.281770053223915%,0.131777793655523%
2080000,18385,3928,0.28223058722537%,0.132384443344986%
2090000,18489,3947,0.283827105097083%,0.133024795794974%
2100000,18544,3972,0.284671417433085%,0.133867364808117%
2110000,18624,4000,0.285899508103633%,0.134811042102837%
2120000,18677,4012,0.286713118172871%,0.135215475229145%
2130000,18791,4033,0.288463147378403%,0.135923233200185%
