Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,0,0,0%,0%
240000,0,0,0%,0%
250000,0,0,0%,0%
260000,0,0,0%,0%
270000,0,0,0%,0%
280000,0,0,0%,0%
290000,0,0,0%,0%
300000,0,0,0%,0%
310000,0,0,0%,0%
320000,0,0,0%,0%
330000,0,0,0%,0%
340000,0,0,0%,0%
350000,0,0,0%,0%
360000,0,0,0%,0%
370000,0,0,0%,0%
380000,0,0,0%,0%
390000,0,0,0%,0%
400000,0,0,0%,0%
410000,0,0,0%,0%
420000,2,2,0.0388953714507974%,0.0473484848484848%
430000,2,2,0.0388953714507974%,0.0473484848484848%
440000,3,3,0.058343057176196%,0.0710227272727273%
450000,3,3,0.058343057176196%,0.0710227272727273%
460000,5,4,0.0972384286269934%,0.0946969696969697%
470000,5,4,0.0972384286269934%,0.0946969696969697%
480000,5,4,0.0972384286269934%,0.0946969696969697%
490000,5,4,0.0972384286269934%,0.0946969696969697%
500000,9,5,0.175029171528588%,0.118371212121212%
510000,9,5,0.175029171528588%,0.118371212121212%
520000,9,5,0.175029171528588%,0.118371212121212%
530000,9,5,0.175029171528588%,0.118371212121212%
540000,9,5,0.175029171528588%,0.118371212121212%
550000,9,5,0.175029171528588%,0.118371212121212%
560000,10,6,0.194476857253987%,0.142045454545455%
570000,10,6,0.194476857253987%,0.142045454545455%
580000,10,6,0.194476857253987%,0.142045454545455%
590000,11,7,0.213924542979385%,0.165719696969697%
600000,12,8,0.233372228704784%,0.189393939393939%
610000,12,8,0.233372228704784%,0.189393939393939%
620000,12,8,0.233372228704784%,0.189393939393939%
630000,12,8,0.233372228704784%,0.189393939393939%
640000,12,8,0.233372228704784%,0.189393939393939%
650000,12,8,0.233372228704784%,0.189393939393939%
