Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,0,0,0%,0%
240000,0,0,0%,0%
250000,0,0,0%,0%
260000,0,0,0%,0%
270000,0,0,0%,0%
280000,0,0,0%,0%
290000,0,0,0%,0%
300000,0,0,0%,0%
310000,0,0,0%,0%
320000,1,1,0.0120510966497951%,0.0134138162307176%
330000,1,1,0.0120510966497951%,0.0134138162307176%
340000,1,1,0.0120510966497951%,0.0134138162307176%
350000,1,1,0.0120510966497951%,0.0134138162307176%
360000,1,1,0.0120510966497951%,0.0134138162307176%
370000,1,1,0.0120510966497951%,0.0134138162307176%
380000,1,1,0.0120510966497951%,0.0134138162307176%
390000,1,1,0.0120510966497951%,0.0134138162307176%
400000,1,1,0.0120510966497951%,0.0134138162307176%
410000,1,1,0.0120510966497951%,0.0134138162307176%
420000,1,1,0.0120510966497951%,0.0134138162307176%
430000,1,1,0.0120510966497951%,0.0134138162307176%
440000,1,1,0.0120510966497951%,0.0134138162307176%
450000,1,1,0.0120510966497951%,0.0134138162307176%
460000,1,1,0.0120510966497951%,0.0134138162307176%
470000,1,1,0.0120510966497951%,0.0134138162307176%
480000,1,1,0.0120510966497951%,0.0134138162307176%
490000,1,1,0.0120510966497951%,0.0134138162307176%
500000,1,1,0.0120510966497951%,0.0134138162307176%
510000,1,1,0.0120510966497951%,0.0134138162307176%
520000,1,1,0.0120510966497951%,0.0134138162307176%
530000,1,1,0.0120510966497951%,0.0134138162307176%
540000,1,1,0.0120510966497951%,0.0134138162307176%
550000,1,1,0.0120510966497951%,0.0134138162307176%
560000,1,1,0.0120510966497951%,0.0134138162307176%
570000,1,1,0.0120510966497951%,0.0134138162307176%
580000,1,1,0.0120510966497951%,0.0134138162307176%
