Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,36,25,0.000552640801746713%,0.000842569013142728%
20000,88,48,0.00135089973760308%,0.00161773250523404%
30000,155,63,0.00237942567418724%,0.00212327391311968%
40000,175,76,0.0026864483418243%,0.00256140979995389%
50000,205,96,0.0031469823432799%,0.00323546501046808%
60000,260,112,0.00399129467928182%,0.00377470917887942%
70000,273,125,0.00419085941324591%,0.00421284506571364%
80000,378,140,0.00580272841834049%,0.00471838647359928%
90000,480,164,0.00736854402328951%,0.0055272527262163%
100000,547,185,0.00839706995987367%,0.00623501069725619%
110000,569,200,0.00873479489427444%,0.00674055210514183%
120000,664,221,0.0101931525655505%,0.00744831007618172%
130000,721,244,0.0110681671683161%,0.00822347356827303%
140000,758,264,0.0116361591034447%,0.00889752877878721%
150000,796,289,0.0122195021719551%,0.00974009779192994%
160000,841,303,0.0129103031741385%,0.0102119364392899%
170000,974,328,0.014952003913925%,0.0110545054524326%
180000,1067,346,0.0163796593184373%,0.0116611551418954%
190000,1092,365,0.0167634376529836%,0.0123015075918838%
200000,1158,382,0.0177766124561859%,0.0128744545208209%
210000,1217,403,0.0186823293257153%,0.0135822124918608%
220000,1569,429,0.0240859282761276%,0.0144584842655292%
230000,1671,448,0.0256517438810766%,0.0150988367155177%
240000,1805,469,0.0277087957542449%,0.0158065946865576%
250000,1836,484,0.0281846808890824%,0.0163121360944432%
260000,1877,506,0.0288140773577384%,0.0170535968260088%
270000,2126,524,0.0326365095698198%,0.0176602465154716%
280000,2254,545,0.034601454642697%,0.0183680044865115%
290000,2278,555,0.0349698818438615%,0.0187050320917686%
300000,2359,576,0.0362133236477916%,0.0194127900628085%
310000,2443,601,0.0375028188518672%,0.0202553590759512%
320000,2495,621,0.0383010777877236%,0.0209294142864654%
330000,2528,638,0.0388076651893248%,0.0215023612154024%
340000,2554,654,0.0392067946572529%,0.0220416053838138%
350000,4018,670,0.0616808539282859%,0.0225808495522251%
360000,4991,686,0.0766175067088291%,0.0231200937206365%
370000,5208,710,0.0799487026526912%,0.0239289599732535%
380000,5253,731,0.0806395036548746%,0.0246367179442934%
390000,5301,749,0.0813763580572035%,0.0252433676337561%
400000,5352,774,0.082159265859678%,0.0260859366468989%
410000,5706,796,0.0875935670768541%,0.0268273973784645%
420000,5735,811,0.0880387499449278%,0.0273329387863501%
430000,5775,828,0.0886527952802019%,0.0279058857152872%
440000,5834,849,0.0895585121497313%,0.0286136436863271%
450000,5888,867,0.0903874733523513%,0.0292202933757898%
460000,5990,884,0.0919532889573004%,0.0297932403047269%
470000,6017,900,0.0923677695586104%,0.0303324844731382%
480000,6098,915,0.0936112113625405%,0.0308380258810239%
490000,6145,934,0.0943327146314876%,0.0314783783310123%
500000,6204,954,0.0952384315010169%,0.0321524335415265%
510000,6273,968,0.0962976597043648%,0.0326242721888864%
520000,6350,986,0.0974796969747675%,0.0332309218783492%
530000,6378,1004,0.0979095287094594%,0.033837571567812%
540000,6403,1021,0.0982933070440057%,0.034410518496749%
550000,6844,1046,0.105063156865403%,0.0352530875098918%
560000,6881,1062,0.105631148800532%,0.0357923316783031%
570000,6919,1080,0.106214491869042%,0.0363989813677659%
580000,6997,1096,0.107411880272826%,0.0369382255361772%
590000,7086,1125,0.108778131143811%,0.0379156055914228%
600000,7121,1149,0.109315420812176%,0.0387244718440398%
610000,7168,1174,0.110036924081123%,0.0395670408571825%
620000,7242,1199,0.111172907951381%,0.0404096098703253%
630000,7339,1220,0.11266196788942%,0.0411173678413652%
640000,7375,1238,0.113214608691167%,0.0417240175308279%
650000,7461,1265,0.114534806162006%,0.0426339920650221%
660000,7517,1292,0.11539446963139%,0.0435439665992162%
670000,7570,1314,0.116208079700628%,0.0442854273307818%
680000,7645,1336,0.117359414704267%,0.0450268880623474%
690000,8009,1356,0.122947227255262%,0.0457009432728616%
700000,8058,1375,0.123699432790973%,0.0463412957228501%
710000,8105,1386,0.12442093605992%,0.0467120260886329%
720000,8227,1400,0.126293774332506%,0.0471838647359928%
730000,8275,1423,0.127030628734835%,0.0479590282280841%
740000,8324,1442,0.127782834270546%,0.0485993806780726%
750000,8353,1455,0.128228017138619%,0.0490375165649068%
760000,8414,1486,0.129164436274912%,0.0500823021412038%
770000,8504,1505,0.130546038279279%,0.0507226545911923%
780000,8524,1521,0.130853060946916%,0.0512618987596036%
790000,8543,1536,0.131144732481171%,0.0517674401674892%
800000,8579,1560,0.131697373282918%,0.0525763064201063%
810000,8657,1582,0.132894761686703%,0.0533177671516719%
820000,8699,1604,0.133539509288741%,0.0540592278832375%
830000,8844,1624,0.135765423629109%,0.0547332830937516%
840000,8878,1637,0.136287362164092%,0.0551714189805859%
850000,8916,1655,0.136870705232603%,0.0557780686700486%
860000,9148,1670,0.140432168177193%,0.0562836100779343%
870000,9185,1688,0.141000160112321%,0.056890259767397%
880000,9227,1711,0.141644907714359%,0.0576654232594883%
890000,9247,1726,0.141951930381996%,0.058170964667374%
900000,9331,1748,0.143241425586072%,0.0589124253989396%
910000,9364,1766,0.143748012987673%,0.0595190750884023%
920000,9458,1785,0.145191019525567%,0.0601594275383908%
930000,9502,1802,0.145866469394369%,0.0607323744673279%
940000,9737,1825,0.149473985739104%,0.0615075379594192%
950000,9844,1849,0.151116557010962%,0.0623164042120362%
960000,9872,1867,0.151546388745654%,0.062923053901499%
970000,9926,1881,0.152375349948274%,0.0633948925488589%
980000,9993,1896,0.153403875884859%,0.0639004339567445%
990000,10032,1919,0.154002570086751%,0.0646755974488358%
1000000,10065,1936,0.154509157488352%,0.0652485443777729%
1010000,11337,1958,0.174035799150069%,0.0659900051093385%
1020000,11525,1984,0.176921812225858%,0.0668662768830069%
1030000,11568,2002,0.177581910961277%,0.0674729265724697%
1040000,11701,2024,0.179623611701064%,0.0682143873040353%
1050000,11750,2049,0.180375817236775%,0.069056956317178%
1060000,11797,2064,0.181097320505722%,0.0695624977250637%
1070000,11866,2080,0.182156548709069%,0.070101741893475%
1080000,11901,2099,0.182693838377434%,0.0707420943434635%
1090000,11999,2116,0.184198249448856%,0.0713150412724005%
1100000,12103,2137,0.185794767320569%,0.0720227992434404%
1110000,12155,2152,0.186593026256425%,0.0725283406513261%
1120000,12208,2171,0.187406636325663%,0.0731686931013145%
1130000,12292,2186,0.188696131529739%,0.0736742345092002%
1140000,12313,2203,0.189018505330758%,0.0742471814381372%
1150000,12408,2227,0.190476863002034%,0.0750560476907543%
1160000,12461,2249,0.191290473071272%,0.0757975084223199%
1170000,12491,2263,0.191751007072728%,0.0762693470696798%
1180000,12517,2275,0.192150136540656%,0.0766737801959883%
1190000,12534,2290,0.192411105808147%,0.0771793216038739%
1200000,12566,2308,0.192902342076367%,0.0777859712933367%
1210000,12620,2326,0.193731303278987%,0.0783926209827995%
1220000,12643,2340,0.194084379346769%,0.0788644596301594%
1230000,12848,2364,0.197231361690049%,0.0796733258827764%
1240000,12878,2388,0.197691895691505%,0.0804821921353934%
1250000,12891,2397,0.197891460425469%,0.0807855169801248%
1260000,13027,2415,0.199979214565401%,0.0813921666695876%
1270000,13088,2437,0.200915633701694%,0.0821336274011532%
1280000,13809,2464,0.21198380087001%,0.0830436019353473%
1290000,13837,2485,0.212413632604702%,0.0837513599063872%
1300000,13882,2499,0.213104433606885%,0.0842231985537471%
1310000,13950,2518,0.214148310676851%,0.0848635510037356%
1320000,14014,2539,0.21513078321329%,0.0855713089747755%
1330000,14083,2560,0.216190011416638%,0.0862790669458154%
1340000,14131,2578,0.216926865818967%,0.0868857166352782%
1350000,14167,2596,0.217479506620714%,0.0874923663247409%
1360000,14197,2612,0.217940040622169%,0.0880316104931523%
1370000,14236,2633,0.218538734824061%,0.0887393684641922%
1380000,14266,2649,0.218999268825517%,0.0892786126326035%
1390000,14321,2669,0.219843581161519%,0.0899526678431177%
1400000,14498,2686,0.222560731770107%,0.0905256147720547%
1410000,14534,2707,0.223113372571854%,0.0912333727430946%
1420000,14583,2726,0.223865578107564%,0.0918737251930831%
1430000,14635,2745,0.224663837043421%,0.0925140776430716%
1440000,14657,2756,0.225001561977822%,0.0928848080088544%
1450000,14686,2771,0.225446744845895%,0.09339034941674%
1460000,14709,2786,0.225799820913678%,0.0938958908246257%
1470000,14772,2808,0.226766942316735%,0.0946373515561913%
1480000,14802,2826,0.22722747631819%,0.095244001245654%
1490000,14834,2842,0.22771871258641%,0.0957832454140654%
1500000,14856,2856,0.22805643752081%,0.0962550840614253%
1510000,14906,2870,0.228823994189903%,0.0967269227087852%
1520000,14980,2887,0.22995997806016%,0.0972998696377223%
1530000,15238,2907,0.233920570472678%,0.0979739248482365%
1540000,35840,2925,0.550184620405617%,0.0985805745376992%
1550000,35922,2945,0.551443413342929%,0.0992546297482134%
1560000,35941,2960,0.551735084877184%,0.0997601711560991%
1570000,36025,2982,0.55302458008126%,0.100501631887665%
1580000,37893,2998,0.581700497238561%,0.101040876056076%
1590000,37998,3014,0.583312366243656%,0.101580120224487%
1600000,38026,3032,0.583742197978348%,0.10218676991395%
1610000,38066,3053,0.584356243313622%,0.10289452788499%
1620000,38169,3068,0.585937410051953%,0.103400069292876%
1630000,38213,3085,0.586612859920754%,0.103973016221813%
1640000,38240,3100,0.587027340522064%,0.104478557629698%
1650000,38270,3117,0.58748787452352%,0.105051504558635%
1660000,39286,3140,0.603084626039483%,0.105826668050727%
1670000,39315,3151,0.603529808907556%,0.10619739841651%
1680000,39380,3168,0.604527632577377%,0.106770345345447%
1690000,39429,3183,0.605279838113088%,0.107275886753332%
1700000,39450,3201,0.605602211914107%,0.107882536442795%
1710000,39543,3219,0.607029867318619%,0.108489186132258%
1720000,39575,3234,0.607521103586838%,0.108994727540143%
1730000,39608,3248,0.60802769098844%,0.109466566187503%
1740000,39716,3266,0.60968561339368%,0.110073215876966%
1750000,40014,3281,0.614260251141472%,0.110578757284852%
1760000,40041,3299,0.614674731742782%,0.111185406974314%
1770000,40132,3316,0.616071684880531%,0.111758353903252%
1780000,40163,3338,0.616547570015368%,0.112499814634817%
1790000,40203,3360,0.617161615350642%,0.113241275366383%
1800000,40243,3372,0.617775660685916%,0.113645708492691%
1810000,40284,3390,0.618405057154572%,0.114252358182154%
1820000,40347,3414,0.619372178557629%,0.115061224434771%
1830000,40367,3426,0.619679201225266%,0.11546565756108%
1840000,40388,3441,0.620001575026285%,0.115971198968965%
1850000,40413,3456,0.620385353360831%,0.116476740376851%
1860000,40438,3475,0.620769131695378%,0.117117092826839%
1870000,40475,3492,0.621337123630506%,0.117690039755776%
1880000,40495,3509,0.621644146298143%,0.118262986684713%
1890000,40525,3524,0.622104680299599%,0.118768528092599%
1900000,40559,3536,0.622626618834582%,0.119172961218908%
1910000,40650,3555,0.62402357197233%,0.119813313668896%
1920000,40691,3567,0.624652968440987%,0.120217746795205%
1930000,40720,3586,0.62509815130906%,0.120858099245193%
1940000,40739,3602,0.625389822843315%,0.121397343413604%
1950000,40876,3623,0.627492928116629%,0.122105101384644%
1960000,40921,3643,0.628183729118813%,0.122779156595158%
1970000,40960,3660,0.628782423320705%,0.123352103524095%
1980000,41007,3682,0.629503926589652%,0.124093564255661%
1990000,41084,3707,0.630685963860055%,0.124936133268804%
2000000,41120,3723,0.631238604661801%,0.125475377437215%
2010000,41147,3737,0.631653085263111%,0.125947216084575%
2020000,41190,3755,0.632313183998531%,0.126553865774038%
2030000,41289,3777,0.633832946203335%,0.127295326505603%
2040000,41338,3797,0.634585151739046%,0.127969381716118%
2050000,41401,3827,0.635552273142102%,0.128980464531889%
2060000,41426,3847,0.635936051476649%,0.129654519742403%
2070000,41457,3860,0.636411936611486%,0.130092655629237%
2080000,41500,3878,0.637072035346906%,0.1306993053187%
