Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,1,1,0.0453514739229025%,0.0508388408744281%
60000,1,1,0.0453514739229025%,0.0508388408744281%
70000,1,1,0.0453514739229025%,0.0508388408744281%
80000,1,1,0.0453514739229025%,0.0508388408744281%
90000,1,1,0.0453514739229025%,0.0508388408744281%
100000,1,1,0.0453514739229025%,0.0508388408744281%
110000,1,1,0.0453514739229025%,0.0508388408744281%
120000,1,1,0.0453514739229025%,0.0508388408744281%
130000,1,1,0.0453514739229025%,0.0508388408744281%
140000,1,1,0.0453514739229025%,0.0508388408744281%
150000,1,1,0.0453514739229025%,0.0508388408744281%
160000,1,1,0.0453514739229025%,0.0508388408744281%
170000,1,1,0.0453514739229025%,0.0508388408744281%
180000,1,1,0.0453514739229025%,0.0508388408744281%
190000,1,1,0.0453514739229025%,0.0508388408744281%
200000,1,1,0.0453514739229025%,0.0508388408744281%
210000,1,1,0.0453514739229025%,0.0508388408744281%
220000,1,1,0.0453514739229025%,0.0508388408744281%
230000,1,1,0.0453514739229025%,0.0508388408744281%
240000,1,1,0.0453514739229025%,0.0508388408744281%
250000,1,1,0.0453514739229025%,0.0508388408744281%
260000,1,1,0.0453514739229025%,0.0508388408744281%
270000,1,1,0.0453514739229025%,0.0508388408744281%
280000,1,1,0.0453514739229025%,0.0508388408744281%
290000,1,1,0.0453514739229025%,0.0508388408744281%
300000,1,1,0.0453514739229025%,0.0508388408744281%
310000,1,1,0.0453514739229025%,0.0508388408744281%
320000,1,1,0.0453514739229025%,0.0508388408744281%
330000,1,1,0.0453514739229025%,0.0508388408744281%
340000,1,1,0.0453514739229025%,0.0508388408744281%
350000,1,1,0.0453514739229025%,0.0508388408744281%
360000,1,1,0.0453514739229025%,0.0508388408744281%
370000,1,1,0.0453514739229025%,0.0508388408744281%
380000,1,1,0.0453514739229025%,0.0508388408744281%
390000,1,1,0.0453514739229025%,0.0508388408744281%
400000,1,1,0.0453514739229025%,0.0508388408744281%
410000,1,1,0.0453514739229025%,0.0508388408744281%
420000,1,1,0.0453514739229025%,0.0508388408744281%
430000,1,1,0.0453514739229025%,0.0508388408744281%
440000,1,1,0.0453514739229025%,0.0508388408744281%
