Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.00143961533478255%,0.0018070765116195%
20000,4,4,0.00575846133913018%,0.00722830604647801%
30000,6,6,0.00863769200869528%,0.010842459069717%
40000,9,8,0.0129565380130429%,0.014456612092956%
50000,10,9,0.0143961533478255%,0.0162636886045755%
60000,10,9,0.0143961533478255%,0.0162636886045755%
70000,10,9,0.0143961533478255%,0.0162636886045755%
80000,12,10,0.0172753840173906%,0.018070765116195%
90000,14,12,0.0201546146869556%,0.021684918139434%
100000,15,13,0.0215942300217382%,0.0234919946510535%
110000,15,13,0.0215942300217382%,0.0234919946510535%
120000,15,13,0.0215942300217382%,0.0234919946510535%
130000,16,14,0.0230338453565207%,0.025299071162673%
140000,17,15,0.0244734606913033%,0.0271061476742925%
150000,17,15,0.0244734606913033%,0.0271061476742925%
160000,18,16,0.0259130760260858%,0.028913224185912%
170000,19,17,0.0273526913608684%,0.0307203006975315%
180000,19,17,0.0273526913608684%,0.0307203006975315%
190000,23,19,0.0331111526999986%,0.0343344537207705%
200000,24,20,0.0345507680347811%,0.03614153023239%
210000,28,22,0.0403092293739113%,0.039755683255629%
220000,29,23,0.0417488447086938%,0.0415627597672485%
230000,29,23,0.0417488447086938%,0.0415627597672485%
240000,29,23,0.0417488447086938%,0.0415627597672485%
250000,32,24,0.0460676907130415%,0.043369836278868%
260000,38,29,0.0547053827217368%,0.0524052188369656%
270000,38,29,0.0547053827217368%,0.0524052188369656%
280000,38,29,0.0547053827217368%,0.0524052188369656%
290000,38,29,0.0547053827217368%,0.0524052188369656%
300000,38,29,0.0547053827217368%,0.0524052188369656%
310000,42,32,0.0604638440608669%,0.0578264483718241%
320000,413,33,0.594561133265192%,0.0596335248834436%
330000,416,35,0.598879979269539%,0.0632476779066826%
340000,419,38,0.603198825273887%,0.0686689074415411%
350000,419,38,0.603198825273887%,0.0686689074415411%
360000,421,39,0.606078055943452%,0.0704759839531606%
370000,425,42,0.611836517282582%,0.0758972134880191%
380000,425,42,0.611836517282582%,0.0758972134880191%
390000,425,42,0.611836517282582%,0.0758972134880191%
