Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,93,39,0.00142765540451234%,0.00131440766050266%
20000,162,82,0.00248688360786021%,0.00276362636310815%
30000,292,114,0.00448253094750112%,0.00384211469993084%
40000,372,144,0.00571062161804937%,0.00485319751570212%
50000,435,169,0.00667774302110612%,0.00569576652884484%
60000,556,207,0.00853523016031035%,0.00697647142882179%
70000,603,235,0.00925673342925745%,0.00792014872354165%
80000,1156,266,0.0177459101894222%,0.00896493429983863%
90000,1233,292,0.0189279474598249%,0.00984120607350707%
100000,1416,322,0.0217372048687041%,0.0108522888892783%
110000,1484,359,0.0227810819386701%,0.0120992910287296%
120000,1537,387,0.0235946920079083%,0.0130429683234494%
130000,1610,417,0.0247153247447836%,0.0140540511392207%
140000,1747,459,0.0268184300180975%,0.0154695670813005%
150000,1840,494,0.0282460854226098%,0.0166491636997003%
160000,1997,527,0.0306562133635607%,0.0177613547970487%
170000,2206,553,0.033864600240368%,0.0186376265707172%
180000,2352,596,0.0361058657141186%,0.0200868452733226%
190000,2492,636,0.038255024387578%,0.021434955694351%
200000,2550,669,0.0391453901237255%,0.0225471467916994%
210000,2607,701,0.0400204047264912%,0.0236256351285221%
220000,2776,740,0.0426147462680243%,0.0249400427890248%
230000,2967,776,0.0455468127439583%,0.0261533421679503%
240000,3043,809,0.0467134988809791%,0.0272655332652987%
250000,3117,843,0.0478494827512363%,0.0284114271231728%
260000,3342,880,0.0513034877621532%,0.029658429262624%
270000,3804,915,0.0583957113845694%,0.0308380258810239%
280000,3904,941,0.0599308247227547%,0.0317142976546923%
290000,5695,978,0.0874247046096537%,0.0329612997941435%
300000,6964,1001,0.106905292871225%,0.0337364632862349%
310000,7041,1034,0.108087330141628%,0.0348486543835832%
320000,7110,1063,0.109146558344976%,0.0358260344388288%
330000,7188,1098,0.11034394674876%,0.0370056310572286%
340000,7287,1126,0.111863708953564%,0.0379493083519485%
350000,7378,1159,0.113260662091313%,0.0390614994492969%
360000,7477,1193,0.114780424296116%,0.040207393307171%
370000,7562,1224,0.116085270633574%,0.041252178883468%
380000,7679,1254,0.11788135323925%,0.0422632616992393%
390000,7764,1295,0.119186199576708%,0.0436450748807933%
400000,7834,1325,0.120260778913438%,0.0446561576965646%
410000,7962,1353,0.122225723986315%,0.0455998349912845%
420000,8079,1376,0.124021806591992%,0.0463749984833758%
430000,8151,1398,0.125127088195485%,0.0471164592149414%
440000,8216,1430,0.126124911865305%,0.0481949475517641%
450000,8277,1460,0.127061331001599%,0.0492060303675353%
460000,8316,1484,0.127660025203491%,0.0500148966201524%
470000,8387,1518,0.128749955673602%,0.0511607904780265%
480000,8491,1549,0.130346473545315%,0.0522055760543235%
490000,8607,1577,0.13212720501761%,0.0531492533490433%
500000,8683,1611,0.133293891154631%,0.0542951472069174%
510000,8769,1641,0.13461408862547%,0.0553062300226887%
520000,8867,1677,0.136118499696892%,0.0565195294016142%
530000,9011,1711,0.138329062903879%,0.0576654232594883%
540000,9083,1751,0.139434344507372%,0.0590135336805167%
550000,9241,1789,0.141859823581705%,0.0602942385804936%
560000,9318,1827,0.143041860852108%,0.0615749434804706%
570000,9369,1852,0.143824768654582%,0.0624175124936133%
580000,9398,1872,0.144269951522656%,0.0630915677041275%
590000,9505,1906,0.145912522794514%,0.0642374615620016%
