Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.0194476857253987%,0.0236742424242424%
20000,1,1,0.0194476857253987%,0.0236742424242424%
30000,1,1,0.0194476857253987%,0.0236742424242424%
40000,1,1,0.0194476857253987%,0.0236742424242424%
50000,1,1,0.0194476857253987%,0.0236742424242424%
60000,1,1,0.0194476857253987%,0.0236742424242424%
70000,1,1,0.0194476857253987%,0.0236742424242424%
80000,1,1,0.0194476857253987%,0.0236742424242424%
90000,1,1,0.0194476857253987%,0.0236742424242424%
100000,1,1,0.0194476857253987%,0.0236742424242424%
110000,1,1,0.0194476857253987%,0.0236742424242424%
120000,1,1,0.0194476857253987%,0.0236742424242424%
130000,1,1,0.0194476857253987%,0.0236742424242424%
140000,1,1,0.0194476857253987%,0.0236742424242424%
150000,1,1,0.0194476857253987%,0.0236742424242424%
160000,1,1,0.0194476857253987%,0.0236742424242424%
170000,1,1,0.0194476857253987%,0.0236742424242424%
180000,1,1,0.0194476857253987%,0.0236742424242424%
190000,1,1,0.0194476857253987%,0.0236742424242424%
200000,1,1,0.0194476857253987%,0.0236742424242424%
210000,1,1,0.0194476857253987%,0.0236742424242424%
220000,1,1,0.0194476857253987%,0.0236742424242424%
230000,1,1,0.0194476857253987%,0.0236742424242424%
240000,1,1,0.0194476857253987%,0.0236742424242424%
250000,1,1,0.0194476857253987%,0.0236742424242424%
260000,1,1,0.0194476857253987%,0.0236742424242424%
270000,1,1,0.0194476857253987%,0.0236742424242424%
280000,1,1,0.0194476857253987%,0.0236742424242424%
290000,1,1,0.0194476857253987%,0.0236742424242424%
300000,1,1,0.0194476857253987%,0.0236742424242424%
310000,1,1,0.0194476857253987%,0.0236742424242424%
320000,1,1,0.0194476857253987%,0.0236742424242424%
330000,1,1,0.0194476857253987%,0.0236742424242424%
340000,1,1,0.0194476857253987%,0.0236742424242424%
350000,1,1,0.0194476857253987%,0.0236742424242424%
360000,1,1,0.0194476857253987%,0.0236742424242424%
370000,1,1,0.0194476857253987%,0.0236742424242424%
380000,1,1,0.0194476857253987%,0.0236742424242424%
390000,1,1,0.0194476857253987%,0.0236742424242424%
400000,1,1,0.0194476857253987%,0.0236742424242424%
410000,1,1,0.0194476857253987%,0.0236742424242424%
420000,2,2,0.0388953714507974%,0.0473484848484848%
430000,2,2,0.0388953714507974%,0.0473484848484848%
440000,2,2,0.0388953714507974%,0.0473484848484848%
450000,2,2,0.0388953714507974%,0.0473484848484848%
460000,2,2,0.0388953714507974%,0.0473484848484848%
470000,2,2,0.0388953714507974%,0.0473484848484848%
480000,2,2,0.0388953714507974%,0.0473484848484848%
490000,2,2,0.0388953714507974%,0.0473484848484848%
500000,2,2,0.0388953714507974%,0.0473484848484848%
510000,2,2,0.0388953714507974%,0.0473484848484848%
520000,2,2,0.0388953714507974%,0.0473484848484848%
530000,2,2,0.0388953714507974%,0.0473484848484848%
540000,2,2,0.0388953714507974%,0.0473484848484848%
550000,2,2,0.0388953714507974%,0.0473484848484848%
560000,2,2,0.0388953714507974%,0.0473484848484848%
570000,2,2,0.0388953714507974%,0.0473484848484848%
580000,2,2,0.0388953714507974%,0.0473484848484848%
590000,2,2,0.0388953714507974%,0.0473484848484848%
600000,2,2,0.0388953714507974%,0.0473484848484848%
610000,2,2,0.0388953714507974%,0.0473484848484848%
620000,2,2,0.0388953714507974%,0.0473484848484848%
630000,2,2,0.0388953714507974%,0.0473484848484848%
640000,2,2,0.0388953714507974%,0.0473484848484848%
650000,2,2,0.0388953714507974%,0.0473484848484848%
660000,2,2,0.0388953714507974%,0.0473484848484848%
670000,2,2,0.0388953714507974%,0.0473484848484848%
680000,2,2,0.0388953714507974%,0.0473484848484848%
690000,2,2,0.0388953714507974%,0.0473484848484848%
