Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,6,1,0.272108843537415%,0.0508388408744281%
40000,6,1,0.272108843537415%,0.0508388408744281%
50000,6,1,0.272108843537415%,0.0508388408744281%
60000,6,1,0.272108843537415%,0.0508388408744281%
70000,6,1,0.272108843537415%,0.0508388408744281%
80000,6,1,0.272108843537415%,0.0508388408744281%
90000,6,1,0.272108843537415%,0.0508388408744281%
100000,7,2,0.317460317460317%,0.101677681748856%
110000,7,2,0.317460317460317%,0.101677681748856%
120000,7,2,0.317460317460317%,0.101677681748856%
130000,7,2,0.317460317460317%,0.101677681748856%
140000,7,2,0.317460317460317%,0.101677681748856%
150000,7,2,0.317460317460317%,0.101677681748856%
160000,7,2,0.317460317460317%,0.101677681748856%
170000,7,2,0.317460317460317%,0.101677681748856%
180000,7,2,0.317460317460317%,0.101677681748856%
190000,7,2,0.317460317460317%,0.101677681748856%
200000,7,2,0.317460317460317%,0.101677681748856%
210000,7,2,0.317460317460317%,0.101677681748856%
220000,7,2,0.317460317460317%,0.101677681748856%
230000,7,2,0.317460317460317%,0.101677681748856%
240000,7,2,0.317460317460317%,0.101677681748856%
250000,7,2,0.317460317460317%,0.101677681748856%
260000,7,2,0.317460317460317%,0.101677681748856%
270000,7,2,0.317460317460317%,0.101677681748856%
280000,7,2,0.317460317460317%,0.101677681748856%
290000,7,2,0.317460317460317%,0.101677681748856%
300000,7,2,0.317460317460317%,0.101677681748856%
310000,7,2,0.317460317460317%,0.101677681748856%
320000,7,2,0.317460317460317%,0.101677681748856%
330000,7,2,0.317460317460317%,0.101677681748856%
340000,7,2,0.317460317460317%,0.101677681748856%
350000,7,2,0.317460317460317%,0.101677681748856%
360000,7,2,0.317460317460317%,0.101677681748856%
370000,7,2,0.317460317460317%,0.101677681748856%
380000,7,2,0.317460317460317%,0.101677681748856%
390000,7,2,0.317460317460317%,0.101677681748856%
400000,7,2,0.317460317460317%,0.101677681748856%
410000,7,2,0.317460317460317%,0.101677681748856%
420000,7,2,0.317460317460317%,0.101677681748856%
430000,7,2,0.317460317460317%,0.101677681748856%
440000,7,2,0.317460317460317%,0.101677681748856%
450000,7,2,0.317460317460317%,0.101677681748856%
460000,7,2,0.317460317460317%,0.101677681748856%
