Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,67,32,0.00102852593658416%,0.00107848833682269%
20000,160,59,0.0024561813410965%,0.00198846287101684%
30000,304,88,0.00466674454808336%,0.0029658429262624%
40000,411,126,0.00630931581994164%,0.00424654782623935%
50000,600,152,0.00921068002911189%,0.00512281959990779%
60000,656,181,0.0100703434984957%,0.00610019965515335%
70000,826,216,0.0126800361734107%,0.00727979627355317%
80000,21577,257,0.331231404980245%,0.00866160945510725%
90000,21873,288,0.335775340461274%,0.00970639503140423%
100000,21959,315,0.337095537932113%,0.0106163695655984%
110000,22130,351,0.33972058174041%,0.0118296689445239%
120000,22305,384,0.342407030082235%,0.0129418600418723%
130000,22394,416,0.343773280953219%,0.014020348378695%
140000,22450,439,0.344632944422603%,0.0147955118707863%
150000,22954,478,0.352369915647057%,0.016109919531289%
160000,23029,509,0.353521250650696%,0.017154705107586%
170000,23150,539,0.3553787377899%,0.0181657879233572%
180000,23225,573,0.356530072793539%,0.0193116817812313%
190000,23308,603,0.357804216864233%,0.0203227645970026%
200000,23495,626,0.36067487880664%,0.0210979280890939%
210000,23634,656,0.362808686346717%,0.0221090109048652%
220000,23682,688,0.363545540749046%,0.0231874992416879%
230000,23769,724,0.364881089353268%,0.0244007986206134%
240000,23905,759,0.3669688434932%,0.0255803952390132%
250000,24112,793,0.370146528103243%,0.0267262890968873%
260000,24226,826,0.371896557308774%,0.0278384801942357%
270000,24339,861,0.373631235380924%,0.0290180768126356%
280000,27051,888,0.41526350911251%,0.0299280513468297%
290000,27195,918,0.417474072319496%,0.030939134162601%
300000,27238,944,0.418134171054916%,0.0318154059362694%
310000,27293,975,0.418978483390918%,0.0328601915125664%
320000,27380,999,0.420314031995139%,0.0336690577651834%
330000,27476,1027,0.421787740799797%,0.0346127350599033%
340000,27784,1064,0.426515889881408%,0.0358597371993545%
350000,27900,1099,0.428296621353703%,0.0370393338177543%
360000,27959,1125,0.429202338223232%,0.0379156055914228%
370000,28083,1160,0.431105878762582%,0.0390952022098226%
