Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,2,2,0.5,0.5,50,50
1,8,8,0.76,0.76,97,97
2,12,12,2.47,2.47,270,270
3,12,12,3.5,3.5,438,438
4,12,12,4.05,4.05,589,589
5,12,12,4.58,4.58,711,711
6,13,13,4.65,4.65,822,822
7,13,13,4.49,4.49,907,907
8,13,13,4.59,4.59,1004,1004
9,13,13,4.58,4.58,1082,1082
10,13,13,4.82,4.82,1167,1167
11,13,13,4.46,4.46,1231,1231
12,13,13,4.25,4.25,1287,1287
13,13,13,4.62,4.62,1347,1347
14,13,13,4.3,4.3,1399,1399
15,13,13,4.99,4.99,1440,1440
16,13,13,4.84,4.84,1485,1485
17,13,13,5.61,5.61,1555,1555
18,13,13,5.36,5.36,1617,1617
19,13,13,4.79,4.79,1665,1665
20,13,13,4.79,4.79,1704,1704
21,13,13,4.96,4.96,1754,1754
22,13,13,4.9,4.9,1785,1785
23,13,13,5,5,1831,1831
24,13,13,4.95,4.95,1875,1875
25,14,14,5.73,5.73,1930,1930
26,14,14,4.66,4.66,1969,1969
27,14,14,4.63,4.63,2011,2011
28,14,14,4.05,4.05,2037,2037
29,14,14,5.64,5.64,2085,2085
30,14,14,5.57,5.57,2108,2108
31,14,14,6.35,6.35,2162,2162
32,14,14,6.07,6.07,2197,2197
33,15,15,6.42,6.42,2244,2244
34,15,15,5.28,5.28,2274,2274
35,15,15,6.22,6.22,2319,2319
36,15,15,6.42,6.42,2352,2352
37,15,15,6.59,6.59,2389,2389
38,15,15,6.42,6.42,2413,2413
39,15,15,6.39,6.39,2450,2450
40,15,15,7.15,7.15,2483,2483
41,15,15,6.6,6.6,2514,2514
42,15,15,6.72,6.72,2535,2535
43,15,15,6.54,6.54,2557,2557
44,15,15,6.34,6.34,2585,2585
45,15,15,5.91,5.91,2605,2605
46,15,15,6.34,6.34,2630,2630
47,15,15,6.86,6.86,2660,2660
48,15,15,6.39,6.39,2681,2681
49,15,15,6.5,6.5,2703,2703
50,15,15,6.93,6.93,2721,2721
51,15,15,6.74,6.74,2744,2744
52,15,15,6.36,6.36,2769,2769
53,15,15,6.85,6.85,2799,2799
54,15,15,6.36,6.36,2819,2819
55,15,15,7.01,7.01,2861,2861
56,15,15,5.57,5.57,2890,2890
57,15,15,7.13,7.13,2902,2902
58,15,15,5.07,5.07,2918,2918
59,15,15,6.85,6.85,2944,2944
60,15,15,6.14,6.14,2961,2961
61,15,15,6.63,6.63,2989,2989
62,15,15,5.32,5.32,3009,3009
63,15,15,6.52,6.52,3033,3033
64,15,15,5.57,5.57,3058,3058
65,15,15,6.94,6.94,3077,3077
66,15,15,5.92,5.92,3094,3094
67,15,15,6.54,6.54,3114,3114
68,15,15,6.34,6.34,3132,3132
69,15,15,5.43,5.43,3150,3150
70,15,15,6.21,6.21,3163,3163
71,15,15,6.89,6.89,3190,3190
72,15,15,6.57,6.57,3210,3210
73,15,15,6.52,6.52,3225,3225
74,15,15,6.15,6.15,3246,3246
75,19,19,6.23,6.23,3261,3261
76,19,19,6.29,6.29,3279,3279
77,19,19,7,7,3312,3312
78,19,19,6.36,6.36,3332,3332
79,19,19,6.83,6.83,3347,3347
80,19,19,6.49,6.49,3360,3360
81,19,19,6.86,6.86,3376,3376
82,19,19,6.76,6.76,3394,3394
83,19,19,6.73,6.73,3421,3421
84,19,19,7,7,3431,3431
85,19,19,6.27,6.27,3451,3451
86,19,19,7.19,7.19,3472,3472
87,19,19,7.4,7.4,3490,3490
88,19,19,7.19,7.19,3507,3507
89,19,19,6.94,6.94,3532,3532
90,19,19,6.7,6.7,3547,3547
91,19,19,6.72,6.72,3567,3567
92,19,19,6.78,6.78,3582,3582
93,19,19,6.7,6.7,3600,3600
94,19,19,6.79,6.79,3617,3617
95,19,19,6.48,6.48,3633,3633
96,19,19,6.93,6.93,3645,3645
97,19,19,7.04,7.04,3662,3662
98,19,19,6.19,6.19,3671,3671
99,19,19,7.36,7.36,3691,3691
100,19,19,6.3,6.3,3705,3705
101,19,19,7.59,7.59,3723,3723
102,19,19,6.69,6.69,3732,3732
103,19,19,7.54,7.54,3753,3753
104,19,19,7.06,7.06,3758,3758
105,19,19,8.21,8.21,3781,3781
106,19,19,6.9,6.9,3792,3792
107,19,19,7.49,7.49,3804,3804
108,19,19,6.73,6.73,3816,3816
109,19,19,7.09,7.09,3836,3836
110,19,19,6.89,6.89,3846,3846
111,19,19,7.35,7.35,3860,3860
112,19,19,7.1,7.1,3876,3876
113,19,19,7.44,7.44,3895,3895
114,19,19,6.28,6.28,3907,3907
115,19,19,7.92,7.92,3925,3925
116,19,19,6.04,6.04,3931,3931
117,19,19,7.31,7.31,3950,3950
118,19,19,6.44,6.44,3963,3963
119,19,19,7.45,7.45,3983,3983
120,19,19,6.44,6.44,3991,3991
121,19,19,7.25,7.25,4009,4009
122,19,19,6.14,6.14,4016,4016
123,19,19,7.33,7.33,4040,4040
124,19,19,6.54,6.54,4053,4053
125,19,19,7.58,7.58,4072,4072
126,19,19,7.32,7.32,4087,4087
127,19,19,7.72,7.72,4108,4108
128,19,19,6.72,6.72,4121,4121
129,19,19,7.58,7.58,4133,4133
130,19,19,6.96,6.96,4150,4150
131,19,19,7.3,7.3,4164,4164
132,19,19,7.12,7.12,4176,4176
133,19,19,7.2,7.2,4187,4187
134,19,19,7.76,7.76,4194,4194
135,19,19,6.92,6.92,4213,4213
136,19,19,7.11,7.11,4225,4225
137,19,19,7.05,7.05,4239,4239
138,19,19,7.32,7.32,4244,4244
139,19,19,7.03,7.03,4254,4254
140,19,19,6.66,6.66,4265,4265
141,19,19,7.39,7.39,4276,4276
142,19,19,7.28,7.28,4296,4296
143,19,19,7.07,7.07,4308,4308
144,19,19,6.8,6.8,4317,4317
145,19,19,7.16,7.16,4329,4329
146,19,19,7.43,7.43,4339,4339
147,19,19,6.94,6.94,4349,4349
148,19,19,7.88,7.88,4361,4361
149,19,19,7.74,7.74,4372,4372
150,19,19,7.02,7.02,4375,4375
151,19,19,7.75,7.75,4381,4381
152,19,19,7.42,7.42,4392,4392
153,19,19,7.39,7.39,4409,4409
154,19,19,7.51,7.51,4412,4412
155,19,19,7.28,7.28,4419,4419
156,19,19,6.97,6.97,4429,4429
157,19,19,7.02,7.02,4443,4443
158,19,19,7.36,7.36,4449,4449
159,19,19,7.5,7.5,4459,4459
160,19,19,7.66,7.66,4464,4464
161,19,19,7.55,7.55,4469,4469
162,19,19,7.47,7.47,4476,4476
163,19,19,7.67,7.67,4480,4480
164,19,19,7.61,7.61,4492,4492
165,19,19,7.66,7.66,4503,4503
166,19,19,7.42,7.42,4516,4516
167,19,19,7.24,7.24,4528,4528
168,19,19,7.35,7.35,4549,4549
169,19,19,6.85,6.85,4559,4559
170,19,19,6.7,6.7,4564,4564
171,19,19,6.6,6.6,4567,4567
172,19,19,6.52,6.52,4587,4587
173,19,19,7.14,7.14,4594,4594
174,19,19,6.67,6.67,4614,4614
175,19,19,6.42,6.42,4626,4626
176,19,19,6.86,6.86,4662,4662
177,19,19,6.55,6.55,4664,4664
178,19,19,6.92,6.92,4674,4674
179,19,19,6.39,6.39,4680,4680
180,19,19,7.41,7.41,4695,4695
181,19,19,6.92,6.92,4699,4699
182,19,19,6.64,6.64,4717,4717
183,19,19,7.21,7.21,4723,4723
184,19,19,7.47,7.47,4737,4737
185,19,19,7.59,7.59,4740,4740
186,19,19,7.79,7.79,4755,4755
187,19,19,7.2,7.2,4761,4761
188,19,19,7.65,7.65,4772,4772
189,19,19,7.25,7.25,4776,4776
190,19,19,8.64,8.64,4792,4792
191,19,19,6.52,6.52,4796,4796
192,19,19,10.3,10.3,4813,4813
193,19,19,6.89,6.89,4823,4823
194,23,23,10.97,10.97,4839,4839
195,23,23,7.12,7.12,4854,4854
196,23,23,11.57,11.57,4866,4866
197,23,23,8.31,8.31,4879,4879
198,23,23,10.91,10.91,4899,4899
199,23,23,7.82,7.82,4908,4908
200,23,23,13.03,13.03,4923,4923
200,23,23,13.03,13.03,4923,4923
