Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,41,23,18.93,15.88,786,885
1,41,23,15.79,14.67,878.25,1222
2,41,23,12.750625,12.99,852.9375,1428
3,41,23,10.81765625,12.2,796.453125,1613
4,41,23,10.3666015625,14.11,768.33984375,1810
5,41,23,8.726220703125,13.12,685.7548828125,1943
6,41,23,8.520068359375,14.6,677.816162109375,2110
7,41,23,7.07863159179688,14.27,601.362121582031,2220
8,41,23,6.4624626159668,15.36,562.771591186523,2351
9,41,23,5.68720474243164,14.29,509.078693389893,2455
10,41,23,5.18626725196838,16,471.809020042419,2558
11,41,23,4.81400781869888,15.42,436.356765031815,2661
12,41,23,4.52919526100159,16.35,400.767573773861,2752
13,41,23,4.3929820933938,15.96,377.075680330396,2850
14,41,23,4.26902577280998,16.02,352.556760247797,2932
15,41,23,3.95564832445234,15.15,318.417570185848,2999
16,41,23,3.76964268478332,16.73,298.063177639386,3066
17,41,23,3.50808512038842,15.45,265.547383229539,3118
18,41,23,3.53091748412466,16.52,256.910537422154,3188
19,41,23,3.46967009688538,16.42,242.932903066616,3240
20,41,23,3.05729340368754,14.41,218.949677299962,3289
21,41,23,3.18208065385704,16.11,209.212257974971,3348
22,41,23,3.00025747407525,15.6,186.159193481229,3387
23,41,23,2.80653569603383,15.32,193.619395110921,3454
24,41,23,2.84822189955207,15.46,179.714546333191,3491
25,41,23,3.0464291148051,16.49,186.535909749893,3547
26,41,23,1.57458471621732,13.97,171.40193231242,3586
27,41,23,1.49771993887889,14.22,165.301449234315,3633
28,41,23,1.16754943512609,14.23,147.976086925736,3665
29,41,23,1.28748190319659,16.17,150.732065194302,3715
30,41,23,1.17827654945675,13.51,124.299048895727,3730
31,41,23,1.36670673864943,15.19,123.974286671795,3768
32,41,23,1.45970394785434,12.65,119.980715003846,3796
33,41,23,1.39361350213063,12.92,119.985536252885,3832
34,41,23,1.00530343857074,11.94,110.239152189664,3857
35,41,23,1.09012141095869,13.27,105.179364142248,3886
36,41,23,1.10911445632673,14.66,105.134523106686,3918
37,41,23,1.0728348826346,13.82,96.8508923300143,3937
38,41,23,0.970829774529848,14.65,89.8881692475107,3957
39,41,23,1.13830967977091,14.34,91.416126935633,3988
40,41,23,0.885799565797131,14.02,91.8120952017248,4016
41,41,23,0.927207838864966,13.22,83.8590714012936,4034
42,41,23,1.10600658281817,14.62,104.89430355097,4067
43,41,23,1.15214757622203,10.77,90.6707276632276,4083
44,41,23,1.06218473729303,15.08,86.0030457474207,4104
45,41,23,1.03573830103468,10.87,71.2522843105656,4113
46,41,23,0.986541567941842,13.06,74.4392132329242,4140
47,41,23,1.15312567869263,13.83,75.3294099246931,4164
48,41,23,1.15220568128435,13.78,69.9970574435198,4181
