Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,60122,127,1372.96,113.9,125316,10881
1,60122,127,1884.4,90.17,153150,16649
2,60122,127,1903.59,103.55,185182,24388
3,60122,127,2118.99,95.86,212001,30398
4,60122,127,2380.77,91.21,249755,35686
5,60122,127,2354.48,94.73,272269,41064
6,60122,127,2974.15,65.31,278728,43355
7,60122,127,3310.76,75.77,293076,47344
8,60122,127,3641.42,57.23,305109,49730
9,60122,127,3690.98,57.39,314112,52467
10,60122,127,4137.77,38.36,319364,53770
11,60122,127,2689.58,77.74,337280,58680
12,60122,127,3546.59,25.38,338613,59089
13,60122,127,1501.25,82.94,355131,64401
14,60122,127,2841.2,23.23,356887,64882
15,60122,127,2176.49,58.71,368135,68222
16,60122,127,2920.61,23.37,368781,68475
17,60122,127,2351.73,53.29,378255,71375
18,60122,127,2761.65,21.09,379250,71742
19,60122,127,1898.1,64.7,391161,75478
20,60122,127,2812.87,18.87,391855,75763
21,60122,127,1874.8,62.08,405038,79211
22,60122,127,3277.02,17.4,405144,79265
23,60122,127,2249.23,67.86,419060,83185
24,60122,127,3673.63,26.28,420810,83886
25,61185,99,3092.45,87.27,437461,88933
26,61185,99,4791.33,28.6,437678,89000
27,61185,99,3428.38,83.61,453759,93656
28,61185,99,5198.66,23.96,454006,93761
29,61185,99,1981.37,72.82,468322,97829
30,61185,99,3757.4,18.02,468367,97856
31,61185,99,1363.25,80.25,483816,102351
32,61185,99,2875.37,26.53,484359,102462
33,61185,99,1728.48,69.99,496847,106008
34,61185,99,3022.27,21.56,496957,106054
35,61185,99,1371.06,64.77,509112,109419
36,61185,99,3007.88,27.58,509237,109485
37,61185,99,1528.32,72.5,522446,113190
38,61185,99,3181.85,25.39,522546,113238
39,61185,99,1903.87,74.1,533350,116969
40,61185,99,3747.16,24.53,533452,117020
41,61185,99,1253.75,77.34,548695,120951
42,61185,99,2570.09,22.93,549009,121083
43,61185,99,2242.45,66.46,563513,124206
44,61185,99,3358.36,19.39,564161,124311
45,61185,99,1179.05,71.75,577519,127873
46,61185,99,2597.92,21.69,577737,127976
47,61185,99,1668.25,67.51,586941,131055
48,61185,99,2660.1,24.48,587545,131184
49,61185,99,2188.44,76.86,612950,134851
50,61185,99,3266.06,26.89,613009,134886
51,61185,99,1864.67,81.53,625523,138675
52,61185,99,3489.88,35.3,626229,138814
53,61185,99,2924.24,66.59,634489,141686
54,61185,99,4126.55,30.41,634742,141813
55,61185,99,1985.5,71.67,645942,144924
56,61185,99,3554.24,23.18,646003,144972
57,61185,99,1555.66,64.9,654603,147762
58,61185,99,3220.21,23.05,654653,147799
59,61185,99,1806.51,65.17,664714,150484
60,61185,99,3405.82,33.63,664777,150521
61,61185,99,1802.51,62.42,672016,152983
62,61185,99,3230.74,42.46,672092,153024
63,61185,99,2461.25,67.75,732410,155845
64,61185,99,3663.11,32.11,732491,155888
65,61185,99,1906.78,62.52,739041,158267
66,61185,99,2859.71,18.74,739126,158300
67,61185,99,3107.62,43.94,741221,159205
68,61185,99,3496.21,19.07,741238,159210
69,61185,99,1908.15,71.3,749791,161859
70,61185,99,3104.68,27.31,749801,161868
71,61185,99,3166.91,52.34,756565,163507
72,61185,99,4121.97,24.66,756581,163516
73,61185,99,3610.97,48.62,759141,164624
74,61185,99,3491.42,30.95,760113,165042
75,61185,99,3619.8,38.74,761936,165638
76,61185,99,2605.26,45.91,765960,167013
77,61185,99,3076.4,38.88,767895,167760
78,61185,99,3506.28,36.29,772301,168367
79,61185,99,3768.63,33.84,772923,168670
80,61185,99,2412.86,56.83,778884,170731
81,61185,99,3153.51,30.23,780062,171057
82,61185,99,3207.98,38.16,782956,171973
83,61185,99,4082.7,23.93,783332,172167
84,61185,99,3464.28,38.33,794591,173207
85,61185,99,4094.11,34.53,795361,173525
86,61185,99,1591.31,73.58,806610,176364
87,61185,99,3456.44,25.62,806624,176376
88,61185,99,1752.83,77.55,816809,179222
89,61185,99,2991.42,16.82,816816,179227
90,61185,99,1687.34,69.68,823911,181821
91,61185,99,3174.92,19.55,824058,181828
92,61185,99,2002.29,73.77,831845,184724
93,61185,99,3928.5,24.57,831866,184735
94,61185,99,1822.49,70.01,840096,187235
95,61185,99,3324.85,18.69,840110,187240
96,61185,99,1553.86,76.28,847319,190129
97,61185,99,3118.53,20.14,847350,190140
98,61185,99,1529.84,71.43,854493,192753
99,61185,99,3260,19.15,854502,192759
100,61185,99,1461.89,75.83,862389,195634
101,61185,99,2916.62,19.23,862397,195642
102,61185,99,2159.74,70.9,870738,198331
103,61185,99,3946.11,29.73,870754,198344
104,61185,99,1944.71,80.9,881951,201317
105,61185,99,3951.55,33.49,882196,201403
106,61185,99,1608.69,76.91,892205,204162
107,61185,99,3765.25,40.5,892252,204179
108,61185,99,1792.3,82.99,912061,207030
109,61185,99,3764.61,40.98,912146,207076
110,61185,99,2201.55,76.51,921574,209698
111,61185,99,4463.49,42.1,921590,209710
112,61185,99,1477.19,74.48,934484,212368
113,61185,99,3348.78,31.41,934491,212374
114,61185,99,1675.93,68.09,941421,214552
115,61185,99,3301.08,29.72,941449,214565
116,61185,99,1575.33,73.51,951228,217077
117,61185,99,3534.8,34.31,951254,217093
118,61185,99,1775,67.61,957016,219202
119,61185,99,2911.65,25.78,957031,219216
120,61185,99,1300.12,74.16,964746,221783
121,61185,99,3504.45,37.26,964772,221799
122,61185,99,1646.18,55.15,970953,223449
123,61185,99,3766.54,35.94,970978,223467
124,61185,99,1616.23,69.87,978101,225823
125,61185,99,3479.21,29.95,978112,225831
126,61185,99,1578.08,68.46,983902,228097
127,61185,99,3128.82,24.15,983913,228107
128,61185,99,1497.19,71.17,989548,230441
129,61185,99,2910.7,22.58,989557,230450
130,61185,99,1715.72,66.5,995638,232521
131,61185,99,3291.48,26.85,995645,232527
132,61185,99,1896.18,76.26,1003230,234917
133,61185,99,3687.52,33.94,1003280,234951
134,61185,99,2346.55,70.56,1011033,237156
135,61185,99,3897.99,32.49,1011059,237178
136,61185,99,2487.61,72.46,1018763,239378
137,61185,99,3612.55,27.29,1018771,239386
138,61185,99,1171.28,76.23,1024821,241899
139,61185,99,3076.16,32.59,1024920,241937
140,61185,99,3978.63,61.95,1070207,243703
141,61185,99,5944.84,42.39,1070214,243708
142,61185,99,1130.45,66.5,1077151,245845
143,61185,99,2996.3,29.58,1077187,245868
144,61185,99,2617.14,57.79,1081579,247410
145,61185,99,3633,21.43,1081589,247416
146,61185,99,1429.93,75.97,1097717,249771
147,61185,99,2955.94,24.87,1097755,249782
148,61185,99,2038.26,74.26,1105499,252159
149,61185,99,3855.8,30.44,1106363,252262
150,61185,99,1330.12,78.12,1113328,254696
151,61185,99,2946.36,23.69,1113337,254702
152,61185,99,2187.73,57.48,1117773,256253
153,61185,99,3507.17,26.45,1117780,256259
154,61185,99,2138.83,56.67,1121814,257683
155,61185,99,3652.61,38.61,1121825,257692
156,61185,99,2512.08,58.93,1125087,259117
157,61185,99,3598.62,31.99,1125106,259125
158,61185,99,1327.6,74.73,1133897,261433
159,61185,99,3903,27.89,1133925,261445
160,61185,99,1913.84,66.43,1139571,263286
161,61185,99,3929.84,19.73,1139579,263292
162,61185,99,3019.41,68.94,1144070,264933
163,61185,99,5007.53,22.69,1144073,264936
164,61185,99,1929.51,76.1,1149444,267163
165,61185,99,4432.58,26.47,1149552,267212
166,61185,99,1398.66,81.05,1155982,269622
167,61185,99,3981.41,23.5,1155986,269626
168,61185,99,1400.58,77,1162241,271931
169,61185,99,4085.56,19.99,1162262,271939
170,61185,99,2203.73,73.75,1167845,274109
171,61185,99,4329.45,21.28,1167856,274114
172,61185,99,2171.7,75.36,1173040,276241
173,61185,99,4737.93,15.58,1173049,276247
174,61185,99,1864.38,68.52,1179709,278315
175,61185,99,3953.89,15.13,1179777,278351
176,61185,99,2374.83,55.48,1185173,279799
177,61185,99,3790.16,20.1,1185183,279805
178,61185,99,1716.03,63.78,1189803,281607
179,61185,99,3745.29,17.98,1189810,281611
180,61185,99,1699.94,65.49,1195534,283408
181,61185,99,3578.8,18.12,1195539,283411
182,61185,99,2972.83,68.99,1201170,285385
183,61185,99,4631.34,21.2,1201172,285387
184,61185,99,2341.45,65.68,1205210,287144
185,61185,99,4393.98,19.33,1205212,287146
186,61185,99,1716.7,72.73,1210594,289126
187,61185,99,3601.24,17.13,1210600,289130
188,61185,99,3068.42,53.91,1217255,290521
189,61185,99,4561.96,17.34,1217258,290523
190,61185,99,1611.46,75.65,1223004,292572
191,61185,99,4206.49,16.1,1223071,292579
192,61185,99,1732.33,71.69,1229819,294523
193,61185,99,4091.92,19.49,1229864,294555
194,61185,99,1474.31,74.68,1236335,296616
195,61185,99,4116.65,17.16,1236339,296620
196,61185,99,2061.16,67.44,1240445,298444
197,61185,99,4078.1,18.39,1240449,298446
198,61185,99,1696.43,76.94,1245252,300503
199,61185,99,3875.31,19.92,1245319,300537
200,61185,99,1779.63,67.8,1249393,302270
200,61185,99,1779.63,67.8,1249393,302270
