Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,94666,310,74790.22,349.06,272306,26440
0,3,3,0.44,0.44,43,43
1,3,3,0.43,0.43,65,65
2,6,6,1.12,1.12,146,146
3,6,6,1.41,1.41,197,197
4,8,8,2.11,2.11,261,261
5,8,8,1.49,1.49,296,296
6,8,8,2.34,2.34,356,356
7,8,8,1.79,1.79,377,377
8,8,8,2.15,2.15,419,419
9,8,8,2.07,2.07,448,448
10,8,8,2.63,2.63,488,488
11,8,8,2.12,2.12,512,512
12,8,8,1.95,1.95,543,543
13,8,8,2.43,2.43,579,579
0,6,6,0.47,0.47,47,47
1,6,6,0.74,0.74,94,94
2,10,10,1.01,1.01,148,148
0,3,3,0.68,0.68,67,67
1,4,4,0.83,0.83,88,88
2,5,5,1.19,1.19,160,160
3,5,5,1.25,1.25,196,196
