TrainingSet,TestingSet,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
myspace,faithwriters,293,229,3.01781851889999%,2.74350065891937%
phpbb,faithwriters,282,218,2.9045215779174%,2.61171678447346%
singles.org,faithwriters,391,301,4.02719126583582%,3.60608601892896%
myspace,myspace,1114,941,3.17387959770934%,3.00389452850667%
phpbb,myspace,569,455,1.62112880708852%,1.45246759879972%
myspace,phpbb,9131,5038,3.57488225322115%,2.73226710920933%
rockyou,faithwriters,327,271,3.36800906375528%,3.2466754522583%
singles.org,myspace,744,588,2.11971851049887%,1.87703505075656%
phpbb,phpbb,9939,5424,3.89122272640073%,2.94160714576249%
myspace,rockyou,1045463,271799,3.20664210331759%,1.89481070924741%
faithwriters,faithwriters,407,308,4.19198681635596%,3.68994848448544%
phpbb,rockyou,989578,264724,3.0352317387768%,1.8454882843381%
myspace,singles.org,743,501,4.57287050713934%,4.0954794408567%
singles.org,phpbb,10000,6263,3.91510486608384%,3.3966234428301%
myspace,faithwriters,483,374,4.9747656813266%,4.4806517311609%
phpbb,singles.org,776,535,4.77597242737568%,4.37341616937791%
rockyou,myspace,772,634,2.19949286304453%,2.02387792887697%
myspace,myspace,2800,2247,7.97743525456566%,7.172955372534%
phpbb,faithwriters,475,364,4.89236790606654%,4.36084820893734%
singles.org,rockyou,1291370,308811,3.96088758087204%,2.15283496235601%
myspace,phpbb,12340,7019,4.83123940474746%,3.80662620872178%
phpbb,myspace,1363,1133,3.88330151856178%,3.61680393283535%
myspace,rockyou,1771560,385482,5.43372542553233%,2.6873366782884%
faithwriters,myspace,666,540,1.89748995697883%,1.72380769967439%
singles.org,singles.org,1136,746,6.99162973904481%,6.09825880814191%
phpbb,phpbb,14197,7977,5.55827437837922%,4.32617997819827%
myspace,singles.org,1268,853,7.80403741999015%,6.97294204201749%
rockyou,phpbb,10027,6749,3.92567564922226%,3.66019664947475%
phpbb,rockyou,1551599,358151,4.75906146928726%,2.49680223373768%
singles.org,faithwriters,635,472,6.5403234112679%,5.65472624895172%
faithwriters,phpbb,9132,5679,3.57527376370776%,3.07990172949579%
phpbb,singles.org,1161,792,7.14549483013294%,6.47429085261179%
rockyou,rockyou,1411968,403171,4.33078553457858%,2.81065319761289%
singles.org,myspace,1885,1515,5.37052337673438%,4.83623826853093%
faithwriters,rockyou,1198740,283418,3.67677302298687%,1.97581102797833%
singles.org,phpbb,14520,8274,5.68473226555373%,4.48725249336999%
rockyou,singles.org,894,670,5.50221565731167%,5.47698847380038%
faithwriters,singles.org,988,682,6.08074839980305%,5.57508378974904%
faithwriters,faithwriters,720,549,7.41579977340612%,6.57721337007308%
singles.org,rockyou,1908832,405246,5.85476583997704%,2.82511878513046%
rockyou,faithwriters,525,412,5.40735400144196%,4.9359051156104%
faithwriters,myspace,1595,1284,4.54428901108294%,4.098831641448%
singles.org,singles.org,1880,1283,11.5706548498277%,10.4880241968446%
rockyou,myspace,1964,1606,5.59560101427391%,5.12673178829088%
faithwriters,phpbb,12857,7198,5.03365032632399%,3.90370358318555%
faithwriters,rockyou,1651672,341204,5.06600518246056%,2.37865846908212%
rockyou,phpbb,14595,8912,5.71409555204936%,4.83326011855371%
faithwriters,singles.org,1456,971,8.96110290497292%,7.93754598217935%
rockyou,rockyou,2215632,527023,6.79578221004258%,3.6740710025412%
rockyou,singles.org,1408,982,8.6656819300837%,8.02746668846563%
