Generation,Champion Accounts,Champion Uniques,Average Accounts,Average Uniques,Total Accounts,Total Uniques
0,2026,33,128.46,15.66,9336.75,1470
1,2026,33,166.6525,15.51,12677.8125,2492
2,2026,33,213.225,18.28,16488.609375,3628
3,2828.328125,33,245.325625,16.41,18950.70703125,4545
4,2828.328125,29,223.92421875,17.49,17252.0302734375,5500
5,3917.8740234375,39,270.813154296875,17.49,23544.0227050781,6539
6,3917.8740234375,27,285.123251953125,15.96,21243.7670288086,7346
7,3917.8740234375,27,657.546408081055,9.56,17838.5752716064,7752
8,3917.8740234375,28,281.624007263184,13.6,17499.4314537048,8505
9,3917.8740234375,28,469.94971660614,4.72,13407.3235902786,8556
10,3917.8740234375,30,245.135742416382,14.24,14295.992692709,9273
10,3917.8740234375,30,245.135742416382,14.24,14295.992692709,9273
