Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,6,1,0.272108843537415%,0.0508388408744281%
30000,6,1,0.272108843537415%,0.0508388408744281%
40000,6,1,0.272108843537415%,0.0508388408744281%
50000,6,1,0.272108843537415%,0.0508388408744281%
60000,6,1,0.272108843537415%,0.0508388408744281%
70000,7,2,0.317460317460317%,0.101677681748856%
80000,8,3,0.36281179138322%,0.152516522623284%
90000,8,3,0.36281179138322%,0.152516522623284%
100000,8,3,0.36281179138322%,0.152516522623284%
110000,8,3,0.36281179138322%,0.152516522623284%
120000,10,4,0.453514739229025%,0.203355363497712%
130000,10,4,0.453514739229025%,0.203355363497712%
140000,10,4,0.453514739229025%,0.203355363497712%
150000,10,4,0.453514739229025%,0.203355363497712%
160000,10,4,0.453514739229025%,0.203355363497712%
170000,10,4,0.453514739229025%,0.203355363497712%
180000,10,4,0.453514739229025%,0.203355363497712%
190000,10,4,0.453514739229025%,0.203355363497712%
200000,10,4,0.453514739229025%,0.203355363497712%
210000,10,4,0.453514739229025%,0.203355363497712%
220000,10,4,0.453514739229025%,0.203355363497712%
230000,10,4,0.453514739229025%,0.203355363497712%
240000,11,5,0.498866213151927%,0.25419420437214%
250000,11,5,0.498866213151927%,0.25419420437214%
260000,11,5,0.498866213151927%,0.25419420437214%
270000,11,5,0.498866213151927%,0.25419420437214%
280000,11,5,0.498866213151927%,0.25419420437214%
290000,11,5,0.498866213151927%,0.25419420437214%
300000,11,5,0.498866213151927%,0.25419420437214%
310000,11,5,0.498866213151927%,0.25419420437214%
320000,11,5,0.498866213151927%,0.25419420437214%
330000,11,5,0.498866213151927%,0.25419420437214%
340000,11,5,0.498866213151927%,0.25419420437214%
350000,11,5,0.498866213151927%,0.25419420437214%
360000,11,5,0.498866213151927%,0.25419420437214%
370000,11,5,0.498866213151927%,0.25419420437214%
380000,11,5,0.498866213151927%,0.25419420437214%
390000,11,5,0.498866213151927%,0.25419420437214%
400000,11,5,0.498866213151927%,0.25419420437214%
410000,11,5,0.498866213151927%,0.25419420437214%
420000,12,6,0.54421768707483%,0.305033045246568%
430000,12,6,0.54421768707483%,0.305033045246568%
440000,12,6,0.54421768707483%,0.305033045246568%
450000,13,7,0.589569160997732%,0.355871886120996%
460000,13,7,0.589569160997732%,0.355871886120996%
470000,13,7,0.589569160997732%,0.355871886120996%
480000,13,7,0.589569160997732%,0.355871886120996%
490000,13,7,0.589569160997732%,0.355871886120996%
500000,14,8,0.634920634920635%,0.406710726995424%
510000,14,8,0.634920634920635%,0.406710726995424%
520000,14,8,0.634920634920635%,0.406710726995424%
530000,14,8,0.634920634920635%,0.406710726995424%
540000,14,8,0.634920634920635%,0.406710726995424%
550000,14,8,0.634920634920635%,0.406710726995424%
560000,14,8,0.634920634920635%,0.406710726995424%
570000,15,9,0.680272108843537%,0.457549567869853%
580000,15,9,0.680272108843537%,0.457549567869853%
590000,15,9,0.680272108843537%,0.457549567869853%
600000,15,9,0.680272108843537%,0.457549567869853%
610000,15,9,0.680272108843537%,0.457549567869853%
620000,15,9,0.680272108843537%,0.457549567869853%
630000,15,9,0.680272108843537%,0.457549567869853%
640000,15,9,0.680272108843537%,0.457549567869853%
650000,20,11,0.90702947845805%,0.559227249618709%
660000,21,12,0.952380952380952%,0.610066090493137%
670000,21,12,0.952380952380952%,0.610066090493137%
680000,21,12,0.952380952380952%,0.610066090493137%
690000,21,12,0.952380952380952%,0.610066090493137%
700000,23,13,1.04308390022676%,0.660904931367565%
710000,23,13,1.04308390022676%,0.660904931367565%
720000,23,13,1.04308390022676%,0.660904931367565%
730000,23,13,1.04308390022676%,0.660904931367565%
740000,23,13,1.04308390022676%,0.660904931367565%
750000,23,13,1.04308390022676%,0.660904931367565%
760000,24,14,1.08843537414966%,0.711743772241993%
770000,24,14,1.08843537414966%,0.711743772241993%
780000,24,14,1.08843537414966%,0.711743772241993%
790000,30,16,1.36054421768707%,0.813421453990849%
800000,30,16,1.36054421768707%,0.813421453990849%
810000,30,16,1.36054421768707%,0.813421453990849%
820000,30,16,1.36054421768707%,0.813421453990849%
830000,30,16,1.36054421768707%,0.813421453990849%
840000,30,16,1.36054421768707%,0.813421453990849%
850000,30,16,1.36054421768707%,0.813421453990849%
860000,30,16,1.36054421768707%,0.813421453990849%
870000,31,17,1.40589569160998%,0.864260294865277%
880000,31,17,1.40589569160998%,0.864260294865277%
890000,31,17,1.40589569160998%,0.864260294865277%
900000,31,17,1.40589569160998%,0.864260294865277%
910000,31,17,1.40589569160998%,0.864260294865277%
920000,31,17,1.40589569160998%,0.864260294865277%
930000,31,17,1.40589569160998%,0.864260294865277%
940000,31,17,1.40589569160998%,0.864260294865277%
950000,31,17,1.40589569160998%,0.864260294865277%
960000,31,17,1.40589569160998%,0.864260294865277%
970000,31,17,1.40589569160998%,0.864260294865277%
980000,31,17,1.40589569160998%,0.864260294865277%
990000,31,17,1.40589569160998%,0.864260294865277%
1000000,32,18,1.45124716553288%,0.915099135739705%
1010000,32,18,1.45124716553288%,0.915099135739705%
1020000,32,18,1.45124716553288%,0.915099135739705%
1030000,32,18,1.45124716553288%,0.915099135739705%
1040000,32,18,1.45124716553288%,0.915099135739705%
1050000,32,18,1.45124716553288%,0.915099135739705%
1060000,32,18,1.45124716553288%,0.915099135739705%
1070000,32,18,1.45124716553288%,0.915099135739705%
1080000,32,18,1.45124716553288%,0.915099135739705%
1090000,33,19,1.49659863945578%,0.965937976614133%
1100000,33,19,1.49659863945578%,0.965937976614133%
1110000,33,19,1.49659863945578%,0.965937976614133%
1120000,33,19,1.49659863945578%,0.965937976614133%
1130000,36,20,1.63265306122449%,1.01677681748856%
1140000,37,21,1.67800453514739%,1.06761565836299%
1150000,37,21,1.67800453514739%,1.06761565836299%
1160000,37,21,1.67800453514739%,1.06761565836299%
1170000,38,22,1.72335600907029%,1.11845449923742%
1180000,38,22,1.72335600907029%,1.11845449923742%
1190000,38,22,1.72335600907029%,1.11845449923742%
1200000,38,22,1.72335600907029%,1.11845449923742%
1210000,38,22,1.72335600907029%,1.11845449923742%
1220000,39,23,1.7687074829932%,1.16929334011185%
