Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,374,2,0.538416135208672%,0.003614153023239%
20000,375,3,0.539855750543455%,0.00542122953485851%
30000,375,3,0.539855750543455%,0.00542122953485851%
40000,384,6,0.552812288556498%,0.010842459069717%
50000,385,7,0.55425190389128%,0.0126495355813365%
60000,418,9,0.601759209939104%,0.0162636886045755%
70000,421,10,0.606078055943452%,0.018070765116195%
80000,421,10,0.606078055943452%,0.018070765116195%
90000,435,13,0.626232670630408%,0.0234919946510535%
100000,436,14,0.62767228596519%,0.025299071162673%
110000,437,15,0.629111901299973%,0.0271061476742925%
120000,442,18,0.636309977973885%,0.032527377209151%
130000,446,21,0.642068439313015%,0.0379486067440095%
140000,448,23,0.644947669982581%,0.0415627597672485%
150000,448,23,0.644947669982581%,0.0415627597672485%
160000,509,24,0.732764205404316%,0.043369836278868%
170000,510,25,0.734203820739099%,0.0451769127904876%
180000,516,28,0.742841512747794%,0.0505981423253461%
190000,518,29,0.745720743417359%,0.0524052188369656%
200000,518,29,0.745720743417359%,0.0524052188369656%
210000,525,35,0.755798050760837%,0.0632476779066826%
220000,526,36,0.757237666095619%,0.0650547544183021%
230000,528,38,0.760116896765184%,0.0686689074415411%
240000,530,39,0.762996127434749%,0.0704759839531606%
250000,530,39,0.762996127434749%,0.0704759839531606%
260000,530,39,0.762996127434749%,0.0704759839531606%
270000,531,40,0.764435742769532%,0.0722830604647801%
280000,539,44,0.775952665447792%,0.0795113665112581%
290000,540,45,0.777392280782575%,0.0813184430228776%
300000,540,45,0.777392280782575%,0.0813184430228776%
310000,540,45,0.777392280782575%,0.0813184430228776%
320000,543,48,0.781711126786922%,0.0867396725577361%
330000,544,49,0.783150742121705%,0.0885467490693556%
340000,545,50,0.784590357456488%,0.0903538255809751%
350000,546,51,0.78602997279127%,0.0921609020925946%
360000,548,53,0.788909203460835%,0.0957750551158336%
370000,548,53,0.788909203460835%,0.0957750551158336%
380000,549,54,0.790348818795618%,0.0975821316274531%
390000,553,56,0.796107280134748%,0.101196284650692%
400000,553,56,0.796107280134748%,0.101196284650692%
410000,554,57,0.797546895469531%,0.103003361162312%
420000,554,57,0.797546895469531%,0.103003361162312%
430000,554,57,0.797546895469531%,0.103003361162312%
440000,554,57,0.797546895469531%,0.103003361162312%
450000,557,59,0.801865741473878%,0.106617514185551%
460000,560,61,0.806184587478226%,0.11023166720879%
470000,565,63,0.813382664152138%,0.113845820232029%
480000,568,65,0.817701510156486%,0.117459973255268%
490000,568,65,0.817701510156486%,0.117459973255268%
500000,568,65,0.817701510156486%,0.117459973255268%
510000,569,66,0.819141125491269%,0.119267049766887%
520000,570,67,0.820580740826051%,0.121074126278507%
530000,571,68,0.822020356160834%,0.122881202790126%
540000,572,69,0.823459971495616%,0.124688279301746%
550000,575,71,0.827778817499964%,0.128302432324985%
560000,576,72,0.829218432834747%,0.130109508836604%
570000,579,74,0.833537278839094%,0.133723661859843%
580000,579,74,0.833537278839094%,0.133723661859843%
590000,581,76,0.836416509508659%,0.137337814883082%
600000,583,78,0.839295740178224%,0.140951967906321%
610000,583,78,0.839295740178224%,0.140951967906321%
620000,585,80,0.84217497084779%,0.14456612092956%
630000,585,80,0.84217497084779%,0.14456612092956%
640000,587,82,0.845054201517354%,0.148180273952799%
650000,587,82,0.845054201517354%,0.148180273952799%
660000,588,83,0.846493816852137%,0.149987350464419%
670000,588,83,0.846493816852137%,0.149987350464419%
680000,591,84,0.850812662856485%,0.151794426976038%
690000,593,85,0.85369189352605%,0.153601503487658%
700000,593,85,0.85369189352605%,0.153601503487658%
710000,594,86,0.855131508860832%,0.155408579999277%
720000,594,86,0.855131508860832%,0.155408579999277%
730000,594,86,0.855131508860832%,0.155408579999277%
740000,595,87,0.856571124195615%,0.157215656510897%
750000,595,87,0.856571124195615%,0.157215656510897%
