Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,1,1,0.0194476857253987%,0.0236742424242424%
30000,1,1,0.0194476857253987%,0.0236742424242424%
40000,1,1,0.0194476857253987%,0.0236742424242424%
50000,1,1,0.0194476857253987%,0.0236742424242424%
60000,1,1,0.0194476857253987%,0.0236742424242424%
70000,1,1,0.0194476857253987%,0.0236742424242424%
80000,1,1,0.0194476857253987%,0.0236742424242424%
90000,2,2,0.0388953714507974%,0.0473484848484848%
100000,2,2,0.0388953714507974%,0.0473484848484848%
110000,2,2,0.0388953714507974%,0.0473484848484848%
120000,48,3,0.933488914819136%,0.0710227272727273%
130000,50,4,0.972384286269934%,0.0946969696969697%
140000,50,4,0.972384286269934%,0.0946969696969697%
150000,51,5,0.991831971995333%,0.118371212121212%
160000,51,5,0.991831971995333%,0.118371212121212%
170000,51,5,0.991831971995333%,0.118371212121212%
180000,51,5,0.991831971995333%,0.118371212121212%
190000,51,5,0.991831971995333%,0.118371212121212%
200000,75,6,1.4585764294049%,0.142045454545455%
210000,75,6,1.4585764294049%,0.142045454545455%
220000,75,6,1.4585764294049%,0.142045454545455%
230000,75,6,1.4585764294049%,0.142045454545455%
240000,75,6,1.4585764294049%,0.142045454545455%
250000,75,6,1.4585764294049%,0.142045454545455%
260000,75,6,1.4585764294049%,0.142045454545455%
270000,75,6,1.4585764294049%,0.142045454545455%
280000,75,6,1.4585764294049%,0.142045454545455%
290000,75,6,1.4585764294049%,0.142045454545455%
300000,79,7,1.5363671723065%,0.165719696969697%
310000,79,7,1.5363671723065%,0.165719696969697%
320000,79,7,1.5363671723065%,0.165719696969697%
330000,79,7,1.5363671723065%,0.165719696969697%
340000,79,7,1.5363671723065%,0.165719696969697%
350000,79,7,1.5363671723065%,0.165719696969697%
360000,79,7,1.5363671723065%,0.165719696969697%
370000,79,7,1.5363671723065%,0.165719696969697%
380000,79,7,1.5363671723065%,0.165719696969697%
390000,79,7,1.5363671723065%,0.165719696969697%
400000,79,7,1.5363671723065%,0.165719696969697%
410000,79,7,1.5363671723065%,0.165719696969697%
420000,79,7,1.5363671723065%,0.165719696969697%
430000,79,7,1.5363671723065%,0.165719696969697%
440000,79,7,1.5363671723065%,0.165719696969697%
450000,79,7,1.5363671723065%,0.165719696969697%
460000,79,7,1.5363671723065%,0.165719696969697%
470000,79,7,1.5363671723065%,0.165719696969697%
480000,83,8,1.61415791520809%,0.189393939393939%
490000,83,8,1.61415791520809%,0.189393939393939%
500000,83,8,1.61415791520809%,0.189393939393939%
510000,83,8,1.61415791520809%,0.189393939393939%
520000,83,8,1.61415791520809%,0.189393939393939%
530000,83,8,1.61415791520809%,0.189393939393939%
540000,83,8,1.61415791520809%,0.189393939393939%
550000,83,8,1.61415791520809%,0.189393939393939%
560000,83,8,1.61415791520809%,0.189393939393939%
570000,83,8,1.61415791520809%,0.189393939393939%
580000,83,8,1.61415791520809%,0.189393939393939%
590000,83,8,1.61415791520809%,0.189393939393939%
600000,84,9,1.63360560093349%,0.213068181818182%
610000,84,9,1.63360560093349%,0.213068181818182%
620000,84,9,1.63360560093349%,0.213068181818182%
630000,85,10,1.65305328665889%,0.236742424242424%
640000,85,10,1.65305328665889%,0.236742424242424%
650000,85,10,1.65305328665889%,0.236742424242424%
660000,85,10,1.65305328665889%,0.236742424242424%
670000,94,12,1.82808245818748%,0.284090909090909%
680000,95,13,1.84753014391287%,0.307765151515151%
690000,95,13,1.84753014391287%,0.307765151515151%
700000,95,13,1.84753014391287%,0.307765151515151%
710000,95,13,1.84753014391287%,0.307765151515151%
720000,95,13,1.84753014391287%,0.307765151515151%
730000,95,13,1.84753014391287%,0.307765151515151%
740000,95,13,1.84753014391287%,0.307765151515151%
750000,95,13,1.84753014391287%,0.307765151515151%
760000,95,13,1.84753014391287%,0.307765151515151%
770000,95,13,1.84753014391287%,0.307765151515151%
780000,95,13,1.84753014391287%,0.307765151515151%
790000,95,13,1.84753014391287%,0.307765151515151%
800000,96,14,1.86697782963827%,0.331439393939394%
