Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,11,2,0.132562063147746%,0.0268276324614353%
40000,11,2,0.132562063147746%,0.0268276324614353%
50000,16,6,0.192817546396722%,0.0804828973843058%
60000,18,7,0.216919739696312%,0.0938967136150235%
70000,18,7,0.216919739696312%,0.0938967136150235%
80000,18,7,0.216919739696312%,0.0938967136150235%
90000,18,7,0.216919739696312%,0.0938967136150235%
100000,18,7,0.216919739696312%,0.0938967136150235%
110000,18,7,0.216919739696312%,0.0938967136150235%
120000,20,9,0.241021932995903%,0.120724346076459%
130000,20,9,0.241021932995903%,0.120724346076459%
140000,22,11,0.265124126295493%,0.147551978537894%
150000,22,11,0.265124126295493%,0.147551978537894%
160000,24,13,0.289226319595083%,0.174379610999329%
170000,24,13,0.289226319595083%,0.174379610999329%
180000,24,13,0.289226319595083%,0.174379610999329%
190000,24,13,0.289226319595083%,0.174379610999329%
200000,24,13,0.289226319595083%,0.174379610999329%
210000,24,13,0.289226319595083%,0.174379610999329%
220000,24,13,0.289226319595083%,0.174379610999329%
230000,24,13,0.289226319595083%,0.174379610999329%
240000,25,14,0.301277416244878%,0.187793427230047%
250000,25,14,0.301277416244878%,0.187793427230047%
260000,27,15,0.325379609544469%,0.201207243460765%
270000,27,15,0.325379609544469%,0.201207243460765%
280000,28,16,0.337430706194264%,0.214621059691482%
290000,30,18,0.361532899493854%,0.241448692152918%
300000,30,18,0.361532899493854%,0.241448692152918%
310000,32,20,0.385635092793444%,0.268276324614353%
320000,32,20,0.385635092793444%,0.268276324614353%
330000,33,21,0.397686189443239%,0.28169014084507%
340000,34,22,0.409737286093034%,0.295103957075788%
350000,34,22,0.409737286093034%,0.295103957075788%
360000,36,23,0.433839479392625%,0.308517773306506%
370000,36,23,0.433839479392625%,0.308517773306506%
380000,36,23,0.433839479392625%,0.308517773306506%
390000,37,24,0.44589057604242%,0.321931589537223%
400000,39,26,0.46999276934201%,0.348759221998659%
410000,39,26,0.46999276934201%,0.348759221998659%
420000,41,28,0.4940949626416%,0.375586854460094%
430000,42,29,0.506146059291396%,0.389000670690812%
440000,43,30,0.518197155941191%,0.402414486921529%
450000,43,30,0.518197155941191%,0.402414486921529%
460000,43,30,0.518197155941191%,0.402414486921529%
