Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,2,1,0.00287923066956509%,0.0018070765116195%
20000,2,1,0.00287923066956509%,0.0018070765116195%
30000,9,3,0.0129565380130429%,0.00542122953485851%
40000,11,5,0.015835768682608%,0.00903538255809751%
50000,12,6,0.0172753840173906%,0.010842459069717%
60000,16,9,0.0230338453565207%,0.0162636886045755%
70000,17,10,0.0244734606913033%,0.018070765116195%
80000,18,11,0.0259130760260858%,0.0198778416278145%
90000,18,11,0.0259130760260858%,0.0198778416278145%
100000,18,11,0.0259130760260858%,0.0198778416278145%
110000,80,13,0.115169226782604%,0.0234919946510535%
120000,81,14,0.116608842117386%,0.025299071162673%
130000,1327,16,1.91036954925644%,0.028913224185912%
140000,1329,18,1.913248779926%,0.032527377209151%
150000,1333,21,1.91900724126513%,0.0379486067440095%
160000,1333,21,1.91900724126513%,0.0379486067440095%
170000,1338,25,1.92620531793905%,0.0451769127904876%
180000,1343,27,1.93340339461296%,0.0487910658137266%
190000,1344,28,1.93484300994774%,0.0505981423253461%
200000,1346,30,1.93772224061731%,0.0542122953485851%
210000,1348,32,1.94060147128687%,0.0578264483718241%
220000,1350,33,1.94348070195644%,0.0596335248834436%
230000,1352,35,1.946359932626%,0.0632476779066826%
240000,1363,38,1.96219570130861%,0.0686689074415411%
250000,1363,38,1.96219570130861%,0.0686689074415411%
260000,1364,39,1.96363531664339%,0.0704759839531606%
270000,1364,39,1.96363531664339%,0.0704759839531606%
280000,1366,41,1.96651454731296%,0.0740901369763996%
290000,1366,41,1.96651454731296%,0.0740901369763996%
300000,1366,41,1.96651454731296%,0.0740901369763996%
310000,1367,42,1.96795416264774%,0.0758972134880191%
320000,1368,43,1.96939377798252%,0.0777042899996386%
330000,1370,45,1.97227300865209%,0.0813184430228776%
340000,1371,46,1.97371262398687%,0.0831255195344971%
350000,1374,49,1.97803146999122%,0.0885467490693556%
360000,1375,50,1.979471085326%,0.0903538255809751%
370000,1376,51,1.98091070066078%,0.0921609020925946%
380000,1376,51,1.98091070066078%,0.0921609020925946%
390000,1408,53,2.02697839137382%,0.0957750551158336%
400000,1408,53,2.02697839137382%,0.0957750551158336%
410000,1410,55,2.02985762204339%,0.0993892081390726%
420000,1412,57,2.03273685271296%,0.103003361162312%
430000,1412,57,2.03273685271296%,0.103003361162312%
440000,1416,60,2.03849531405209%,0.10842459069717%
450000,1421,64,2.045693390726%,0.115652896743648%
460000,1421,64,2.045693390726%,0.115652896743648%
470000,1422,65,2.04713300606078%,0.117459973255268%
480000,1422,65,2.04713300606078%,0.117459973255268%
490000,1423,66,2.04857262139556%,0.119267049766887%
500000,1424,67,2.05001223673035%,0.121074126278507%
510000,1425,68,2.05145185206513%,0.122881202790126%
520000,1425,68,2.05145185206513%,0.122881202790126%
530000,1431,70,2.06008954407382%,0.126495355813365%
540000,1434,73,2.06440839007817%,0.131916585348224%
550000,1434,73,2.06440839007817%,0.131916585348224%
560000,1438,77,2.0701668514173%,0.139144891394702%
570000,1441,79,2.07448569742165%,0.142759044417941%
580000,1441,79,2.07448569742165%,0.142759044417941%
590000,1443,81,2.07736492809121%,0.14637319744118%
600000,1443,81,2.07736492809121%,0.14637319744118%
610000,1450,83,2.08744223543469%,0.149987350464419%
620000,1453,85,2.09176108143904%,0.153601503487658%
630000,1455,87,2.0946403121086%,0.157215656510897%
640000,1455,87,2.0946403121086%,0.157215656510897%
650000,1467,88,2.11191569612599%,0.159022733022516%
660000,1469,90,2.11479492679556%,0.162636886045755%
670000,1470,91,2.11623454213034%,0.164443962557375%
680000,1471,92,2.11767415746513%,0.166251039068994%
690000,1491,93,2.14646646416078%,0.168058115580614%
700000,1491,93,2.14646646416078%,0.168058115580614%
710000,1492,94,2.14790607949556%,0.169865192092233%
720000,1493,95,2.14934569483034%,0.171672268603853%
730000,1495,97,2.15222492549991%,0.175286421627092%
740000,1498,100,2.15654377150425%,0.18070765116195%
750000,1500,102,2.15942300217382%,0.184321804185189%
760000,1501,103,2.1608626175086%,0.186128880696809%
770000,1502,104,2.16230223284338%,0.187935957208428%
780000,1877,106,2.70215798338684%,0.191550110231667%
790000,1879,108,2.7050372140564%,0.195164263254906%
800000,1880,109,2.70647682939119%,0.196971339766526%
810000,1882,111,2.70935606006075%,0.200585492789765%
820000,1883,112,2.71079567539553%,0.202392569301384%
830000,1883,112,2.71079567539553%,0.202392569301384%
840000,1884,113,2.71223529073032%,0.204199645813004%
850000,1884,113,2.71223529073032%,0.204199645813004%
860000,1884,113,2.71223529073032%,0.204199645813004%
870000,1886,115,2.71511452139988%,0.207813798836243%
880000,1889,118,2.71943336740423%,0.213235028371101%
890000,1890,119,2.72087298273901%,0.215042104882721%
900000,1892,121,2.72375221340858%,0.21865625790596%
910000,1894,123,2.72663144407814%,0.222270410929199%
920000,1894,123,2.72663144407814%,0.222270410929199%
930000,1896,125,2.72951067474771%,0.225884563952438%
940000,1898,126,2.73238990541727%,0.227691640464057%
950000,1898,126,2.73238990541727%,0.227691640464057%
960000,1899,127,2.73382952075206%,0.229498716975677%
970000,1900,128,2.73526913608684%,0.231305793487296%
980000,1901,129,2.73670875142162%,0.233112869998916%
990000,1905,132,2.74246721276075%,0.238534099533774%
1000000,1907,134,2.74534644343032%,0.242148252557013%
1010000,1907,134,2.74534644343032%,0.242148252557013%
1020000,1908,135,2.7467860587651%,0.243955329068633%
1030000,1914,138,2.75542375077379%,0.249376558603491%
1040000,1914,138,2.75542375077379%,0.249376558603491%
1050000,1914,138,2.75542375077379%,0.249376558603491%
1060000,1914,138,2.75542375077379%,0.249376558603491%
1070000,1915,139,2.75686336610858%,0.251183635115111%
1080000,1915,139,2.75686336610858%,0.251183635115111%
1090000,1917,141,2.75974259677814%,0.25479778813835%
1100000,1918,142,2.76118221211292%,0.256604864649969%
1110000,1918,142,2.76118221211292%,0.256604864649969%
1120000,1920,144,2.76406144278249%,0.260219017673208%
1130000,1924,146,2.76981990412162%,0.263833170696447%
1140000,1933,148,2.78277644213466%,0.267447323719686%
1150000,1934,149,2.78421605746944%,0.269254400231306%
1160000,1936,151,2.78709528813901%,0.272868553254545%
1170000,1936,151,2.78709528813901%,0.272868553254545%
1180000,1936,151,2.78709528813901%,0.272868553254545%
1190000,1936,151,2.78709528813901%,0.272868553254545%
1200000,1936,151,2.78709528813901%,0.272868553254545%
1210000,1940,155,2.79285374947814%,0.280096859301023%
1220000,1943,158,2.79717259548249%,0.285518088835881%
1230000,1943,158,2.79717259548249%,0.285518088835881%
1240000,1944,159,2.79861221081727%,0.287325165347501%
1250000,1946,160,2.80149144148683%,0.28913224185912%
1260000,1948,162,2.8043706721564%,0.292746394882359%
1270000,1952,163,2.81012913349553%,0.294553471393979%
1280000,1952,163,2.81012913349553%,0.294553471393979%
1290000,1952,163,2.81012913349553%,0.294553471393979%
1300000,1953,164,2.81156874883031%,0.296360547905598%
1310000,1954,165,2.81300836416509%,0.298167624417218%
1320000,1955,166,2.81444797949988%,0.299974700928837%
1330000,1956,167,2.81588759483466%,0.301781777440457%
1340000,1958,169,2.81876682550423%,0.305395930463696%
1350000,1959,170,2.82020644083901%,0.307203006975315%
1360000,1960,171,2.82164605617379%,0.309010083486935%
1370000,1962,172,2.82452528684336%,0.310817159998554%
1380000,1965,174,2.8288441328477%,0.314431313021793%
1390000,1967,175,2.83172336351727%,0.316238389533413%
1400000,1970,177,2.83604220952162%,0.319852542556652%
1410000,1970,177,2.83604220952162%,0.319852542556652%
1420000,1971,178,2.8374818248564%,0.321659619068271%
1430000,1973,179,2.84036105552596%,0.323466695579891%
1440000,1974,180,2.84180067086075%,0.32527377209151%
1450000,1977,183,2.84611951686509%,0.330695001626369%
1460000,1992,185,2.86771374688683%,0.334309154649608%
1470000,1994,186,2.8705929775564%,0.336116231161227%
1480000,1998,187,2.87635143889553%,0.337923307672847%
1490000,1999,188,2.87779105423031%,0.339730384184466%
1500000,1999,188,2.87779105423031%,0.339730384184466%
1510000,2000,189,2.87923066956509%,0.341537460696086%
1520000,2003,192,2.88354951556944%,0.346958690230944%
1530000,2003,192,2.88354951556944%,0.346958690230944%
1540000,2004,193,2.88498913090422%,0.348765766742564%
1550000,2005,194,2.886428746239%,0.350572843254183%
1560000,2007,196,2.88930797690857%,0.354186996277422%
1570000,2007,196,2.88930797690857%,0.354186996277422%
1580000,2008,197,2.89074759224335%,0.355994072789042%
1590000,2009,198,2.89218720757814%,0.357801149300661%
1600000,2009,198,2.89218720757814%,0.357801149300661%
1610000,2013,200,2.89794566891727%,0.3614153023239%
1620000,2014,201,2.89938528425205%,0.36322237883552%
1630000,2015,202,2.90082489958683%,0.365029455347139%
1640000,2019,206,2.90658336092596%,0.372257761393617%
1650000,2020,207,2.90802297626074%,0.374064837905237%
1660000,2022,208,2.91090220693031%,0.375871914416856%
1670000,2024,210,2.91378143759987%,0.379486067440095%
1680000,2028,212,2.919539898939%,0.383100220463334%
1690000,2029,213,2.92097951427379%,0.384907296974954%
1700000,2030,214,2.92241912960857%,0.386714373486573%
1710000,2031,215,2.92385874494335%,0.388521449998193%
1720000,2032,216,2.92529836027813%,0.390328526509812%
1730000,2034,218,2.9281775909477%,0.393942679533051%
1740000,2035,219,2.92961720628248%,0.395749756044671%
1750000,2038,220,2.93393605228683%,0.39755683255629%
1760000,2039,221,2.93537566762161%,0.39936390906791%
1770000,2041,223,2.93825489829118%,0.402978062091149%
1780000,2041,223,2.93825489829118%,0.402978062091149%
1790000,2041,223,2.93825489829118%,0.402978062091149%
1800000,2041,223,2.93825489829118%,0.402978062091149%
1810000,2042,224,2.93969451362596%,0.404785138602768%
1820000,2043,225,2.94113412896074%,0.406592215114388%
1830000,2044,226,2.94257374429552%,0.408399291626007%
1840000,2046,228,2.94545297496509%,0.412013444649246%
1850000,2046,228,2.94545297496509%,0.412013444649246%
1860000,2046,228,2.94545297496509%,0.412013444649246%
1870000,2046,228,2.94545297496509%,0.412013444649246%
1880000,2047,229,2.94689259029987%,0.413820521160866%
1890000,2048,230,2.94833220563465%,0.415627597672485%
1900000,2055,232,2.95840951297813%,0.419241750695725%
1910000,2055,232,2.95840951297813%,0.419241750695725%
1920000,2055,232,2.95840951297813%,0.419241750695725%
1930000,2056,233,2.95984912831291%,0.421048827207344%
1940000,2058,235,2.96272835898248%,0.424662980230583%
1950000,2059,236,2.96416797431726%,0.426470056742203%
1960000,2059,236,2.96416797431726%,0.426470056742203%
1970000,2060,237,2.96560758965204%,0.428277133253822%
1980000,2061,238,2.96704720498683%,0.430084209765441%
1990000,2064,240,2.97136605099118%,0.433698362788681%
2000000,2066,242,2.97424528166074%,0.437312515811919%
2010000,2067,243,2.97568489699552%,0.439119592323539%
2020000,2067,243,2.97568489699552%,0.439119592323539%
2030000,2068,244,2.97712451233031%,0.440926668835159%
2040000,2069,245,2.97856412766509%,0.442733745346778%
2050000,2076,248,2.98864143500857%,0.448154974881637%
2060000,2076,248,2.98864143500857%,0.448154974881637%
2070000,2076,248,2.98864143500857%,0.448154974881637%
2080000,2076,248,2.98864143500857%,0.448154974881637%
2090000,2076,248,2.98864143500857%,0.448154974881637%
2100000,2077,249,2.99008105034335%,0.449962051393256%
2110000,2084,252,3.00015835768683%,0.455383280928114%
2120000,2087,253,3.00447720369117%,0.457190357439734%
2130000,2088,254,3.00591681902596%,0.458997433951353%
2140000,2088,254,3.00591681902596%,0.458997433951353%
2150000,2089,255,3.00735643436074%,0.460804510462973%
2160000,2090,256,3.00879604969552%,0.462611586974592%
2170000,2090,256,3.00879604969552%,0.462611586974592%
2180000,2091,257,3.0102356650303%,0.464418663486212%
2190000,2092,258,3.01167528036509%,0.466225739997831%
2200000,2093,259,3.01311489569987%,0.468032816509451%
2210000,2098,260,3.02031297237378%,0.46983989302107%
2220000,2099,261,3.02175258770856%,0.47164696953269%
2230000,2103,263,3.02751104904769%,0.475261122555929%
2240000,2103,263,3.02751104904769%,0.475261122555929%
2250000,2103,263,3.02751104904769%,0.475261122555929%
2260000,2103,263,3.02751104904769%,0.475261122555929%
2270000,2104,264,3.02895066438248%,0.477068199067548%
2280000,2105,265,3.03039027971726%,0.478875275579168%
2290000,2106,266,3.03182989505204%,0.480682352090788%
2300000,2109,268,3.03614874105639%,0.484296505114027%
2310000,2111,269,3.03902797172595%,0.486103581625646%
2320000,2113,271,3.04190720239552%,0.489717734648885%
2330000,2115,272,3.04478643306508%,0.491524811160505%
2340000,2115,272,3.04478643306508%,0.491524811160505%
2350000,2116,273,3.04622604839987%,0.493331887672124%
2360000,2116,273,3.04622604839987%,0.493331887672124%
2370000,2117,274,3.04766566373465%,0.495138964183744%
2380000,2118,275,3.04910527906943%,0.496946040695363%
2390000,2120,277,3.051984509739%,0.500560193718602%
2400000,2121,278,3.05342412507378%,0.502367270230222%
2410000,2123,279,3.05630335574335%,0.504174346741841%
2420000,2125,281,3.05918258641291%,0.50778849976508%
2430000,2127,283,3.06206181708248%,0.511402652788319%
2440000,2128,284,3.06350143241726%,0.513209729299939%
2450000,2129,285,3.06494104775204%,0.515016805811558%
2460000,2129,285,3.06494104775204%,0.515016805811558%
2470000,2129,285,3.06494104775204%,0.515016805811558%
2480000,2130,286,3.06638066308682%,0.516823882323178%
2490000,2131,287,3.06782027842161%,0.518630958834797%
2500000,2135,291,3.07357873976074%,0.525859264881275%
2510000,2135,291,3.07357873976074%,0.525859264881275%
2520000,2135,291,3.07357873976074%,0.525859264881275%
2530000,2135,291,3.07357873976074%,0.525859264881275%
2540000,2136,292,3.07501835509552%,0.527666341392895%
2550000,2136,292,3.07501835509552%,0.527666341392895%
2560000,2138,294,3.07789758576508%,0.531280494416134%
2570000,2139,295,3.07933720109987%,0.533087570927753%
2580000,2139,295,3.07933720109987%,0.533087570927753%
2590000,2140,296,3.08077681643465%,0.534894647439373%
2600000,2140,296,3.08077681643465%,0.534894647439373%
2610000,2140,296,3.08077681643465%,0.534894647439373%
2620000,2140,296,3.08077681643465%,0.534894647439373%
2630000,2140,296,3.08077681643465%,0.534894647439373%
2640000,2141,297,3.08221643176943%,0.536701723950992%
2650000,2143,298,3.085095662439%,0.538508800462612%
2660000,2143,298,3.085095662439%,0.538508800462612%
2670000,2145,300,3.08797489310856%,0.542122953485851%
2680000,2147,302,3.09085412377813%,0.54573710650909%
2690000,2150,304,3.09517296978247%,0.549351259532329%
2700000,2150,304,3.09517296978247%,0.549351259532329%
2710000,2150,304,3.09517296978247%,0.549351259532329%
2720000,2150,304,3.09517296978247%,0.549351259532329%
2730000,2150,304,3.09517296978247%,0.549351259532329%
2740000,2151,305,3.09661258511726%,0.551158336043948%
2750000,2153,307,3.09949181578682%,0.554772489067187%
2760000,2155,308,3.10237104645639%,0.556579565578807%
2770000,2155,308,3.10237104645639%,0.556579565578807%
2780000,2156,309,3.10381066179117%,0.558386642090426%
2790000,2157,310,3.10525027712595%,0.560193718602046%
2800000,2157,310,3.10525027712595%,0.560193718602046%
2810000,2160,313,3.1095691231303%,0.565614948136904%
2820000,2162,315,3.11244835379986%,0.569229101160143%
2830000,2164,317,3.11532758446943%,0.572843254183382%
2840000,2166,319,3.11820681513899%,0.576457407206621%
2850000,2171,321,3.12540489181291%,0.58007156022986%
2860000,2172,322,3.12684450714769%,0.58187863674148%
2870000,2173,323,3.12828412248247%,0.583685713253099%
2880000,2173,323,3.12828412248247%,0.583685713253099%
2890000,2173,323,3.12828412248247%,0.583685713253099%
2900000,2175,325,3.13116335315204%,0.587299866276338%
2910000,2175,325,3.13116335315204%,0.587299866276338%
2920000,2176,326,3.13260296848682%,0.589106942787958%
2930000,2177,327,3.1340425838216%,0.590914019299577%
2940000,2178,328,3.13548219915639%,0.592721095811197%
2950000,2182,330,3.14124066049552%,0.596335248834436%
2960000,2183,331,3.1426802758303%,0.598142325346055%
2970000,2186,334,3.14699912183465%,0.603563554880914%
2980000,2186,334,3.14699912183465%,0.603563554880914%
2990000,2189,337,3.15131796783899%,0.608984784415772%
3000000,2189,337,3.15131796783899%,0.608984784415772%
3010000,2190,338,3.15275758317378%,0.610791860927392%
3020000,2192,340,3.15563681384334%,0.614406013950631%
3030000,2192,340,3.15563681384334%,0.614406013950631%
3040000,2192,340,3.15563681384334%,0.614406013950631%
3050000,2192,340,3.15563681384334%,0.614406013950631%
3060000,2192,340,3.15563681384334%,0.614406013950631%
3070000,2192,340,3.15563681384334%,0.614406013950631%
3080000,2192,340,3.15563681384334%,0.614406013950631%
3090000,2193,341,3.15707642917812%,0.61621309046225%
3100000,2224,342,3.20170450455638%,0.61802016697387%
3110000,2225,343,3.20314411989117%,0.619827243485489%
3120000,2226,344,3.20458373522595%,0.621634319997109%
3130000,2226,344,3.20458373522595%,0.621634319997109%
3140000,2226,344,3.20458373522595%,0.621634319997109%
3150000,2226,344,3.20458373522595%,0.621634319997109%
3160000,2228,346,3.20746296589551%,0.625248473020348%
3170000,2230,348,3.21034219656508%,0.628862626043587%
3180000,2231,349,3.21178181189986%,0.630669702555206%
3190000,2231,349,3.21178181189986%,0.630669702555206%
3200000,2232,350,3.21322142723464%,0.632476779066826%
3210000,2232,350,3.21322142723464%,0.632476779066826%
3220000,2234,352,3.21610065790421%,0.636090932090065%
3230000,2235,353,3.21754027323899%,0.637898008601684%
3240000,2237,355,3.22041950390856%,0.641512161624923%
3250000,2239,357,3.22329873457812%,0.645126314648162%
3260000,2239,357,3.22329873457812%,0.645126314648162%
3270000,2239,357,3.22329873457812%,0.645126314648162%
3280000,2240,358,3.2247383499129%,0.646933391159782%
3290000,2242,359,3.22761758058247%,0.648740467671401%
3300000,2243,360,3.22905719591725%,0.650547544183021%
3310000,2245,361,3.23193642658682%,0.65235462069464%
3320000,2245,361,3.23193642658682%,0.65235462069464%
3330000,2245,361,3.23193642658682%,0.65235462069464%
3340000,2245,361,3.23193642658682%,0.65235462069464%
3350000,2245,361,3.23193642658682%,0.65235462069464%
3360000,2245,361,3.23193642658682%,0.65235462069464%
3370000,2246,362,3.2333760419216%,0.65416169720626%
3380000,2249,364,3.23769488792595%,0.657775850229499%
3390000,2250,365,3.23913450326073%,0.659582926741118%
3400000,2251,366,3.24057411859551%,0.661390003252738%
3410000,2251,366,3.24057411859551%,0.661390003252738%
3420000,2251,366,3.24057411859551%,0.661390003252738%
3430000,2251,366,3.24057411859551%,0.661390003252738%
3440000,2251,366,3.24057411859551%,0.661390003252738%
3450000,2253,368,3.24345334926508%,0.665004156275977%
3460000,2253,368,3.24345334926508%,0.665004156275977%
3470000,2253,368,3.24345334926508%,0.665004156275977%
3480000,2255,369,3.24633257993464%,0.666811232787596%
3490000,2255,369,3.24633257993464%,0.666811232787596%
3500000,2258,370,3.25065142593899%,0.668618309299216%
3510000,2258,370,3.25065142593899%,0.668618309299216%
3520000,2258,370,3.25065142593899%,0.668618309299216%
3530000,2258,370,3.25065142593899%,0.668618309299216%
3540000,2260,372,3.25353065660855%,0.672232462322455%
3550000,2260,372,3.25353065660855%,0.672232462322455%
3560000,2260,372,3.25353065660855%,0.672232462322455%
3570000,2261,373,3.25497027194334%,0.674039538834074%
3580000,2261,373,3.25497027194334%,0.674039538834074%
3590000,2261,373,3.25497027194334%,0.674039538834074%
3600000,2261,373,3.25497027194334%,0.674039538834074%
3610000,2262,374,3.25640988727812%,0.675846615345694%
3620000,2262,374,3.25640988727812%,0.675846615345694%
3630000,2262,374,3.25640988727812%,0.675846615345694%
3640000,2262,374,3.25640988727812%,0.675846615345694%
3650000,2264,376,3.25928911794768%,0.679460768368933%
3660000,2266,378,3.26216834861725%,0.683074921392172%
3670000,2266,378,3.26216834861725%,0.683074921392172%
3680000,2267,379,3.26360796395203%,0.684881997903791%
3690000,2267,379,3.26360796395203%,0.684881997903791%
3700000,2269,381,3.2664871946216%,0.68849615092703%
3710000,2271,383,3.26936642529116%,0.692110303950269%
3720000,2273,385,3.27224565596073%,0.695724456973508%
3730000,2273,385,3.27224565596073%,0.695724456973508%
3740000,2275,387,3.27512488663029%,0.699338609996747%
3750000,2275,387,3.27512488663029%,0.699338609996747%
3760000,2276,388,3.27656450196507%,0.701145686508367%
3770000,2279,390,3.28088334796942%,0.704759839531606%
3780000,2279,390,3.28088334796942%,0.704759839531606%
3790000,2280,391,3.28232296330421%,0.706566916043225%
3800000,2282,393,3.28520219397377%,0.710181069066464%
3810000,2282,393,3.28520219397377%,0.710181069066464%
3820000,2282,393,3.28520219397377%,0.710181069066464%
3830000,2284,395,3.28808142464334%,0.713795222089703%
3840000,2284,395,3.28808142464334%,0.713795222089703%
3850000,2284,395,3.28808142464334%,0.713795222089703%
3860000,2284,395,3.28808142464334%,0.713795222089703%
3870000,2285,396,3.28952103997812%,0.715602298601323%
3880000,2288,399,3.29383988598247%,0.721023528136181%
3890000,2288,399,3.29383988598247%,0.721023528136181%
3900000,2288,399,3.29383988598247%,0.721023528136181%
3910000,2291,402,3.29815873198681%,0.72644475767104%
3920000,2292,403,3.2995983473216%,0.728251834182659%
3930000,2293,404,3.30103796265638%,0.730058910694279%
3940000,2293,404,3.30103796265638%,0.730058910694279%
3950000,2293,404,3.30103796265638%,0.730058910694279%
3960000,2294,405,3.30247757799116%,0.731865987205898%
3970000,2294,405,3.30247757799116%,0.731865987205898%
3980000,2294,405,3.30247757799116%,0.731865987205898%
3990000,2294,405,3.30247757799116%,0.731865987205898%
4000000,2298,408,3.30823603933029%,0.737287216740757%
4010000,2298,408,3.30823603933029%,0.737287216740757%
4020000,2298,408,3.30823603933029%,0.737287216740757%
4030000,2298,408,3.30823603933029%,0.737287216740757%
4040000,2298,408,3.30823603933029%,0.737287216740757%
4050000,2299,409,3.30967565466507%,0.739094293252376%
4060000,2300,410,3.31111526999986%,0.740901369763996%
4070000,2301,411,3.31255488533464%,0.742708446275615%
4080000,2302,412,3.31399450066942%,0.744515522787235%
