Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,401,59,0.00615580448612311%,0.00198846287101684%
20000,597,116,0.00916462662896633%,0.00390952022098226%
30000,895,163,0.0137392643767586%,0.00549354996569059%
40000,1305,216,0.0200332290633184%,0.00727979627355317%
50000,1411,252,0.0216604492017948%,0.0084930956524787%
60000,1649,293,0.0253140189466758%,0.00987490883403278%
70000,1838,335,0.0282153831558461%,0.0112904247761126%
80000,2274,390,0.0349084773103341%,0.0131440766050266%
90000,2431,428,0.037318605251285%,0.0144247815050035%
100000,2756,475,0.0423077236003873%,0.0160088112497118%
110000,3074,527,0.0471893840158166%,0.0177613547970487%
120000,4356,587,0.0668695370113523%,0.0197835204285913%
130000,4465,623,0.0685428105499743%,0.0209968198075168%
140000,4934,663,0.0757424921060634%,0.0223449302285452%
150000,5127,711,0.0787052608487611%,0.0239626627337792%
160000,5411,766,0.0830649827292074%,0.0258163145626932%
170000,5755,810,0.0883457726125649%,0.0272992360258244%
180000,5899,856,0.0905563358195517%,0.028849563010007%
190000,6168,903,0.0946857906992702%,0.0304335927547154%
200000,6352,955,0.0975103992415312%,0.0321861363020522%
210000,6692,1001,0.102729784591361%,0.0337364632862349%
220000,6801,1051,0.104403058129983%,0.0354216013125203%
230000,7440,1103,0.114212432360987%,0.0371741448598572%
240000,7829,1149,0.120184023246528%,0.0387244718440398%
250000,7932,1197,0.121765189984859%,0.0403422043492738%
260000,8431,1247,0.129425405542404%,0.0420273423755593%
270000,8861,1299,0.136026392896601%,0.0437798859228962%
280000,9720,1350,0.149213016471613%,0.0454987267097073%
290000,9969,1403,0.153035448683694%,0.0472849730175699%
300000,10058,1438,0.154401699554679%,0.0484645696359697%
310000,69770,1489,1.07104857605189%,0.0501834104227809%
320000,70847,1553,1.08758174670415%,0.0523403870964263%
330000,71092,1593,1.0913427743827%,0.0536884975174547%
340000,71539,1651,1.09820473100439%,0.0556432576279458%
350000,71788,1695,1.10202716321647%,0.057126179091077%
360000,71937,1745,1.10431448209037%,0.0588113171173624%
370000,72181,1801,1.10806015863554%,0.0606986717068022%
380000,72490,1845,1.11280365885053%,0.0621815931699334%
390000,76935,1900,1.18103944673287%,0.0640352449988474%
400000,78025,1949,1.19777218211909%,0.0656866802646071%
410000,78384,2016,1.20328323900318%,0.0679447652198296%
420000,78598,2078,1.20656838154689%,0.0700343363724236%
430000,79167,2133,1.21530317644117%,0.0718879882013376%
440000,80111,2178,1.22979464635364%,0.0734046124249945%
450000,80405,2229,1.2343078795679%,0.0751234532118057%
460000,81172,2280,1.24608219887178%,0.0768422939986168%
470000,81509,2327,1.25125553082147%,0.0784263237433252%
480000,81675,2375,1.25380381896286%,0.0800440562485592%
490000,81889,2417,1.25708896150657%,0.081459572190639%
500000,82605,2453,1.26808037300798%,0.0826728715695645%
510000,83515,2516,1.28204990438547%,0.0847961454826842%
520000,84211,2576,1.29273429321924%,0.0868183111142267%
530000,85693,2625,1.31548467289114%,0.0884697463799865%
540000,85889,2680,1.31849349503399%,0.0903233982089005%
550000,85999,2730,1.32018211970599%,0.092008536235186%
560000,86476,2780,1.32750461032913%,0.0936936742614714%
570000,86760,2833,1.33186433220958%,0.095479920569334%
580000,107506,2898,1.6503389453495%,0.0976706000035051%
590000,107716,2946,1.65356268335969%,0.0992883325087391%
600000,108328,2996,1.66295757698939%,0.100973470535025%
610000,108522,3044,1.66593569686547%,0.102591203040259%
620000,108744,3101,1.66934364847624%,0.104512260390224%
630000,109074,3148,1.67440952249225%,0.106096290134932%
640000,109262,3197,1.67729553556804%,0.107747725400692%
650000,109617,3251,1.6827451879186%,0.10956767446908%
