Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,1,1,0.0194476857253987%,0.0236742424242424%
30000,1,1,0.0194476857253987%,0.0236742424242424%
40000,1,1,0.0194476857253987%,0.0236742424242424%
50000,1,1,0.0194476857253987%,0.0236742424242424%
60000,2,2,0.0388953714507974%,0.0473484848484848%
70000,2,2,0.0388953714507974%,0.0473484848484848%
80000,2,2,0.0388953714507974%,0.0473484848484848%
90000,2,2,0.0388953714507974%,0.0473484848484848%
100000,2,2,0.0388953714507974%,0.0473484848484848%
110000,2,2,0.0388953714507974%,0.0473484848484848%
120000,2,2,0.0388953714507974%,0.0473484848484848%
130000,2,2,0.0388953714507974%,0.0473484848484848%
140000,2,2,0.0388953714507974%,0.0473484848484848%
150000,2,2,0.0388953714507974%,0.0473484848484848%
160000,2,2,0.0388953714507974%,0.0473484848484848%
170000,2,2,0.0388953714507974%,0.0473484848484848%
180000,2,2,0.0388953714507974%,0.0473484848484848%
190000,2,2,0.0388953714507974%,0.0473484848484848%
200000,2,2,0.0388953714507974%,0.0473484848484848%
210000,2,2,0.0388953714507974%,0.0473484848484848%
220000,2,2,0.0388953714507974%,0.0473484848484848%
230000,4,3,0.0777907429015947%,0.0710227272727273%
240000,4,3,0.0777907429015947%,0.0710227272727273%
250000,4,3,0.0777907429015947%,0.0710227272727273%
260000,4,3,0.0777907429015947%,0.0710227272727273%
270000,4,3,0.0777907429015947%,0.0710227272727273%
280000,5,4,0.0972384286269934%,0.0946969696969697%
290000,5,4,0.0972384286269934%,0.0946969696969697%
300000,5,4,0.0972384286269934%,0.0946969696969697%
310000,6,5,0.116686114352392%,0.118371212121212%
320000,7,6,0.136133800077791%,0.142045454545455%
330000,7,6,0.136133800077791%,0.142045454545455%
340000,8,7,0.155581485803189%,0.165719696969697%
350000,8,7,0.155581485803189%,0.165719696969697%
360000,8,7,0.155581485803189%,0.165719696969697%
370000,8,7,0.155581485803189%,0.165719696969697%
380000,8,7,0.155581485803189%,0.165719696969697%
390000,8,7,0.155581485803189%,0.165719696969697%
400000,9,8,0.175029171528588%,0.189393939393939%
410000,9,8,0.175029171528588%,0.189393939393939%
420000,9,8,0.175029171528588%,0.189393939393939%
430000,9,8,0.175029171528588%,0.189393939393939%
440000,9,8,0.175029171528588%,0.189393939393939%
450000,9,8,0.175029171528588%,0.189393939393939%
460000,9,8,0.175029171528588%,0.189393939393939%
470000,9,8,0.175029171528588%,0.189393939393939%
480000,9,8,0.175029171528588%,0.189393939393939%
490000,9,8,0.175029171528588%,0.189393939393939%
500000,10,9,0.194476857253987%,0.213068181818182%
510000,10,9,0.194476857253987%,0.213068181818182%
520000,56,10,1.08907040062233%,0.236742424242424%
530000,56,10,1.08907040062233%,0.236742424242424%
540000,56,10,1.08907040062233%,0.236742424242424%
550000,56,10,1.08907040062233%,0.236742424242424%
560000,56,10,1.08907040062233%,0.236742424242424%
570000,56,10,1.08907040062233%,0.236742424242424%
580000,56,10,1.08907040062233%,0.236742424242424%
590000,57,11,1.10851808634772%,0.260416666666667%
600000,57,11,1.10851808634772%,0.260416666666667%
610000,57,11,1.10851808634772%,0.260416666666667%
620000,57,11,1.10851808634772%,0.260416666666667%
630000,57,11,1.10851808634772%,0.260416666666667%
640000,57,11,1.10851808634772%,0.260416666666667%
650000,59,12,1.14741345779852%,0.284090909090909%
660000,59,12,1.14741345779852%,0.284090909090909%
670000,59,12,1.14741345779852%,0.284090909090909%
680000,59,12,1.14741345779852%,0.284090909090909%
690000,59,12,1.14741345779852%,0.284090909090909%
700000,59,12,1.14741345779852%,0.284090909090909%
710000,59,12,1.14741345779852%,0.284090909090909%
720000,117,13,2.27537922987165%,0.307765151515151%
730000,117,13,2.27537922987165%,0.307765151515151%
740000,117,13,2.27537922987165%,0.307765151515151%
750000,117,13,2.27537922987165%,0.307765151515151%
760000,117,13,2.27537922987165%,0.307765151515151%
770000,118,14,2.29482691559704%,0.331439393939394%
780000,118,14,2.29482691559704%,0.331439393939394%
790000,118,14,2.29482691559704%,0.331439393939394%
