Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,6,1,0.272108843537415%,0.0508388408744281%
20000,6,1,0.272108843537415%,0.0508388408744281%
30000,6,1,0.272108843537415%,0.0508388408744281%
40000,21,2,0.952380952380952%,0.101677681748856%
50000,21,2,0.952380952380952%,0.101677681748856%
60000,21,2,0.952380952380952%,0.101677681748856%
70000,21,2,0.952380952380952%,0.101677681748856%
80000,21,2,0.952380952380952%,0.101677681748856%
90000,21,2,0.952380952380952%,0.101677681748856%
100000,21,2,0.952380952380952%,0.101677681748856%
110000,21,2,0.952380952380952%,0.101677681748856%
120000,21,2,0.952380952380952%,0.101677681748856%
130000,21,2,0.952380952380952%,0.101677681748856%
140000,21,2,0.952380952380952%,0.101677681748856%
150000,21,2,0.952380952380952%,0.101677681748856%
160000,21,2,0.952380952380952%,0.101677681748856%
170000,21,2,0.952380952380952%,0.101677681748856%
180000,21,2,0.952380952380952%,0.101677681748856%
190000,21,2,0.952380952380952%,0.101677681748856%
200000,21,2,0.952380952380952%,0.101677681748856%
210000,21,2,0.952380952380952%,0.101677681748856%
220000,21,2,0.952380952380952%,0.101677681748856%
230000,21,2,0.952380952380952%,0.101677681748856%
240000,21,2,0.952380952380952%,0.101677681748856%
250000,21,2,0.952380952380952%,0.101677681748856%
260000,22,3,0.997732426303855%,0.152516522623284%
270000,22,3,0.997732426303855%,0.152516522623284%
280000,22,3,0.997732426303855%,0.152516522623284%
290000,22,3,0.997732426303855%,0.152516522623284%
300000,22,3,0.997732426303855%,0.152516522623284%
310000,22,3,0.997732426303855%,0.152516522623284%
320000,22,3,0.997732426303855%,0.152516522623284%
330000,22,3,0.997732426303855%,0.152516522623284%
340000,22,3,0.997732426303855%,0.152516522623284%
350000,22,3,0.997732426303855%,0.152516522623284%
360000,22,3,0.997732426303855%,0.152516522623284%
370000,22,3,0.997732426303855%,0.152516522623284%
380000,22,3,0.997732426303855%,0.152516522623284%
390000,22,3,0.997732426303855%,0.152516522623284%
400000,22,3,0.997732426303855%,0.152516522623284%
410000,22,3,0.997732426303855%,0.152516522623284%
420000,22,3,0.997732426303855%,0.152516522623284%
430000,22,3,0.997732426303855%,0.152516522623284%
440000,22,3,0.997732426303855%,0.152516522623284%
450000,22,3,0.997732426303855%,0.152516522623284%
460000,30,4,1.36054421768707%,0.203355363497712%
470000,31,5,1.40589569160998%,0.25419420437214%
480000,31,5,1.40589569160998%,0.25419420437214%
490000,31,5,1.40589569160998%,0.25419420437214%
500000,31,5,1.40589569160998%,0.25419420437214%
510000,31,5,1.40589569160998%,0.25419420437214%
520000,31,5,1.40589569160998%,0.25419420437214%
530000,31,5,1.40589569160998%,0.25419420437214%
540000,31,5,1.40589569160998%,0.25419420437214%
550000,32,6,1.45124716553288%,0.305033045246568%
560000,32,6,1.45124716553288%,0.305033045246568%
570000,32,6,1.45124716553288%,0.305033045246568%
580000,32,6,1.45124716553288%,0.305033045246568%
590000,32,6,1.45124716553288%,0.305033045246568%
600000,32,6,1.45124716553288%,0.305033045246568%
610000,32,6,1.45124716553288%,0.305033045246568%
620000,32,6,1.45124716553288%,0.305033045246568%
630000,32,6,1.45124716553288%,0.305033045246568%
640000,32,6,1.45124716553288%,0.305033045246568%
650000,32,6,1.45124716553288%,0.305033045246568%
660000,32,6,1.45124716553288%,0.305033045246568%
670000,32,6,1.45124716553288%,0.305033045246568%
680000,32,6,1.45124716553288%,0.305033045246568%
690000,32,6,1.45124716553288%,0.305033045246568%
700000,32,6,1.45124716553288%,0.305033045246568%
710000,32,6,1.45124716553288%,0.305033045246568%
720000,32,6,1.45124716553288%,0.305033045246568%
730000,32,6,1.45124716553288%,0.305033045246568%
740000,32,6,1.45124716553288%,0.305033045246568%
750000,32,6,1.45124716553288%,0.305033045246568%
760000,32,6,1.45124716553288%,0.305033045246568%
770000,32,6,1.45124716553288%,0.305033045246568%
780000,32,6,1.45124716553288%,0.305033045246568%
790000,32,6,1.45124716553288%,0.305033045246568%
800000,32,6,1.45124716553288%,0.305033045246568%
810000,32,6,1.45124716553288%,0.305033045246568%
820000,32,6,1.45124716553288%,0.305033045246568%
830000,32,6,1.45124716553288%,0.305033045246568%
840000,32,6,1.45124716553288%,0.305033045246568%
850000,32,6,1.45124716553288%,0.305033045246568%
860000,32,6,1.45124716553288%,0.305033045246568%
870000,32,6,1.45124716553288%,0.305033045246568%
880000,32,6,1.45124716553288%,0.305033045246568%
890000,32,6,1.45124716553288%,0.305033045246568%
900000,32,6,1.45124716553288%,0.305033045246568%
