Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,4,3,0.00575846133913018%,0.00542122953485851%
20000,386,8,0.555691519226063%,0.014456612092956%
30000,387,9,0.557131134560845%,0.0162636886045755%
40000,392,11,0.564329211234758%,0.0198778416278145%
50000,396,13,0.570087672573888%,0.0234919946510535%
60000,396,13,0.570087672573888%,0.0234919946510535%
70000,397,14,0.571527287908671%,0.025299071162673%
80000,397,14,0.571527287908671%,0.025299071162673%
90000,397,14,0.571527287908671%,0.025299071162673%
100000,397,14,0.571527287908671%,0.025299071162673%
110000,397,14,0.571527287908671%,0.025299071162673%
120000,399,16,0.574406518578236%,0.028913224185912%
130000,1643,17,2.36528799504772%,0.0307203006975315%
140000,1643,17,2.36528799504772%,0.0307203006975315%
150000,1644,18,2.36672761038251%,0.032527377209151%
160000,1647,19,2.37104645638685%,0.0343344537207705%
170000,1648,20,2.37248607172164%,0.03614153023239%
180000,1680,22,2.41855376243468%,0.039755683255629%
190000,1684,25,2.42431222377381%,0.0451769127904876%
200000,1684,25,2.42431222377381%,0.0451769127904876%
210000,1687,27,2.42863106977816%,0.0487910658137266%
220000,1714,30,2.46750068381728%,0.0542122953485851%
230000,1718,34,2.47325914515641%,0.0614406013950631%
240000,1718,34,2.47325914515641%,0.0614406013950631%
250000,1719,35,2.4746987604912%,0.0632476779066826%
260000,1720,36,2.47613837582598%,0.0650547544183021%
270000,1720,36,2.47613837582598%,0.0650547544183021%
280000,1722,37,2.47901760649554%,0.0668618309299216%
290000,1722,37,2.47901760649554%,0.0668618309299216%
300000,1733,38,2.49485337517815%,0.0686689074415411%
310000,1737,41,2.50061183651728%,0.0740901369763996%
320000,1740,43,2.50493068252163%,0.0777042899996386%
330000,1741,44,2.50637029785641%,0.0795113665112581%
340000,1745,47,2.51212875919554%,0.0849325960461166%
350000,1745,47,2.51212875919554%,0.0849325960461166%
360000,1745,47,2.51212875919554%,0.0849325960461166%
370000,1747,49,2.51500798986511%,0.0885467490693556%
380000,1755,52,2.52652491254337%,0.0939679786042141%
390000,1755,52,2.52652491254337%,0.0939679786042141%
400000,1755,52,2.52652491254337%,0.0939679786042141%
410000,1756,53,2.52796452787815%,0.0957750551158336%
420000,1757,54,2.52940414321293%,0.0975821316274531%
430000,1758,55,2.53084375854772%,0.0993892081390726%
440000,1760,57,2.53372298921728%,0.103003361162312%
450000,1763,59,2.53804183522163%,0.106617514185551%
460000,1763,59,2.53804183522163%,0.106617514185551%
470000,1763,59,2.53804183522163%,0.106617514185551%
480000,1765,61,2.54092106589119%,0.11023166720879%
490000,1765,61,2.54092106589119%,0.11023166720879%
500000,1766,62,2.54236068122598%,0.112038743720409%
510000,1766,62,2.54236068122598%,0.112038743720409%
520000,1766,62,2.54236068122598%,0.112038743720409%
530000,1767,63,2.54380029656076%,0.113845820232029%
540000,1767,63,2.54380029656076%,0.113845820232029%
550000,1768,64,2.54523991189554%,0.115652896743648%
560000,1770,66,2.54811914256511%,0.119267049766887%
570000,1772,68,2.55099837323467%,0.122881202790126%
580000,1773,69,2.55243798856945%,0.124688279301746%
590000,1774,70,2.55387760390424%,0.126495355813365%
600000,1775,71,2.55531721923902%,0.128302432324985%
610000,1775,71,2.55531721923902%,0.128302432324985%
620000,1777,73,2.55819644990858%,0.131916585348224%
630000,1777,73,2.55819644990858%,0.131916585348224%
640000,1782,75,2.5653945265825%,0.135530738371463%
650000,1783,76,2.56683414191728%,0.137337814883082%
660000,1789,79,2.57547183392597%,0.142759044417941%
670000,1791,81,2.57835106459554%,0.14637319744118%
680000,1791,81,2.57835106459554%,0.14637319744118%
690000,1793,83,2.5812302952651%,0.149987350464419%
700000,1800,85,2.59130760260858%,0.153601503487658%
710000,1802,87,2.59418683327815%,0.157215656510897%
720000,1804,89,2.59706606394771%,0.160829809534136%
730000,1804,89,2.59706606394771%,0.160829809534136%
740000,1806,91,2.59994529461728%,0.164443962557375%
750000,1807,92,2.60138490995206%,0.166251039068994%
760000,1818,96,2.61722067863467%,0.173479345115472%
770000,1818,96,2.61722067863467%,0.173479345115472%
780000,1818,96,2.61722067863467%,0.173479345115472%
790000,1819,97,2.61866029396945%,0.175286421627092%
800000,1828,99,2.63161683198249%,0.178900574650331%
810000,1828,99,2.63161683198249%,0.178900574650331%
820000,1830,100,2.63449606265206%,0.18070765116195%
830000,1832,101,2.63737529332162%,0.18251472767357%
840000,1835,103,2.64169413932597%,0.186128880696809%
850000,1836,104,2.64313375466075%,0.187935957208428%
860000,1837,105,2.64457336999554%,0.189743033720048%
870000,1838,106,2.64601298533032%,0.191550110231667%
880000,1840,108,2.64889221599989%,0.195164263254906%
890000,1845,110,2.6560902926738%,0.198778416278145%
900000,1845,110,2.6560902926738%,0.198778416278145%
910000,1846,111,2.65752990800858%,0.200585492789765%
920000,1849,114,2.66184875401293%,0.206006722324623%
930000,1852,117,2.66616760001728%,0.211427951859482%
940000,1853,118,2.66760721535206%,0.213235028371101%
950000,1854,119,2.66904683068684%,0.215042104882721%
960000,1855,120,2.67048644602162%,0.21684918139434%
970000,1856,121,2.67192606135641%,0.21865625790596%
980000,1857,122,2.67336567669119%,0.220463334417579%
990000,1862,126,2.6805637533651%,0.227691640464057%
1000000,1864,128,2.68344298403467%,0.231305793487296%
1010000,1866,130,2.68632221470423%,0.234919946510535%
1020000,1869,133,2.69064106070858%,0.240341176045394%
1030000,1870,134,2.69208067604336%,0.242148252557013%
1040000,1872,135,2.69495990671293%,0.243955329068633%
1050000,1874,136,2.69783913738249%,0.245762405580252%
1060000,1875,137,2.69927875271727%,0.247569482091872%
1070000,1876,138,2.70071836805206%,0.249376558603491%
1080000,1877,139,2.70215798338684%,0.251183635115111%
1090000,1877,139,2.70215798338684%,0.251183635115111%
1100000,1878,140,2.70359759872162%,0.25299071162673%
1110000,1879,141,2.7050372140564%,0.25479778813835%
1120000,1881,143,2.70791644472597%,0.258411941161589%
1130000,1882,144,2.70935606006075%,0.260219017673208%
1140000,1883,145,2.71079567539553%,0.262026094184828%
1150000,1901,146,2.73670875142162%,0.263833170696447%
1160000,1902,147,2.7381483667564%,0.265640247208067%
1170000,1904,148,2.74102759742597%,0.267447323719686%
1180000,1904,148,2.74102759742597%,0.267447323719686%
1190000,1904,148,2.74102759742597%,0.267447323719686%
1200000,1944,150,2.79861221081727%,0.271061476742925%
1210000,1945,151,2.80005182615205%,0.272868553254545%
1220000,1945,151,2.80005182615205%,0.272868553254545%
1230000,1948,153,2.8043706721564%,0.276482706277784%
1240000,1949,154,2.80581028749118%,0.278289782789403%
1250000,1954,156,2.81300836416509%,0.281903935812642%
1260000,1959,159,2.82020644083901%,0.287325165347501%
1270000,1959,159,2.82020644083901%,0.287325165347501%
1280000,1959,159,2.82020644083901%,0.287325165347501%
1290000,1960,160,2.82164605617379%,0.28913224185912%
1300000,1962,161,2.82452528684336%,0.29093931837074%
1310000,1963,162,2.82596490217814%,0.292746394882359%
1320000,1963,162,2.82596490217814%,0.292746394882359%
1330000,1963,162,2.82596490217814%,0.292746394882359%
1340000,1964,163,2.82740451751292%,0.294553471393979%
1350000,1964,163,2.82740451751292%,0.294553471393979%
1360000,1965,164,2.8288441328477%,0.296360547905598%
1370000,1965,164,2.8288441328477%,0.296360547905598%
1380000,1966,165,2.83028374818249%,0.298167624417218%
1390000,1966,165,2.83028374818249%,0.298167624417218%
1400000,1968,167,2.83316297885205%,0.301781777440457%
1410000,1968,167,2.83316297885205%,0.301781777440457%
1420000,1968,167,2.83316297885205%,0.301781777440457%
1430000,1968,167,2.83316297885205%,0.301781777440457%
1440000,1970,169,2.83604220952162%,0.305395930463696%
1450000,1970,169,2.83604220952162%,0.305395930463696%
1460000,1972,171,2.83892144019118%,0.309010083486935%
1470000,1973,172,2.84036105552596%,0.310817159998554%
1480000,1974,173,2.84180067086075%,0.312624236510174%
1490000,1976,175,2.84467990153031%,0.316238389533413%
1500000,1976,175,2.84467990153031%,0.316238389533413%
1510000,1977,176,2.84611951686509%,0.318045466045032%
1520000,1979,178,2.84899874753466%,0.321659619068271%
1530000,1979,178,2.84899874753466%,0.321659619068271%
1540000,1981,180,2.85187797820422%,0.32527377209151%
1550000,1981,180,2.85187797820422%,0.32527377209151%
1560000,1981,180,2.85187797820422%,0.32527377209151%
1570000,1981,180,2.85187797820422%,0.32527377209151%
1580000,1982,181,2.85331759353901%,0.32708084860313%
1590000,1982,181,2.85331759353901%,0.32708084860313%
1600000,1983,182,2.85475720887379%,0.328887925114749%
1610000,1984,183,2.85619682420857%,0.330695001626369%
1620000,1989,187,2.86339490088248%,0.337923307672847%
1630000,1989,187,2.86339490088248%,0.337923307672847%
1640000,1991,189,2.86627413155205%,0.341537460696086%
1650000,1992,190,2.86771374688683%,0.343344537207705%
1660000,1994,192,2.8705929775564%,0.346958690230944%
1670000,1994,192,2.8705929775564%,0.346958690230944%
1680000,1996,193,2.87347220822596%,0.348765766742564%
1690000,1999,194,2.87779105423031%,0.350572843254183%
1700000,1999,194,2.87779105423031%,0.350572843254183%
1710000,2000,195,2.87923066956509%,0.352379919765803%
1720000,2003,197,2.88354951556944%,0.355994072789042%
1730000,2004,198,2.88498913090422%,0.357801149300661%
1740000,2004,198,2.88498913090422%,0.357801149300661%
1750000,2006,199,2.88786836157379%,0.359608225812281%
1760000,2007,200,2.88930797690857%,0.3614153023239%
1770000,2007,200,2.88930797690857%,0.3614153023239%
1780000,2007,200,2.88930797690857%,0.3614153023239%
1790000,2010,203,2.89362682291292%,0.366836531858759%
1800000,2010,203,2.89362682291292%,0.366836531858759%
1810000,2010,203,2.89362682291292%,0.366836531858759%
1820000,2012,205,2.89650605358248%,0.370450684881998%
1830000,2012,205,2.89650605358248%,0.370450684881998%
1840000,2013,206,2.89794566891727%,0.372257761393617%
1850000,2015,208,2.90082489958683%,0.375871914416856%
1860000,2016,209,2.90226451492161%,0.377678990928476%
1870000,2017,210,2.9037041302564%,0.379486067440095%
1880000,2017,210,2.9037041302564%,0.379486067440095%
1890000,2018,211,2.90514374559118%,0.381293143951715%
1900000,2022,213,2.91090220693031%,0.384907296974954%
1910000,2022,213,2.91090220693031%,0.384907296974954%
1920000,2022,213,2.91090220693031%,0.384907296974954%
1930000,2022,213,2.91090220693031%,0.384907296974954%
1940000,2022,213,2.91090220693031%,0.384907296974954%
1950000,2023,214,2.91234182226509%,0.386714373486573%
1960000,2023,214,2.91234182226509%,0.386714373486573%
1970000,2023,214,2.91234182226509%,0.386714373486573%
1980000,2027,215,2.91810028360422%,0.388521449998193%
1990000,2028,216,2.919539898939%,0.390328526509812%
2000000,2034,218,2.9281775909477%,0.393942679533051%
2010000,2035,219,2.92961720628248%,0.395749756044671%
2020000,2037,221,2.93249643695205%,0.39936390906791%
2030000,2037,221,2.93249643695205%,0.39936390906791%
2040000,2038,222,2.93393605228683%,0.401170985579529%
2050000,2042,225,2.93969451362596%,0.406592215114388%
2060000,2042,225,2.93969451362596%,0.406592215114388%
2070000,2048,228,2.94833220563465%,0.412013444649246%
2080000,2059,229,2.96416797431726%,0.413820521160866%
2090000,2063,231,2.96992643565639%,0.417434674184105%
2100000,2063,231,2.96992643565639%,0.417434674184105%
2110000,2065,233,2.97280566632596%,0.421048827207344%
2120000,2066,234,2.97424528166074%,0.422855903718963%
2130000,2066,234,2.97424528166074%,0.422855903718963%
2140000,2070,236,2.98000374299987%,0.426470056742203%
2150000,2071,237,2.98144335833465%,0.428277133253822%
2160000,2072,238,2.98288297366944%,0.430084209765441%
2170000,2072,238,2.98288297366944%,0.430084209765441%
2180000,2073,239,2.98432258900422%,0.431891286277061%
2190000,2076,242,2.98864143500857%,0.437312515811919%
2200000,2077,243,2.99008105034335%,0.439119592323539%
2210000,2077,243,2.99008105034335%,0.439119592323539%
2220000,2077,243,2.99008105034335%,0.439119592323539%
2230000,2080,246,2.9943998963477%,0.444540821858397%
2240000,2081,247,2.99583951168248%,0.446347898370017%
2250000,2082,248,2.99727912701726%,0.448154974881637%
2260000,2083,249,2.99871874235204%,0.449962051393256%
2270000,2084,250,3.00015835768683%,0.451769127904876%
2280000,2084,250,3.00015835768683%,0.451769127904876%
2290000,2084,250,3.00015835768683%,0.451769127904876%
2300000,2086,252,3.00303758835639%,0.455383280928114%
2310000,2088,254,3.00591681902596%,0.458997433951353%
2320000,2089,255,3.00735643436074%,0.460804510462973%
2330000,2096,257,3.01743374170422%,0.464418663486212%
2340000,2096,257,3.01743374170422%,0.464418663486212%
2350000,2096,257,3.01743374170422%,0.464418663486212%
2360000,2096,257,3.01743374170422%,0.464418663486212%
2370000,2098,258,3.02031297237378%,0.466225739997831%
2380000,2103,262,3.02751104904769%,0.473454046044309%
2390000,2105,264,3.03039027971726%,0.477068199067548%
2400000,2105,264,3.03039027971726%,0.477068199067548%
2410000,2105,264,3.03039027971726%,0.477068199067548%
2420000,2107,266,3.03326951038682%,0.480682352090788%
2430000,2114,267,3.0433468177303%,0.482489428602407%
2440000,2115,268,3.04478643306508%,0.484296505114027%
2450000,2116,269,3.04622604839987%,0.486103581625646%
2460000,2116,269,3.04622604839987%,0.486103581625646%
2470000,2117,270,3.04766566373465%,0.487910658137266%
