Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,21136,51,0.324461555158848%,0.00171884078681117%
20000,21645,110,0.332275282050211%,0.00370730365782801%
30000,21907,147,0.336297278996257%,0.00495430579727924%
40000,22076,186,0.33889162053779%,0.0062687134577819%
50000,22220,231,0.341102183744777%,0.00778533768143881%
60000,22516,274,0.345646119225806%,0.0092345563840443%
70000,22642,311,0.347580362031919%,0.0104815585234955%
80000,22908,350,0.351663763511492%,0.0117959661839982%
90000,22991,386,0.352937907582186%,0.0130092655629237%
100000,23051,413,0.353858975585097%,0.0139192400971179%
110000,23200,457,0.356146294458993%,0.0154021615602491%
120000,23432,501,0.359707757403583%,0.0168850830233803%
130000,24463,539,0.375534775920274%,0.0181657879233572%
140000,24529,569,0.376547950723476%,0.0191768707391285%
150000,26171,606,0.401754511736479%,0.0204238728785797%
160000,26299,650,0.403719456809356%,0.0219067943417109%
170000,26419,695,0.405561592815178%,0.0234234185653679%
180000,26536,728,0.407357675420855%,0.0245356096627163%
190000,26661,764,0.409276567093587%,0.0257489090416418%
200000,26770,796,0.410949840632209%,0.0268273973784645%
210000,26885,825,0.412715220971122%,0.02780477743371%
220000,27005,852,0.414557356976944%,0.0287147519679042%
230000,27146,890,0.416721866783786%,0.0299954568678811%
240000,27330,923,0.419546475326047%,0.0311076479652295%
250000,27509,973,0.422294328201398%,0.032792785991515%
260000,27604,1002,0.423752685872674%,0.0337701660467606%
270000,27778,1040,0.426423783081117%,0.0350508709467375%
280000,27972,1069,0.429401902957196%,0.0360282510019831%
290000,28055,1100,0.43067604702789%,0.0370730365782801%
300000,28576,1135,0.438673987519836%,0.0382526331966799%
310000,28914,1163,0.443862670602902%,0.0391963104913997%
320000,29042,1189,0.445827615675779%,0.0400725822650682%
330000,29840,1217,0.458077820114498%,0.041016259559788%
340000,30033,1253,0.461040588857196%,0.0422295589387136%
350000,30162,1286,0.463020885063455%,0.043341750036062%
360000,30290,1326,0.464985830136332%,0.0446898604570903%
370000,30401,1355,0.466689805941718%,0.0456672405123359%
380000,30542,1390,0.468854315748559%,0.0468468371307357%
390000,30766,1430,0.472292969626094%,0.0481949475517641%
400000,30937,1473,0.474918013434391%,0.0496441662543696%
410000,31118,1497,0.477696568576506%,0.0504530325069866%
420000,33021,1534,0.506909775402173%,0.0517000346464378%
430000,33101,1567,0.508137866072721%,0.0528122257437862%
440000,33164,1598,0.509104987475778%,0.0538570113200832%
450000,33223,1625,0.510010704345307%,0.0547669858542774%
460000,33322,1655,0.511530466550111%,0.0557780686700486%
470000,33525,1689,0.514646746626627%,0.0569239625279227%
480000,33647,1731,0.516519584899213%,0.0583394784700025%
490000,33804,1765,0.518929712840164%,0.0594853723278766%
500000,33881,1790,0.520111750110567%,0.0603279413410194%
510000,33957,1821,0.521278436247587%,0.0613727269173164%
520000,34023,1853,0.52229161105079%,0.062451215254139%
530000,34150,1887,0.524241204990285%,0.0635971091120131%
540000,34333,1924,0.527050462399164%,0.0648441112514644%
550000,34441,1952,0.528708384804404%,0.0657877885461842%
560000,34551,1988,0.530397009476408%,0.0670010879251098%
570000,34630,2020,0.531609749013575%,0.0680795762619325%
580000,34709,2049,0.532822488550741%,0.069056956317178%
590000,34803,2079,0.534265495088635%,0.0700680391329493%
600000,34975,2111,0.536905890030314%,0.071146527469772%
610000,35051,2126,0.538072576167335%,0.0716520688776576%
620000,35116,2155,0.539070399837155%,0.0726294489329032%
630000,35277,2184,0.541541932311634%,0.0736068289881488%
640000,35513,2229,0.545164799789751%,0.0751234532118057%
650000,35616,2267,0.546745966528082%,0.0764041581117826%
660000,35725,2298,0.548419240066704%,0.0774489436880796%
670000,35927,2330,0.551520169009838%,0.0785274320249023%
680000,36116,2364,0.554421533219008%,0.0796733258827764%
690000,36541,2398,0.560945764906296%,0.0808192197406505%
700000,36663,2437,0.562818603178882%,0.0821336274011532%
710000,36873,2479,0.566042341189071%,0.083549143343233%
720000,37044,2510,0.568667384997368%,0.0845939289195299%
730000,37102,2538,0.569557750733516%,0.0855376062142498%
740000,37214,2576,0.571277077672283%,0.0868183111142267%
750000,37314,2605,0.572812191010468%,0.0877956911694723%
760000,37439,2647,0.5747310826832%,0.0892112071115521%
770000,37503,2677,0.575713555219639%,0.0902222899273234%
780000,37647,2709,0.577924118426626%,0.0913007782641461%
