Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,6,1,0.272108843537415%,0.0508388408744281%
20000,6,1,0.272108843537415%,0.0508388408744281%
30000,6,1,0.272108843537415%,0.0508388408744281%
40000,6,1,0.272108843537415%,0.0508388408744281%
50000,6,1,0.272108843537415%,0.0508388408744281%
60000,6,1,0.272108843537415%,0.0508388408744281%
70000,6,1,0.272108843537415%,0.0508388408744281%
80000,6,1,0.272108843537415%,0.0508388408744281%
90000,6,1,0.272108843537415%,0.0508388408744281%
100000,6,1,0.272108843537415%,0.0508388408744281%
110000,6,1,0.272108843537415%,0.0508388408744281%
120000,6,1,0.272108843537415%,0.0508388408744281%
130000,6,1,0.272108843537415%,0.0508388408744281%
140000,6,1,0.272108843537415%,0.0508388408744281%
150000,6,1,0.272108843537415%,0.0508388408744281%
160000,8,2,0.36281179138322%,0.101677681748856%
170000,8,2,0.36281179138322%,0.101677681748856%
180000,8,2,0.36281179138322%,0.101677681748856%
190000,8,2,0.36281179138322%,0.101677681748856%
200000,8,2,0.36281179138322%,0.101677681748856%
210000,8,2,0.36281179138322%,0.101677681748856%
220000,9,3,0.408163265306122%,0.152516522623284%
230000,9,3,0.408163265306122%,0.152516522623284%
240000,9,3,0.408163265306122%,0.152516522623284%
250000,9,3,0.408163265306122%,0.152516522623284%
260000,9,3,0.408163265306122%,0.152516522623284%
270000,9,3,0.408163265306122%,0.152516522623284%
280000,9,3,0.408163265306122%,0.152516522623284%
290000,9,3,0.408163265306122%,0.152516522623284%
300000,10,4,0.453514739229025%,0.203355363497712%
310000,10,4,0.453514739229025%,0.203355363497712%
320000,10,4,0.453514739229025%,0.203355363497712%
330000,10,4,0.453514739229025%,0.203355363497712%
340000,10,4,0.453514739229025%,0.203355363497712%
350000,10,4,0.453514739229025%,0.203355363497712%
360000,10,4,0.453514739229025%,0.203355363497712%
370000,10,4,0.453514739229025%,0.203355363497712%
380000,10,4,0.453514739229025%,0.203355363497712%
390000,10,4,0.453514739229025%,0.203355363497712%
400000,10,4,0.453514739229025%,0.203355363497712%
410000,10,4,0.453514739229025%,0.203355363497712%
420000,10,4,0.453514739229025%,0.203355363497712%
430000,10,4,0.453514739229025%,0.203355363497712%
440000,10,4,0.453514739229025%,0.203355363497712%
450000,10,4,0.453514739229025%,0.203355363497712%
460000,10,4,0.453514739229025%,0.203355363497712%
470000,10,4,0.453514739229025%,0.203355363497712%
480000,10,4,0.453514739229025%,0.203355363497712%
490000,10,4,0.453514739229025%,0.203355363497712%
500000,10,4,0.453514739229025%,0.203355363497712%
510000,10,4,0.453514739229025%,0.203355363497712%
520000,10,4,0.453514739229025%,0.203355363497712%
530000,10,4,0.453514739229025%,0.203355363497712%
540000,10,4,0.453514739229025%,0.203355363497712%
550000,10,4,0.453514739229025%,0.203355363497712%
560000,10,4,0.453514739229025%,0.203355363497712%
570000,10,4,0.453514739229025%,0.203355363497712%
580000,10,4,0.453514739229025%,0.203355363497712%
590000,10,4,0.453514739229025%,0.203355363497712%
600000,10,4,0.453514739229025%,0.203355363497712%
610000,10,4,0.453514739229025%,0.203355363497712%
620000,10,4,0.453514739229025%,0.203355363497712%
630000,10,4,0.453514739229025%,0.203355363497712%
640000,10,4,0.453514739229025%,0.203355363497712%
650000,10,4,0.453514739229025%,0.203355363497712%
660000,10,4,0.453514739229025%,0.203355363497712%
670000,10,4,0.453514739229025%,0.203355363497712%
680000,10,4,0.453514739229025%,0.203355363497712%
690000,10,4,0.453514739229025%,0.203355363497712%
700000,10,4,0.453514739229025%,0.203355363497712%
710000,10,4,0.453514739229025%,0.203355363497712%
720000,10,4,0.453514739229025%,0.203355363497712%
730000,11,5,0.498866213151927%,0.25419420437214%
740000,11,5,0.498866213151927%,0.25419420437214%
750000,11,5,0.498866213151927%,0.25419420437214%
760000,11,5,0.498866213151927%,0.25419420437214%
770000,11,5,0.498866213151927%,0.25419420437214%
780000,11,5,0.498866213151927%,0.25419420437214%
790000,11,5,0.498866213151927%,0.25419420437214%
800000,11,5,0.498866213151927%,0.25419420437214%
810000,11,5,0.498866213151927%,0.25419420437214%
820000,11,5,0.498866213151927%,0.25419420437214%
830000,11,5,0.498866213151927%,0.25419420437214%
840000,11,5,0.498866213151927%,0.25419420437214%
850000,11,5,0.498866213151927%,0.25419420437214%
860000,11,5,0.498866213151927%,0.25419420437214%
870000,11,5,0.498866213151927%,0.25419420437214%
880000,11,5,0.498866213151927%,0.25419420437214%
890000,13,6,0.589569160997732%,0.305033045246568%
