Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,8,2,0.36281179138322%,0.101677681748856%
20000,8,2,0.36281179138322%,0.101677681748856%
30000,8,2,0.36281179138322%,0.101677681748856%
40000,8,2,0.36281179138322%,0.101677681748856%
50000,8,2,0.36281179138322%,0.101677681748856%
60000,8,2,0.36281179138322%,0.101677681748856%
70000,8,2,0.36281179138322%,0.101677681748856%
80000,8,2,0.36281179138322%,0.101677681748856%
90000,8,2,0.36281179138322%,0.101677681748856%
100000,8,2,0.36281179138322%,0.101677681748856%
110000,8,2,0.36281179138322%,0.101677681748856%
120000,8,2,0.36281179138322%,0.101677681748856%
130000,8,2,0.36281179138322%,0.101677681748856%
140000,10,3,0.453514739229025%,0.152516522623284%
150000,10,3,0.453514739229025%,0.152516522623284%
160000,10,3,0.453514739229025%,0.152516522623284%
170000,10,3,0.453514739229025%,0.152516522623284%
180000,10,3,0.453514739229025%,0.152516522623284%
190000,10,3,0.453514739229025%,0.152516522623284%
200000,10,3,0.453514739229025%,0.152516522623284%
210000,10,3,0.453514739229025%,0.152516522623284%
220000,10,3,0.453514739229025%,0.152516522623284%
230000,10,3,0.453514739229025%,0.152516522623284%
240000,10,3,0.453514739229025%,0.152516522623284%
250000,10,3,0.453514739229025%,0.152516522623284%
260000,10,3,0.453514739229025%,0.152516522623284%
270000,11,4,0.498866213151927%,0.203355363497712%
280000,11,4,0.498866213151927%,0.203355363497712%
290000,12,5,0.54421768707483%,0.25419420437214%
300000,12,5,0.54421768707483%,0.25419420437214%
310000,13,6,0.589569160997732%,0.305033045246568%
320000,13,6,0.589569160997732%,0.305033045246568%
330000,13,6,0.589569160997732%,0.305033045246568%
340000,13,6,0.589569160997732%,0.305033045246568%
350000,13,6,0.589569160997732%,0.305033045246568%
360000,14,7,0.634920634920635%,0.355871886120996%
370000,14,7,0.634920634920635%,0.355871886120996%
380000,14,7,0.634920634920635%,0.355871886120996%
390000,15,8,0.680272108843537%,0.406710726995424%
400000,15,8,0.680272108843537%,0.406710726995424%
410000,15,8,0.680272108843537%,0.406710726995424%
420000,15,8,0.680272108843537%,0.406710726995424%
430000,15,8,0.680272108843537%,0.406710726995424%
440000,16,9,0.72562358276644%,0.457549567869853%
450000,20,10,0.90702947845805%,0.508388408744281%
460000,20,10,0.90702947845805%,0.508388408744281%
470000,20,10,0.90702947845805%,0.508388408744281%
480000,26,11,1.17913832199546%,0.559227249618709%
490000,26,11,1.17913832199546%,0.559227249618709%
500000,27,12,1.22448979591837%,0.610066090493137%
510000,27,12,1.22448979591837%,0.610066090493137%
520000,27,12,1.22448979591837%,0.610066090493137%
530000,27,12,1.22448979591837%,0.610066090493137%
540000,32,13,1.45124716553288%,0.660904931367565%
550000,32,13,1.45124716553288%,0.660904931367565%
560000,47,14,2.13151927437642%,0.711743772241993%
570000,47,14,2.13151927437642%,0.711743772241993%
580000,47,14,2.13151927437642%,0.711743772241993%
590000,47,14,2.13151927437642%,0.711743772241993%
600000,47,14,2.13151927437642%,0.711743772241993%
610000,47,14,2.13151927437642%,0.711743772241993%
620000,47,14,2.13151927437642%,0.711743772241993%
630000,48,15,2.17687074829932%,0.762582613116421%
640000,51,16,2.31292517006803%,0.813421453990849%
650000,51,16,2.31292517006803%,0.813421453990849%
660000,51,16,2.31292517006803%,0.813421453990849%
670000,51,16,2.31292517006803%,0.813421453990849%
680000,51,16,2.31292517006803%,0.813421453990849%
690000,53,17,2.40362811791383%,0.864260294865277%
700000,53,17,2.40362811791383%,0.864260294865277%
710000,53,17,2.40362811791383%,0.864260294865277%
720000,53,17,2.40362811791383%,0.864260294865277%
730000,53,17,2.40362811791383%,0.864260294865277%
740000,54,18,2.44897959183673%,0.915099135739705%
750000,54,18,2.44897959183673%,0.915099135739705%
760000,54,18,2.44897959183673%,0.915099135739705%
770000,54,18,2.44897959183673%,0.915099135739705%
780000,55,19,2.49433106575964%,0.965937976614133%
790000,55,19,2.49433106575964%,0.965937976614133%
800000,55,19,2.49433106575964%,0.965937976614133%
810000,55,19,2.49433106575964%,0.965937976614133%
820000,55,19,2.49433106575964%,0.965937976614133%
830000,55,19,2.49433106575964%,0.965937976614133%
840000,56,20,2.53968253968254%,1.01677681748856%
850000,56,20,2.53968253968254%,1.01677681748856%
860000,56,20,2.53968253968254%,1.01677681748856%
870000,56,20,2.53968253968254%,1.01677681748856%
880000,56,20,2.53968253968254%,1.01677681748856%
890000,56,20,2.53968253968254%,1.01677681748856%
900000,56,20,2.53968253968254%,1.01677681748856%
910000,58,21,2.63038548752834%,1.06761565836299%
920000,58,21,2.63038548752834%,1.06761565836299%
930000,58,21,2.63038548752834%,1.06761565836299%
940000,58,21,2.63038548752834%,1.06761565836299%
950000,58,21,2.63038548752834%,1.06761565836299%
