Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,0,0,0%,0%
240000,0,0,0%,0%
250000,0,0,0%,0%
260000,0,0,0%,0%
270000,0,0,0%,0%
280000,0,0,0%,0%
290000,0,0,0%,0%
300000,0,0,0%,0%
310000,0,0,0%,0%
320000,0,0,0%,0%
330000,0,0,0%,0%
340000,0,0,0%,0%
350000,0,0,0%,0%
360000,0,0,0%,0%
370000,0,0,0%,0%
380000,0,0,0%,0%
390000,0,0,0%,0%
400000,0,0,0%,0%
410000,0,0,0%,0%
420000,0,0,0%,0%
430000,0,0,0%,0%
440000,0,0,0%,0%
450000,0,0,0%,0%
460000,0,0,0%,0%
470000,0,0,0%,0%
480000,0,0,0%,0%
490000,0,0,0%,0%
500000,0,0,0%,0%
510000,0,0,0%,0%
520000,0,0,0%,0%
530000,0,0,0%,0%
540000,0,0,0%,0%
550000,0,0,0%,0%
560000,0,0,0%,0%
570000,0,0,0%,0%
580000,0,0,0%,0%
590000,0,0,0%,0%
600000,0,0,0%,0%
610000,1,1,0.0453514739229025%,0.0508388408744281%
620000,1,1,0.0453514739229025%,0.0508388408744281%
630000,1,1,0.0453514739229025%,0.0508388408744281%
640000,1,1,0.0453514739229025%,0.0508388408744281%
650000,1,1,0.0453514739229025%,0.0508388408744281%
660000,1,1,0.0453514739229025%,0.0508388408744281%
670000,1,1,0.0453514739229025%,0.0508388408744281%
680000,1,1,0.0453514739229025%,0.0508388408744281%
690000,1,1,0.0453514739229025%,0.0508388408744281%
700000,1,1,0.0453514739229025%,0.0508388408744281%
710000,1,1,0.0453514739229025%,0.0508388408744281%
720000,1,1,0.0453514739229025%,0.0508388408744281%
730000,1,1,0.0453514739229025%,0.0508388408744281%
