Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,0,0,0%,0%
240000,0,0,0%,0%
250000,0,0,0%,0%
260000,0,0,0%,0%
270000,0,0,0%,0%
280000,0,0,0%,0%
290000,0,0,0%,0%
300000,0,0,0%,0%
310000,0,0,0%,0%
320000,0,0,0%,0%
330000,0,0,0%,0%
340000,0,0,0%,0%
350000,0,0,0%,0%
360000,0,0,0%,0%
370000,0,0,0%,0%
380000,0,0,0%,0%
390000,0,0,0%,0%
400000,0,0,0%,0%
410000,0,0,0%,0%
420000,0,0,0%,0%
430000,0,0,0%,0%
440000,0,0,0%,0%
450000,0,0,0%,0%
460000,0,0,0%,0%
470000,0,0,0%,0%
480000,0,0,0%,0%
490000,0,0,0%,0%
500000,0,0,0%,0%
510000,0,0,0%,0%
520000,0,0,0%,0%
530000,0,0,0%,0%
540000,0,0,0%,0%
550000,0,0,0%,0%
560000,0,0,0%,0%
570000,0,0,0%,0%
580000,0,0,0%,0%
590000,0,0,0%,0%
600000,0,0,0%,0%
610000,0,0,0%,0%
620000,0,0,0%,0%
630000,0,0,0%,0%
640000,0,0,0%,0%
650000,0,0,0%,0%
660000,0,0,0%,0%
670000,0,0,0%,0%
680000,1,1,0.0120510966497951%,0.0134138162307176%
690000,1,1,0.0120510966497951%,0.0134138162307176%
700000,1,1,0.0120510966497951%,0.0134138162307176%
710000,1,1,0.0120510966497951%,0.0134138162307176%
720000,1,1,0.0120510966497951%,0.0134138162307176%
730000,1,1,0.0120510966497951%,0.0134138162307176%
740000,1,1,0.0120510966497951%,0.0134138162307176%
750000,3,2,0.0361532899493854%,0.0268276324614353%
760000,3,2,0.0361532899493854%,0.0268276324614353%
770000,3,2,0.0361532899493854%,0.0268276324614353%
