Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,159,27,0.00244083020771465%,0.000909974534194147%
20000,197,46,0.00302417327622507%,0.00155032698418262%
30000,221,59,0.00339260047738955%,0.00198846287101684%
40000,495,83,0.00759881102401731%,0.00279732912363386%
50000,589,108,0.0090418175619115%,0.00363989813677659%
60000,651,135,0.0099935878315864%,0.00454987267097073%
70000,743,155,0.0114058921027169%,0.00522392788148492%
80000,821,175,0.0126032805065014%,0.0058979830919991%
90000,859,192,0.0131866235750119%,0.00647093002093616%
100000,900,215,0.0138160200436678%,0.00724609351302747%
110000,924,233,0.0141844472448323%,0.00785274320249023%
120000,969,254,0.0148752482470157%,0.00856050117353012%
130000,1190,283,0.0182678487244052%,0.00953788122877569%
140000,1236,304,0.0189740008599705%,0.0102456391998156%
150000,1257,323,0.0192963746609894%,0.0108859916498041%
160000,1336,347,0.0205091141981558%,0.0116948579024211%
170000,1374,369,0.0210924572666662%,0.0124363186339867%
180000,1407,389,0.0215990446682674%,0.0131103738445009%
190000,1458,417,0.0223819524707419%,0.0140540511392207%
200000,1519,434,0.0233183716070349%,0.0146269980681578%
210000,1576,467,0.0241933862098006%,0.0157391891655062%
220000,1662,483,0.0255135836806399%,0.0162784333339175%
230000,1688,500,0.0259127131485681%,0.0168513802628546%
240000,1786,513,0.0274171242199897%,0.0172895161496888%
250000,1884,539,0.0289215352914113%,0.0181657879233572%
260000,1928,561,0.0295969851602129%,0.0189072486549228%
270000,1968,584,0.030211030495487%,0.0196824121470141%
280000,2022,606,0.0310399916981071%,0.0204238728785797%
290000,2049,624,0.0314544722994171%,0.0210305225680425%
300000,2144,658,0.0329128299706931%,0.0221764164259166%
310000,2221,684,0.0340948672410958%,0.0230526881995851%
320000,2291,701,0.0351694465778256%,0.0236256351285221%
330000,2375,723,0.0364589417819012%,0.0243670958600877%
340000,2429,748,0.0372879029845213%,0.0252096648732304%
350000,2493,769,0.0382703755209599%,0.0259174228442703%
360000,2534,790,0.0388997719896159%,0.0266251808153102%
370000,2564,806,0.0393603059910715%,0.0271644249837216%
380000,2587,822,0.0397133820588541%,0.0277036691521329%
390000,2638,849,0.0404962898613286%,0.0286136436863271%
400000,3434,870,0.0527157920332837%,0.0293214016573669%
410000,3475,890,0.0533451885019397%,0.0299954568678811%
420000,3558,914,0.0546193325726335%,0.0308043231204982%
430000,3589,935,0.055095217707471%,0.031512081091538%
440000,3612,950,0.0554482937752536%,0.0320176224994237%
450000,3782,973,0.0580579864501686%,0.032792785991515%
460000,3813,989,0.0585338715850061%,0.0333320301599263%
470000,3891,1013,0.0597312599887906%,0.0341408964125434%
480000,3913,1026,0.0600689849231914%,0.0345790322993776%
490000,3945,1042,0.0605602211914107%,0.0351182764677889%
500000,3976,1058,0.0610361063262481%,0.0356575206362003%
510000,4016,1078,0.0616501516615222%,0.0363315758467145%
520000,4075,1099,0.0625558685310516%,0.0370393338177543%
530000,4117,1119,0.0632006161330894%,0.0377133890282685%
540000,4193,1145,0.0643673022701103%,0.038589660801937%
550000,4261,1162,0.0654111793400763%,0.039162607730874%
560000,4297,1187,0.065963820141823%,0.0400051767440167%
570000,4337,1205,0.0665778654770971%,0.0406118264334795%
580000,4373,1223,0.0671305062788438%,0.0412184761229423%
590000,4435,1248,0.0680822765485187%,0.042061045136085%
600000,4460,1267,0.0684660548830651%,0.0427013975860735%
610000,4484,1283,0.0688344820842295%,0.0432406417544848%
620000,4577,1306,0.0702621374887419%,0.0440158052465761%
630000,4605,1324,0.0706919692234338%,0.0446224549360389%
