Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,1,1,0.0194476857253987%,0.0236742424242424%
30000,1,1,0.0194476857253987%,0.0236742424242424%
40000,1,1,0.0194476857253987%,0.0236742424242424%
50000,1,1,0.0194476857253987%,0.0236742424242424%
60000,1,1,0.0194476857253987%,0.0236742424242424%
70000,1,1,0.0194476857253987%,0.0236742424242424%
80000,1,1,0.0194476857253987%,0.0236742424242424%
90000,1,1,0.0194476857253987%,0.0236742424242424%
100000,1,1,0.0194476857253987%,0.0236742424242424%
110000,1,1,0.0194476857253987%,0.0236742424242424%
120000,1,1,0.0194476857253987%,0.0236742424242424%
130000,1,1,0.0194476857253987%,0.0236742424242424%
140000,1,1,0.0194476857253987%,0.0236742424242424%
150000,1,1,0.0194476857253987%,0.0236742424242424%
160000,1,1,0.0194476857253987%,0.0236742424242424%
170000,1,1,0.0194476857253987%,0.0236742424242424%
180000,1,1,0.0194476857253987%,0.0236742424242424%
190000,1,1,0.0194476857253987%,0.0236742424242424%
200000,1,1,0.0194476857253987%,0.0236742424242424%
210000,1,1,0.0194476857253987%,0.0236742424242424%
220000,1,1,0.0194476857253987%,0.0236742424242424%
230000,1,1,0.0194476857253987%,0.0236742424242424%
240000,1,1,0.0194476857253987%,0.0236742424242424%
250000,1,1,0.0194476857253987%,0.0236742424242424%
260000,1,1,0.0194476857253987%,0.0236742424242424%
270000,1,1,0.0194476857253987%,0.0236742424242424%
280000,1,1,0.0194476857253987%,0.0236742424242424%
290000,1,1,0.0194476857253987%,0.0236742424242424%
300000,1,1,0.0194476857253987%,0.0236742424242424%
310000,1,1,0.0194476857253987%,0.0236742424242424%
320000,1,1,0.0194476857253987%,0.0236742424242424%
330000,1,1,0.0194476857253987%,0.0236742424242424%
340000,1,1,0.0194476857253987%,0.0236742424242424%
350000,1,1,0.0194476857253987%,0.0236742424242424%
360000,1,1,0.0194476857253987%,0.0236742424242424%
370000,2,2,0.0388953714507974%,0.0473484848484848%
380000,2,2,0.0388953714507974%,0.0473484848484848%
390000,2,2,0.0388953714507974%,0.0473484848484848%
400000,2,2,0.0388953714507974%,0.0473484848484848%
410000,2,2,0.0388953714507974%,0.0473484848484848%
420000,2,2,0.0388953714507974%,0.0473484848484848%
430000,3,3,0.058343057176196%,0.0710227272727273%
440000,3,3,0.058343057176196%,0.0710227272727273%
450000,49,4,0.952936600544535%,0.0946969696969697%
460000,49,4,0.952936600544535%,0.0946969696969697%
470000,49,4,0.952936600544535%,0.0946969696969697%
480000,49,4,0.952936600544535%,0.0946969696969697%
490000,49,4,0.952936600544535%,0.0946969696969697%
500000,49,4,0.952936600544535%,0.0946969696969697%
510000,49,4,0.952936600544535%,0.0946969696969697%
520000,49,4,0.952936600544535%,0.0946969696969697%
530000,49,4,0.952936600544535%,0.0946969696969697%
540000,50,5,0.972384286269934%,0.118371212121212%
550000,50,5,0.972384286269934%,0.118371212121212%
560000,50,5,0.972384286269934%,0.118371212121212%
570000,50,5,0.972384286269934%,0.118371212121212%
580000,50,5,0.972384286269934%,0.118371212121212%
590000,50,5,0.972384286269934%,0.118371212121212%
600000,51,6,0.991831971995333%,0.142045454545455%
610000,51,6,0.991831971995333%,0.142045454545455%
620000,51,6,0.991831971995333%,0.142045454545455%
630000,51,6,0.991831971995333%,0.142045454545455%
640000,51,6,0.991831971995333%,0.142045454545455%
650000,51,6,0.991831971995333%,0.142045454545455%
660000,51,6,0.991831971995333%,0.142045454545455%
670000,51,6,0.991831971995333%,0.142045454545455%
680000,51,6,0.991831971995333%,0.142045454545455%
690000,51,6,0.991831971995333%,0.142045454545455%
700000,51,6,0.991831971995333%,0.142045454545455%
710000,51,6,0.991831971995333%,0.142045454545455%
720000,51,6,0.991831971995333%,0.142045454545455%
730000,51,6,0.991831971995333%,0.142045454545455%
740000,51,6,0.991831971995333%,0.142045454545455%
750000,51,6,0.991831971995333%,0.142045454545455%
760000,51,6,0.991831971995333%,0.142045454545455%
770000,51,6,0.991831971995333%,0.142045454545455%
