Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,2,1,0.090702947845805%,0.0508388408744281%
240000,2,1,0.090702947845805%,0.0508388408744281%
250000,2,1,0.090702947845805%,0.0508388408744281%
260000,2,1,0.090702947845805%,0.0508388408744281%
270000,2,1,0.090702947845805%,0.0508388408744281%
280000,2,1,0.090702947845805%,0.0508388408744281%
290000,2,1,0.090702947845805%,0.0508388408744281%
300000,2,1,0.090702947845805%,0.0508388408744281%
310000,2,1,0.090702947845805%,0.0508388408744281%
320000,2,1,0.090702947845805%,0.0508388408744281%
330000,2,1,0.090702947845805%,0.0508388408744281%
340000,2,1,0.090702947845805%,0.0508388408744281%
350000,2,1,0.090702947845805%,0.0508388408744281%
360000,2,1,0.090702947845805%,0.0508388408744281%
370000,2,1,0.090702947845805%,0.0508388408744281%
380000,2,1,0.090702947845805%,0.0508388408744281%
390000,2,1,0.090702947845805%,0.0508388408744281%
400000,2,1,0.090702947845805%,0.0508388408744281%
410000,2,1,0.090702947845805%,0.0508388408744281%
420000,2,1,0.090702947845805%,0.0508388408744281%
430000,2,1,0.090702947845805%,0.0508388408744281%
440000,2,1,0.090702947845805%,0.0508388408744281%
450000,2,1,0.090702947845805%,0.0508388408744281%
460000,2,1,0.090702947845805%,0.0508388408744281%
470000,2,1,0.090702947845805%,0.0508388408744281%
480000,2,1,0.090702947845805%,0.0508388408744281%
490000,2,1,0.090702947845805%,0.0508388408744281%
500000,2,1,0.090702947845805%,0.0508388408744281%
510000,2,1,0.090702947845805%,0.0508388408744281%
520000,2,1,0.090702947845805%,0.0508388408744281%
530000,2,1,0.090702947845805%,0.0508388408744281%
540000,2,1,0.090702947845805%,0.0508388408744281%
550000,2,1,0.090702947845805%,0.0508388408744281%
