Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,1,1,0.0120510966497951%,0.0134138162307176%
30000,1,1,0.0120510966497951%,0.0134138162307176%
40000,1,1,0.0120510966497951%,0.0134138162307176%
50000,1,1,0.0120510966497951%,0.0134138162307176%
60000,3,2,0.0361532899493854%,0.0268276324614353%
70000,3,2,0.0361532899493854%,0.0268276324614353%
80000,3,2,0.0361532899493854%,0.0268276324614353%
90000,3,2,0.0361532899493854%,0.0268276324614353%
100000,3,2,0.0361532899493854%,0.0268276324614353%
110000,3,2,0.0361532899493854%,0.0268276324614353%
120000,3,2,0.0361532899493854%,0.0268276324614353%
130000,3,2,0.0361532899493854%,0.0268276324614353%
140000,3,2,0.0361532899493854%,0.0268276324614353%
150000,3,2,0.0361532899493854%,0.0268276324614353%
160000,3,2,0.0361532899493854%,0.0268276324614353%
170000,3,2,0.0361532899493854%,0.0268276324614353%
180000,4,3,0.0482043865991805%,0.0402414486921529%
190000,5,4,0.0602554832489757%,0.0536552649228706%
200000,5,4,0.0602554832489757%,0.0536552649228706%
210000,5,4,0.0602554832489757%,0.0536552649228706%
220000,7,6,0.0843576765485659%,0.0804828973843058%
230000,7,6,0.0843576765485659%,0.0804828973843058%
240000,7,6,0.0843576765485659%,0.0804828973843058%
250000,7,6,0.0843576765485659%,0.0804828973843058%
260000,7,6,0.0843576765485659%,0.0804828973843058%
270000,7,6,0.0843576765485659%,0.0804828973843058%
280000,7,6,0.0843576765485659%,0.0804828973843058%
290000,7,6,0.0843576765485659%,0.0804828973843058%
300000,7,6,0.0843576765485659%,0.0804828973843058%
310000,7,6,0.0843576765485659%,0.0804828973843058%
320000,7,6,0.0843576765485659%,0.0804828973843058%
330000,7,6,0.0843576765485659%,0.0804828973843058%
340000,7,6,0.0843576765485659%,0.0804828973843058%
350000,7,6,0.0843576765485659%,0.0804828973843058%
360000,7,6,0.0843576765485659%,0.0804828973843058%
370000,7,6,0.0843576765485659%,0.0804828973843058%
380000,7,6,0.0843576765485659%,0.0804828973843058%
390000,7,6,0.0843576765485659%,0.0804828973843058%
400000,7,6,0.0843576765485659%,0.0804828973843058%
410000,7,6,0.0843576765485659%,0.0804828973843058%
420000,7,6,0.0843576765485659%,0.0804828973843058%
430000,7,6,0.0843576765485659%,0.0804828973843058%
440000,7,6,0.0843576765485659%,0.0804828973843058%
450000,7,6,0.0843576765485659%,0.0804828973843058%
460000,7,6,0.0843576765485659%,0.0804828973843058%
470000,7,6,0.0843576765485659%,0.0804828973843058%
480000,7,6,0.0843576765485659%,0.0804828973843058%
490000,7,6,0.0843576765485659%,0.0804828973843058%
500000,7,6,0.0843576765485659%,0.0804828973843058%
510000,7,6,0.0843576765485659%,0.0804828973843058%
520000,7,6,0.0843576765485659%,0.0804828973843058%
530000,8,7,0.0964087731983611%,0.0938967136150235%
540000,8,7,0.0964087731983611%,0.0938967136150235%
550000,8,7,0.0964087731983611%,0.0938967136150235%
560000,8,7,0.0964087731983611%,0.0938967136150235%
570000,8,7,0.0964087731983611%,0.0938967136150235%
580000,8,7,0.0964087731983611%,0.0938967136150235%
590000,8,7,0.0964087731983611%,0.0938967136150235%
600000,8,7,0.0964087731983611%,0.0938967136150235%
610000,8,7,0.0964087731983611%,0.0938967136150235%
620000,8,7,0.0964087731983611%,0.0938967136150235%
630000,8,7,0.0964087731983611%,0.0938967136150235%
640000,8,7,0.0964087731983611%,0.0938967136150235%
650000,8,7,0.0964087731983611%,0.0938967136150235%
660000,8,7,0.0964087731983611%,0.0938967136150235%
670000,8,7,0.0964087731983611%,0.0938967136150235%
680000,12,8,0.144613159797542%,0.107310529845741%
690000,12,8,0.144613159797542%,0.107310529845741%
700000,12,8,0.144613159797542%,0.107310529845741%
710000,12,8,0.144613159797542%,0.107310529845741%
720000,12,8,0.144613159797542%,0.107310529845741%
730000,12,8,0.144613159797542%,0.107310529845741%
740000,12,8,0.144613159797542%,0.107310529845741%
750000,12,8,0.144613159797542%,0.107310529845741%
760000,12,8,0.144613159797542%,0.107310529845741%
770000,12,8,0.144613159797542%,0.107310529845741%
780000,12,8,0.144613159797542%,0.107310529845741%
790000,12,8,0.144613159797542%,0.107310529845741%
800000,12,8,0.144613159797542%,0.107310529845741%
810000,12,8,0.144613159797542%,0.107310529845741%
820000,12,8,0.144613159797542%,0.107310529845741%
830000,15,9,0.180766449746927%,0.120724346076459%
840000,15,9,0.180766449746927%,0.120724346076459%
850000,15,9,0.180766449746927%,0.120724346076459%
860000,15,9,0.180766449746927%,0.120724346076459%
870000,15,9,0.180766449746927%,0.120724346076459%
880000,15,9,0.180766449746927%,0.120724346076459%
890000,15,9,0.180766449746927%,0.120724346076459%
900000,15,9,0.180766449746927%,0.120724346076459%
910000,15,9,0.180766449746927%,0.120724346076459%
920000,15,9,0.180766449746927%,0.120724346076459%
930000,15,9,0.180766449746927%,0.120724346076459%
940000,15,9,0.180766449746927%,0.120724346076459%
950000,15,9,0.180766449746927%,0.120724346076459%
960000,15,9,0.180766449746927%,0.120724346076459%
970000,15,9,0.180766449746927%,0.120724346076459%
980000,15,9,0.180766449746927%,0.120724346076459%
990000,15,9,0.180766449746927%,0.120724346076459%
1000000,15,9,0.180766449746927%,0.120724346076459%
1010000,15,9,0.180766449746927%,0.120724346076459%
1020000,15,9,0.180766449746927%,0.120724346076459%
1030000,15,9,0.180766449746927%,0.120724346076459%
1040000,16,10,0.192817546396722%,0.134138162307176%
1050000,17,11,0.204868643046517%,0.147551978537894%
1060000,17,11,0.204868643046517%,0.147551978537894%
1070000,17,11,0.204868643046517%,0.147551978537894%
1080000,17,11,0.204868643046517%,0.147551978537894%
1090000,17,11,0.204868643046517%,0.147551978537894%
1100000,17,11,0.204868643046517%,0.147551978537894%
1110000,18,12,0.216919739696312%,0.160965794768612%
1120000,18,12,0.216919739696312%,0.160965794768612%
1130000,18,12,0.216919739696312%,0.160965794768612%
1140000,18,12,0.216919739696312%,0.160965794768612%
1150000,18,12,0.216919739696312%,0.160965794768612%
1160000,18,12,0.216919739696312%,0.160965794768612%
1170000,18,12,0.216919739696312%,0.160965794768612%
