Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,1,1,0.0453514739229025%,0.0508388408744281%
180000,1,1,0.0453514739229025%,0.0508388408744281%
190000,1,1,0.0453514739229025%,0.0508388408744281%
200000,2,2,0.090702947845805%,0.101677681748856%
210000,2,2,0.090702947845805%,0.101677681748856%
220000,2,2,0.090702947845805%,0.101677681748856%
230000,2,2,0.090702947845805%,0.101677681748856%
240000,2,2,0.090702947845805%,0.101677681748856%
250000,2,2,0.090702947845805%,0.101677681748856%
260000,2,2,0.090702947845805%,0.101677681748856%
270000,2,2,0.090702947845805%,0.101677681748856%
280000,2,2,0.090702947845805%,0.101677681748856%
290000,2,2,0.090702947845805%,0.101677681748856%
300000,2,2,0.090702947845805%,0.101677681748856%
310000,2,2,0.090702947845805%,0.101677681748856%
320000,2,2,0.090702947845805%,0.101677681748856%
330000,2,2,0.090702947845805%,0.101677681748856%
340000,2,2,0.090702947845805%,0.101677681748856%
350000,2,2,0.090702947845805%,0.101677681748856%
360000,2,2,0.090702947845805%,0.101677681748856%
370000,2,2,0.090702947845805%,0.101677681748856%
380000,2,2,0.090702947845805%,0.101677681748856%
390000,2,2,0.090702947845805%,0.101677681748856%
400000,2,2,0.090702947845805%,0.101677681748856%
410000,2,2,0.090702947845805%,0.101677681748856%
420000,2,2,0.090702947845805%,0.101677681748856%
430000,2,2,0.090702947845805%,0.101677681748856%
440000,2,2,0.090702947845805%,0.101677681748856%
450000,2,2,0.090702947845805%,0.101677681748856%
460000,2,2,0.090702947845805%,0.101677681748856%
470000,2,2,0.090702947845805%,0.101677681748856%
480000,2,2,0.090702947845805%,0.101677681748856%
490000,2,2,0.090702947845805%,0.101677681748856%
500000,2,2,0.090702947845805%,0.101677681748856%
510000,2,2,0.090702947845805%,0.101677681748856%
520000,2,2,0.090702947845805%,0.101677681748856%
530000,2,2,0.090702947845805%,0.101677681748856%
