Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,1,1,0.00143961533478255%,0.0018070765116195%
20000,6,4,0.00863769200869528%,0.00722830604647801%
30000,6,4,0.00863769200869528%,0.00722830604647801%
40000,7,5,0.0100773073434778%,0.00903538255809751%
50000,8,6,0.0115169226782604%,0.010842459069717%
60000,8,6,0.0115169226782604%,0.010842459069717%
70000,12,7,0.0172753840173906%,0.0126495355813365%
80000,13,8,0.0187149993521731%,0.014456612092956%
90000,15,10,0.0215942300217382%,0.018070765116195%
100000,16,11,0.0230338453565207%,0.0198778416278145%
110000,17,12,0.0244734606913033%,0.021684918139434%
120000,17,12,0.0244734606913033%,0.021684918139434%
130000,17,12,0.0244734606913033%,0.021684918139434%
140000,17,12,0.0244734606913033%,0.021684918139434%
150000,17,12,0.0244734606913033%,0.021684918139434%
160000,18,13,0.0259130760260858%,0.0234919946510535%
170000,18,13,0.0259130760260858%,0.0234919946510535%
180000,18,13,0.0259130760260858%,0.0234919946510535%
190000,29,14,0.0417488447086938%,0.025299071162673%
200000,29,14,0.0417488447086938%,0.025299071162673%
210000,29,14,0.0417488447086938%,0.025299071162673%
220000,30,15,0.0431884600434764%,0.0271061476742925%
230000,30,15,0.0431884600434764%,0.0271061476742925%
240000,31,16,0.0446280753782589%,0.028913224185912%
250000,32,17,0.0460676907130415%,0.0307203006975315%
260000,33,18,0.047507306047824%,0.032527377209151%
270000,34,19,0.0489469213826066%,0.0343344537207705%
280000,34,19,0.0489469213826066%,0.0343344537207705%
290000,34,19,0.0489469213826066%,0.0343344537207705%
300000,38,22,0.0547053827217368%,0.039755683255629%
310000,41,24,0.0590242287260844%,0.043369836278868%
320000,41,24,0.0590242287260844%,0.043369836278868%
330000,41,24,0.0590242287260844%,0.043369836278868%
340000,41,24,0.0590242287260844%,0.043369836278868%
350000,73,26,0.105091919439126%,0.0469839893021071%
360000,73,26,0.105091919439126%,0.0469839893021071%
370000,75,28,0.107971150108691%,0.0505981423253461%
380000,75,28,0.107971150108691%,0.0505981423253461%
390000,75,28,0.107971150108691%,0.0505981423253461%
400000,75,28,0.107971150108691%,0.0505981423253461%
410000,78,30,0.112289996113039%,0.0542122953485851%
420000,79,31,0.113729611447821%,0.0560193718602046%
430000,79,31,0.113729611447821%,0.0560193718602046%
440000,81,33,0.116608842117386%,0.0596335248834436%
450000,84,34,0.120927688121734%,0.0614406013950631%
460000,86,36,0.123806918791299%,0.0650547544183021%
470000,88,38,0.126686149460864%,0.0686689074415411%
480000,88,38,0.126686149460864%,0.0686689074415411%
490000,88,38,0.126686149460864%,0.0686689074415411%
500000,89,39,0.128125764795647%,0.0704759839531606%
510000,89,39,0.128125764795647%,0.0704759839531606%
520000,89,39,0.128125764795647%,0.0704759839531606%
530000,106,40,0.15259922548695%,0.0722830604647801%
540000,106,40,0.15259922548695%,0.0722830604647801%
550000,106,40,0.15259922548695%,0.0722830604647801%
560000,106,40,0.15259922548695%,0.0722830604647801%
570000,106,40,0.15259922548695%,0.0722830604647801%
580000,131,41,0.188589608856514%,0.0740901369763996%
590000,133,42,0.191468839526079%,0.0758972134880191%
600000,133,42,0.191468839526079%,0.0758972134880191%
610000,134,43,0.192908454860861%,0.0777042899996386%
620000,134,43,0.192908454860861%,0.0777042899996386%
630000,134,43,0.192908454860861%,0.0777042899996386%
640000,134,43,0.192908454860861%,0.0777042899996386%
650000,135,44,0.194348070195644%,0.0795113665112581%
660000,136,45,0.195787685530426%,0.0813184430228776%
670000,138,47,0.198666916199991%,0.0849325960461166%
680000,138,47,0.198666916199991%,0.0849325960461166%
690000,141,49,0.202985762204339%,0.0885467490693556%
700000,141,49,0.202985762204339%,0.0885467490693556%
710000,141,49,0.202985762204339%,0.0885467490693556%
720000,141,49,0.202985762204339%,0.0885467490693556%
730000,141,49,0.202985762204339%,0.0885467490693556%
740000,141,49,0.202985762204339%,0.0885467490693556%
750000,141,49,0.202985762204339%,0.0885467490693556%
760000,141,49,0.202985762204339%,0.0885467490693556%
770000,141,49,0.202985762204339%,0.0885467490693556%
780000,143,50,0.205864992873904%,0.0903538255809751%
790000,143,50,0.205864992873904%,0.0903538255809751%
800000,144,51,0.207304608208687%,0.0921609020925946%
810000,144,51,0.207304608208687%,0.0921609020925946%
820000,144,51,0.207304608208687%,0.0921609020925946%
830000,144,51,0.207304608208687%,0.0921609020925946%
840000,144,51,0.207304608208687%,0.0921609020925946%
850000,144,51,0.207304608208687%,0.0921609020925946%
860000,145,52,0.208744223543469%,0.0939679786042141%
870000,145,52,0.208744223543469%,0.0939679786042141%
880000,145,52,0.208744223543469%,0.0939679786042141%
890000,145,52,0.208744223543469%,0.0939679786042141%
900000,148,53,0.213063069547817%,0.0957750551158336%
910000,149,54,0.214502684882599%,0.0975821316274531%
920000,149,54,0.214502684882599%,0.0975821316274531%
930000,149,54,0.214502684882599%,0.0975821316274531%
940000,149,54,0.214502684882599%,0.0975821316274531%
950000,149,54,0.214502684882599%,0.0975821316274531%
960000,149,54,0.214502684882599%,0.0975821316274531%
970000,150,55,0.215942300217382%,0.0993892081390726%
980000,150,55,0.215942300217382%,0.0993892081390726%
990000,151,56,0.217381915552164%,0.101196284650692%
1000000,151,56,0.217381915552164%,0.101196284650692%
1010000,151,56,0.217381915552164%,0.101196284650692%
1020000,152,57,0.218821530886947%,0.103003361162312%
1030000,152,57,0.218821530886947%,0.103003361162312%
1040000,153,58,0.22026114622173%,0.104810437673931%
1050000,154,59,0.221700761556512%,0.106617514185551%
1060000,154,59,0.221700761556512%,0.106617514185551%
1070000,154,59,0.221700761556512%,0.106617514185551%
1080000,154,59,0.221700761556512%,0.106617514185551%
1090000,155,60,0.223140376891295%,0.10842459069717%
1100000,155,60,0.223140376891295%,0.10842459069717%
1110000,156,61,0.224579992226077%,0.11023166720879%
1120000,158,63,0.227459222895642%,0.113845820232029%
1130000,158,63,0.227459222895642%,0.113845820232029%
1140000,158,63,0.227459222895642%,0.113845820232029%
1150000,158,63,0.227459222895642%,0.113845820232029%
1160000,159,64,0.228898838230425%,0.115652896743648%
1170000,160,65,0.230338453565207%,0.117459973255268%
1180000,160,65,0.230338453565207%,0.117459973255268%
1190000,160,65,0.230338453565207%,0.117459973255268%
1200000,162,66,0.233217684234772%,0.119267049766887%
1210000,163,67,0.234657299569555%,0.121074126278507%
1220000,163,67,0.234657299569555%,0.121074126278507%
1230000,163,67,0.234657299569555%,0.121074126278507%
1240000,163,67,0.234657299569555%,0.121074126278507%
1250000,165,68,0.23753653023912%,0.122881202790126%
1260000,166,69,0.238976145573903%,0.124688279301746%
1270000,166,69,0.238976145573903%,0.124688279301746%
1280000,167,70,0.240415760908685%,0.126495355813365%
1290000,167,70,0.240415760908685%,0.126495355813365%
1300000,169,71,0.24329499157825%,0.128302432324985%
1310000,170,72,0.244734606913033%,0.130109508836604%
1320000,172,74,0.247613837582598%,0.133723661859843%
1330000,172,74,0.247613837582598%,0.133723661859843%
1340000,172,74,0.247613837582598%,0.133723661859843%
1350000,173,75,0.24905345291738%,0.135530738371463%
1360000,173,75,0.24905345291738%,0.135530738371463%
1370000,173,75,0.24905345291738%,0.135530738371463%
1380000,173,75,0.24905345291738%,0.135530738371463%
1390000,174,76,0.250493068252163%,0.137337814883082%
1400000,174,76,0.250493068252163%,0.137337814883082%
1410000,174,76,0.250493068252163%,0.137337814883082%
1420000,174,76,0.250493068252163%,0.137337814883082%
1430000,174,76,0.250493068252163%,0.137337814883082%
1440000,175,77,0.251932683586946%,0.139144891394702%
1450000,175,77,0.251932683586946%,0.139144891394702%
1460000,175,77,0.251932683586946%,0.139144891394702%
1470000,175,77,0.251932683586946%,0.139144891394702%
1480000,175,77,0.251932683586946%,0.139144891394702%
1490000,175,77,0.251932683586946%,0.139144891394702%
1500000,175,77,0.251932683586946%,0.139144891394702%
1510000,175,77,0.251932683586946%,0.139144891394702%
1520000,175,77,0.251932683586946%,0.139144891394702%
1530000,194,79,0.279285374947814%,0.142759044417941%
1540000,194,79,0.279285374947814%,0.142759044417941%
1550000,195,80,0.280724990282597%,0.14456612092956%
1560000,195,80,0.280724990282597%,0.14456612092956%
1570000,195,80,0.280724990282597%,0.14456612092956%
1580000,197,81,0.283604220952162%,0.14637319744118%
1590000,206,82,0.296560758965205%,0.148180273952799%
1600000,206,82,0.296560758965205%,0.148180273952799%
1610000,206,82,0.296560758965205%,0.148180273952799%
1620000,206,82,0.296560758965205%,0.148180273952799%
1630000,206,82,0.296560758965205%,0.148180273952799%
1640000,206,82,0.296560758965205%,0.148180273952799%
1650000,207,83,0.298000374299987%,0.149987350464419%
1660000,207,83,0.298000374299987%,0.149987350464419%
1670000,207,83,0.298000374299987%,0.149987350464419%
1680000,208,84,0.29943998963477%,0.151794426976038%
1690000,208,84,0.29943998963477%,0.151794426976038%
1700000,209,85,0.300879604969552%,0.153601503487658%
1710000,209,85,0.300879604969552%,0.153601503487658%
1720000,210,86,0.302319220304335%,0.155408579999277%
1730000,210,86,0.302319220304335%,0.155408579999277%
1740000,210,86,0.302319220304335%,0.155408579999277%
1750000,210,86,0.302319220304335%,0.155408579999277%
1760000,210,86,0.302319220304335%,0.155408579999277%
1770000,211,87,0.303758835639117%,0.157215656510897%
1780000,211,87,0.303758835639117%,0.157215656510897%
1790000,211,87,0.303758835639117%,0.157215656510897%
1800000,211,87,0.303758835639117%,0.157215656510897%
1810000,213,88,0.306638066308682%,0.159022733022516%
1820000,214,89,0.308077681643465%,0.160829809534136%
1830000,215,90,0.309517296978247%,0.162636886045755%
1840000,215,90,0.309517296978247%,0.162636886045755%
1850000,215,90,0.309517296978247%,0.162636886045755%
1860000,215,90,0.309517296978247%,0.162636886045755%
1870000,215,90,0.309517296978247%,0.162636886045755%
1880000,215,90,0.309517296978247%,0.162636886045755%
1890000,216,91,0.31095691231303%,0.164443962557375%
1900000,216,91,0.31095691231303%,0.164443962557375%
1910000,216,91,0.31095691231303%,0.164443962557375%
1920000,216,91,0.31095691231303%,0.164443962557375%
1930000,217,92,0.312396527647813%,0.166251039068994%
1940000,217,92,0.312396527647813%,0.166251039068994%
1950000,217,92,0.312396527647813%,0.166251039068994%
1960000,217,92,0.312396527647813%,0.166251039068994%
1970000,217,92,0.312396527647813%,0.166251039068994%
1980000,217,92,0.312396527647813%,0.166251039068994%
1990000,217,92,0.312396527647813%,0.166251039068994%
2000000,218,93,0.313836142982595%,0.168058115580614%
2010000,219,94,0.315275758317378%,0.169865192092233%
2020000,221,96,0.318154988986943%,0.173479345115472%
2030000,222,97,0.319594604321725%,0.175286421627092%
2040000,222,97,0.319594604321725%,0.175286421627092%
2050000,223,98,0.321034219656508%,0.177093498138711%
2060000,223,98,0.321034219656508%,0.177093498138711%
2070000,223,98,0.321034219656508%,0.177093498138711%
2080000,227,101,0.326792680995638%,0.18251472767357%
2090000,227,101,0.326792680995638%,0.18251472767357%
2100000,229,102,0.329671911665203%,0.184321804185189%
2110000,229,102,0.329671911665203%,0.184321804185189%
2120000,229,102,0.329671911665203%,0.184321804185189%
2130000,229,102,0.329671911665203%,0.184321804185189%
2140000,229,102,0.329671911665203%,0.184321804185189%
2150000,230,103,0.331111526999986%,0.186128880696809%
2160000,231,104,0.332551142334768%,0.187935957208428%
2170000,231,104,0.332551142334768%,0.187935957208428%
2180000,231,104,0.332551142334768%,0.187935957208428%
2190000,231,104,0.332551142334768%,0.187935957208428%
2200000,231,104,0.332551142334768%,0.187935957208428%
2210000,231,104,0.332551142334768%,0.187935957208428%
2220000,231,104,0.332551142334768%,0.187935957208428%
2230000,231,104,0.332551142334768%,0.187935957208428%
2240000,231,104,0.332551142334768%,0.187935957208428%
2250000,232,105,0.333990757669551%,0.189743033720048%
2260000,232,105,0.333990757669551%,0.189743033720048%
2270000,233,106,0.335430373004333%,0.191550110231667%
2280000,233,106,0.335430373004333%,0.191550110231667%
2290000,233,106,0.335430373004333%,0.191550110231667%
2300000,233,106,0.335430373004333%,0.191550110231667%
2310000,234,107,0.336869988339116%,0.193357186743287%
2320000,234,107,0.336869988339116%,0.193357186743287%
2330000,239,108,0.344068065013029%,0.195164263254906%
2340000,239,108,0.344068065013029%,0.195164263254906%
2350000,241,109,0.346947295682594%,0.196971339766526%
2360000,242,110,0.348386911017376%,0.198778416278145%
2370000,242,110,0.348386911017376%,0.198778416278145%
2380000,243,111,0.349826526352159%,0.200585492789765%
2390000,243,111,0.349826526352159%,0.200585492789765%
2400000,245,113,0.352705757021724%,0.204199645813004%
2410000,245,113,0.352705757021724%,0.204199645813004%
2420000,245,113,0.352705757021724%,0.204199645813004%
2430000,247,115,0.355584987691289%,0.207813798836243%
2440000,247,115,0.355584987691289%,0.207813798836243%
2450000,248,116,0.357024603026071%,0.209620875347862%
2460000,248,116,0.357024603026071%,0.209620875347862%
2470000,251,117,0.361343449030419%,0.211427951859482%
2480000,251,117,0.361343449030419%,0.211427951859482%
2490000,251,117,0.361343449030419%,0.211427951859482%
2500000,252,118,0.362783064365202%,0.213235028371101%
2510000,252,118,0.362783064365202%,0.213235028371101%
2520000,252,118,0.362783064365202%,0.213235028371101%
2530000,252,118,0.362783064365202%,0.213235028371101%
2540000,252,118,0.362783064365202%,0.213235028371101%
2550000,253,119,0.364222679699984%,0.215042104882721%
2560000,254,120,0.365662295034767%,0.21684918139434%
2570000,254,120,0.365662295034767%,0.21684918139434%
2580000,257,122,0.369981141039114%,0.220463334417579%
2590000,264,123,0.380058448382592%,0.222270410929199%
2600000,265,124,0.381498063717375%,0.224077487440818%
2610000,269,126,0.387256525056505%,0.227691640464057%
2620000,269,126,0.387256525056505%,0.227691640464057%
2630000,269,126,0.387256525056505%,0.227691640464057%
2640000,270,127,0.388696140391287%,0.229498716975677%
2650000,270,127,0.388696140391287%,0.229498716975677%
2660000,271,128,0.39013575572607%,0.231305793487296%
2670000,271,128,0.39013575572607%,0.231305793487296%
2680000,271,128,0.39013575572607%,0.231305793487296%
2690000,272,129,0.391575371060853%,0.233112869998916%
2700000,272,129,0.391575371060853%,0.233112869998916%
2710000,272,129,0.391575371060853%,0.233112869998916%
2720000,272,129,0.391575371060853%,0.233112869998916%
2730000,273,130,0.393014986395635%,0.234919946510535%
2740000,274,131,0.394454601730418%,0.236727023022155%
2750000,274,131,0.394454601730418%,0.236727023022155%
2760000,274,131,0.394454601730418%,0.236727023022155%
2770000,284,133,0.408850755078243%,0.240341176045394%
2780000,284,133,0.408850755078243%,0.240341176045394%
