Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,3,1,0.058343057176196%,0.0236742424242424%
70000,3,1,0.058343057176196%,0.0236742424242424%
80000,3,1,0.058343057176196%,0.0236742424242424%
90000,3,1,0.058343057176196%,0.0236742424242424%
100000,3,1,0.058343057176196%,0.0236742424242424%
110000,3,1,0.058343057176196%,0.0236742424242424%
120000,3,1,0.058343057176196%,0.0236742424242424%
130000,3,1,0.058343057176196%,0.0236742424242424%
140000,3,1,0.058343057176196%,0.0236742424242424%
150000,3,1,0.058343057176196%,0.0236742424242424%
160000,3,1,0.058343057176196%,0.0236742424242424%
170000,3,1,0.058343057176196%,0.0236742424242424%
180000,3,1,0.058343057176196%,0.0236742424242424%
190000,3,1,0.058343057176196%,0.0236742424242424%
200000,3,1,0.058343057176196%,0.0236742424242424%
210000,3,1,0.058343057176196%,0.0236742424242424%
220000,3,1,0.058343057176196%,0.0236742424242424%
230000,3,1,0.058343057176196%,0.0236742424242424%
240000,3,1,0.058343057176196%,0.0236742424242424%
250000,3,1,0.058343057176196%,0.0236742424242424%
260000,3,1,0.058343057176196%,0.0236742424242424%
270000,3,1,0.058343057176196%,0.0236742424242424%
280000,3,1,0.058343057176196%,0.0236742424242424%
290000,3,1,0.058343057176196%,0.0236742424242424%
300000,3,1,0.058343057176196%,0.0236742424242424%
310000,3,1,0.058343057176196%,0.0236742424242424%
320000,3,1,0.058343057176196%,0.0236742424242424%
330000,3,1,0.058343057176196%,0.0236742424242424%
340000,3,1,0.058343057176196%,0.0236742424242424%
350000,3,1,0.058343057176196%,0.0236742424242424%
360000,3,1,0.058343057176196%,0.0236742424242424%
370000,3,1,0.058343057176196%,0.0236742424242424%
380000,3,1,0.058343057176196%,0.0236742424242424%
390000,3,1,0.058343057176196%,0.0236742424242424%
400000,3,1,0.058343057176196%,0.0236742424242424%
410000,3,1,0.058343057176196%,0.0236742424242424%
420000,3,1,0.058343057176196%,0.0236742424242424%
430000,3,1,0.058343057176196%,0.0236742424242424%
440000,3,1,0.058343057176196%,0.0236742424242424%
450000,3,1,0.058343057176196%,0.0236742424242424%
460000,3,1,0.058343057176196%,0.0236742424242424%
