Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,1,1,0.0120510966497951%,0.0134138162307176%
70000,1,1,0.0120510966497951%,0.0134138162307176%
80000,1,1,0.0120510966497951%,0.0134138162307176%
90000,1,1,0.0120510966497951%,0.0134138162307176%
100000,1,1,0.0120510966497951%,0.0134138162307176%
110000,1,1,0.0120510966497951%,0.0134138162307176%
120000,2,2,0.0241021932995903%,0.0268276324614353%
130000,2,2,0.0241021932995903%,0.0268276324614353%
140000,2,2,0.0241021932995903%,0.0268276324614353%
150000,2,2,0.0241021932995903%,0.0268276324614353%
160000,2,2,0.0241021932995903%,0.0268276324614353%
170000,2,2,0.0241021932995903%,0.0268276324614353%
180000,2,2,0.0241021932995903%,0.0268276324614353%
190000,2,2,0.0241021932995903%,0.0268276324614353%
200000,2,2,0.0241021932995903%,0.0268276324614353%
210000,2,2,0.0241021932995903%,0.0268276324614353%
220000,2,2,0.0241021932995903%,0.0268276324614353%
230000,2,2,0.0241021932995903%,0.0268276324614353%
240000,2,2,0.0241021932995903%,0.0268276324614353%
250000,2,2,0.0241021932995903%,0.0268276324614353%
260000,2,2,0.0241021932995903%,0.0268276324614353%
270000,2,2,0.0241021932995903%,0.0268276324614353%
280000,2,2,0.0241021932995903%,0.0268276324614353%
290000,3,3,0.0361532899493854%,0.0402414486921529%
300000,3,3,0.0361532899493854%,0.0402414486921529%
310000,3,3,0.0361532899493854%,0.0402414486921529%
320000,3,3,0.0361532899493854%,0.0402414486921529%
330000,3,3,0.0361532899493854%,0.0402414486921529%
340000,3,3,0.0361532899493854%,0.0402414486921529%
350000,3,3,0.0361532899493854%,0.0402414486921529%
360000,3,3,0.0361532899493854%,0.0402414486921529%
370000,3,3,0.0361532899493854%,0.0402414486921529%
380000,3,3,0.0361532899493854%,0.0402414486921529%
390000,3,3,0.0361532899493854%,0.0402414486921529%
400000,3,3,0.0361532899493854%,0.0402414486921529%
410000,3,3,0.0361532899493854%,0.0402414486921529%
420000,3,3,0.0361532899493854%,0.0402414486921529%
430000,3,3,0.0361532899493854%,0.0402414486921529%
440000,3,3,0.0361532899493854%,0.0402414486921529%
450000,3,3,0.0361532899493854%,0.0402414486921529%
