Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,0,0,0%,0%
50000,0,0,0%,0%
60000,0,0,0%,0%
70000,0,0,0%,0%
80000,0,0,0%,0%
90000,0,0,0%,0%
100000,0,0,0%,0%
110000,0,0,0%,0%
120000,0,0,0%,0%
130000,0,0,0%,0%
140000,0,0,0%,0%
150000,0,0,0%,0%
160000,0,0,0%,0%
170000,0,0,0%,0%
180000,0,0,0%,0%
190000,0,0,0%,0%
200000,0,0,0%,0%
210000,0,0,0%,0%
220000,0,0,0%,0%
230000,0,0,0%,0%
240000,1,1,0.0120510966497951%,0.0134138162307176%
250000,1,1,0.0120510966497951%,0.0134138162307176%
260000,1,1,0.0120510966497951%,0.0134138162307176%
270000,1,1,0.0120510966497951%,0.0134138162307176%
280000,1,1,0.0120510966497951%,0.0134138162307176%
290000,1,1,0.0120510966497951%,0.0134138162307176%
300000,1,1,0.0120510966497951%,0.0134138162307176%
310000,1,1,0.0120510966497951%,0.0134138162307176%
320000,1,1,0.0120510966497951%,0.0134138162307176%
330000,1,1,0.0120510966497951%,0.0134138162307176%
340000,1,1,0.0120510966497951%,0.0134138162307176%
350000,1,1,0.0120510966497951%,0.0134138162307176%
360000,1,1,0.0120510966497951%,0.0134138162307176%
370000,1,1,0.0120510966497951%,0.0134138162307176%
380000,1,1,0.0120510966497951%,0.0134138162307176%
390000,2,2,0.0241021932995903%,0.0268276324614353%
400000,2,2,0.0241021932995903%,0.0268276324614353%
410000,2,2,0.0241021932995903%,0.0268276324614353%
420000,2,2,0.0241021932995903%,0.0268276324614353%
430000,2,2,0.0241021932995903%,0.0268276324614353%
440000,2,2,0.0241021932995903%,0.0268276324614353%
450000,2,2,0.0241021932995903%,0.0268276324614353%
460000,2,2,0.0241021932995903%,0.0268276324614353%
470000,2,2,0.0241021932995903%,0.0268276324614353%
480000,2,2,0.0241021932995903%,0.0268276324614353%
490000,2,2,0.0241021932995903%,0.0268276324614353%
500000,2,2,0.0241021932995903%,0.0268276324614353%
510000,2,2,0.0241021932995903%,0.0268276324614353%
520000,3,3,0.0361532899493854%,0.0402414486921529%
530000,4,4,0.0482043865991805%,0.0536552649228706%
540000,4,4,0.0482043865991805%,0.0536552649228706%
