Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,373,3,0.53697651987389%,0.00542122953485851%
20000,373,3,0.53697651987389%,0.00542122953485851%
30000,373,3,0.53697651987389%,0.00542122953485851%
40000,373,3,0.53697651987389%,0.00542122953485851%
50000,374,4,0.538416135208672%,0.00722830604647801%
60000,378,7,0.544174596547802%,0.0126495355813365%
70000,378,7,0.544174596547802%,0.0126495355813365%
80000,380,9,0.547053827217368%,0.0162636886045755%
90000,382,11,0.549933057886933%,0.0198778416278145%
100000,382,11,0.549933057886933%,0.0198778416278145%
110000,383,12,0.551372673221715%,0.021684918139434%
120000,383,12,0.551372673221715%,0.021684918139434%
130000,384,13,0.552812288556498%,0.0234919946510535%
140000,384,13,0.552812288556498%,0.0234919946510535%
150000,386,15,0.555691519226063%,0.0271061476742925%
160000,387,16,0.557131134560845%,0.028913224185912%
170000,389,18,0.56001036523041%,0.032527377209151%
180000,390,19,0.561449980565193%,0.0343344537207705%
190000,391,20,0.562889595899976%,0.03614153023239%
200000,392,21,0.564329211234758%,0.0379486067440095%
210000,393,22,0.565768826569541%,0.039755683255629%
220000,406,24,0.584483825921714%,0.043369836278868%
230000,409,26,0.588802671926061%,0.0469839893021071%
240000,409,26,0.588802671926061%,0.0469839893021071%
250000,409,26,0.588802671926061%,0.0469839893021071%
260000,416,27,0.598879979269539%,0.0487910658137266%
270000,416,27,0.598879979269539%,0.0487910658137266%
280000,416,27,0.598879979269539%,0.0487910658137266%
290000,416,27,0.598879979269539%,0.0487910658137266%
300000,418,29,0.601759209939104%,0.0524052188369656%
310000,419,30,0.603198825273887%,0.0542122953485851%
320000,419,30,0.603198825273887%,0.0542122953485851%
330000,419,30,0.603198825273887%,0.0542122953485851%
340000,424,31,0.6103969019478%,0.0560193718602046%
350000,424,31,0.6103969019478%,0.0560193718602046%
360000,424,31,0.6103969019478%,0.0560193718602046%
370000,424,31,0.6103969019478%,0.0560193718602046%
380000,425,32,0.611836517282582%,0.0578264483718241%
390000,425,32,0.611836517282582%,0.0578264483718241%
400000,425,32,0.611836517282582%,0.0578264483718241%
410000,425,32,0.611836517282582%,0.0578264483718241%
420000,426,33,0.613276132617365%,0.0596335248834436%
430000,427,34,0.614715747952147%,0.0614406013950631%
440000,428,35,0.61615536328693%,0.0632476779066826%
450000,430,37,0.619034593956495%,0.0668618309299216%
460000,431,38,0.620474209291277%,0.0686689074415411%
470000,432,39,0.62191382462606%,0.0704759839531606%
480000,439,41,0.631991131969538%,0.0740901369763996%
490000,443,43,0.637749593308668%,0.0777042899996386%
500000,444,44,0.639189208643451%,0.0795113665112581%
510000,446,46,0.642068439313015%,0.0831255195344971%
520000,447,47,0.643508054647798%,0.0849325960461166%
530000,448,48,0.644947669982581%,0.0867396725577361%
540000,448,48,0.644947669982581%,0.0867396725577361%
550000,448,48,0.644947669982581%,0.0867396725577361%
560000,448,48,0.644947669982581%,0.0867396725577361%
570000,451,51,0.649266515986928%,0.0921609020925946%
580000,452,52,0.650706131321711%,0.0939679786042141%
590000,453,53,0.652145746656493%,0.0957750551158336%
600000,456,55,0.656464592660841%,0.0993892081390726%
610000,456,55,0.656464592660841%,0.0993892081390726%
620000,458,57,0.659343823330406%,0.103003361162312%
630000,458,57,0.659343823330406%,0.103003361162312%
640000,459,58,0.660783438665189%,0.104810437673931%
650000,460,59,0.662223053999971%,0.106617514185551%
660000,460,59,0.662223053999971%,0.106617514185551%
670000,493,62,0.709730360047795%,0.112038743720409%
680000,494,63,0.711169975382578%,0.113845820232029%
690000,495,64,0.71260959071736%,0.115652896743648%
700000,502,67,0.722686898060838%,0.121074126278507%
710000,502,67,0.722686898060838%,0.121074126278507%
720000,505,68,0.727005744065186%,0.122881202790126%
730000,505,68,0.727005744065186%,0.122881202790126%
740000,505,68,0.727005744065186%,0.122881202790126%
750000,506,69,0.728445359399968%,0.124688279301746%
760000,506,69,0.728445359399968%,0.124688279301746%
770000,514,71,0.739962282078229%,0.128302432324985%
780000,515,72,0.741401897413011%,0.130109508836604%
790000,515,72,0.741401897413011%,0.130109508836604%
800000,518,75,0.745720743417359%,0.135530738371463%
810000,522,76,0.751479204756489%,0.137337814883082%
820000,522,76,0.751479204756489%,0.137337814883082%
830000,553,79,0.796107280134748%,0.142759044417941%
840000,555,81,0.798986510804313%,0.14637319744118%
850000,558,84,0.803305356808661%,0.151794426976038%
860000,560,85,0.806184587478226%,0.153601503487658%
870000,561,86,0.807624202813008%,0.155408579999277%
880000,561,86,0.807624202813008%,0.155408579999277%
890000,563,88,0.810503433482574%,0.159022733022516%
900000,565,90,0.813382664152138%,0.162636886045755%
910000,565,90,0.813382664152138%,0.162636886045755%
920000,566,91,0.814822279486921%,0.164443962557375%
930000,568,93,0.817701510156486%,0.168058115580614%
940000,569,94,0.819141125491269%,0.169865192092233%
950000,570,95,0.820580740826051%,0.171672268603853%
960000,570,95,0.820580740826051%,0.171672268603853%
970000,572,97,0.823459971495616%,0.175286421627092%
980000,573,98,0.824899586830399%,0.177093498138711%
990000,575,99,0.827778817499964%,0.178900574650331%
1000000,575,99,0.827778817499964%,0.178900574650331%
1010000,576,100,0.829218432834747%,0.18070765116195%
1020000,576,100,0.829218432834747%,0.18070765116195%
1030000,579,101,0.833537278839094%,0.18251472767357%
1040000,587,103,0.845054201517354%,0.186128880696809%
1050000,587,103,0.845054201517354%,0.186128880696809%
1060000,588,104,0.846493816852137%,0.187935957208428%
1070000,588,104,0.846493816852137%,0.187935957208428%
1080000,588,104,0.846493816852137%,0.187935957208428%
1090000,588,104,0.846493816852137%,0.187935957208428%
1100000,588,104,0.846493816852137%,0.187935957208428%
1110000,589,105,0.84793343218692%,0.189743033720048%
1120000,589,105,0.84793343218692%,0.189743033720048%
1130000,591,107,0.850812662856485%,0.193357186743287%
1140000,591,107,0.850812662856485%,0.193357186743287%
1150000,596,108,0.858010739530398%,0.195164263254906%
1160000,596,108,0.858010739530398%,0.195164263254906%
1170000,596,108,0.858010739530398%,0.195164263254906%
1180000,597,109,0.85945035486518%,0.196971339766526%
