Guesses,Accounts Cracked,Passwords Cracked,% Accounts,% Passwords
10000,0,0,0%,0%
20000,0,0,0%,0%
30000,0,0,0%,0%
40000,4,1,0.0777907429015947%,0.0236742424242424%
50000,4,1,0.0777907429015947%,0.0236742424242424%
60000,50,2,0.972384286269934%,0.0473484848484848%
70000,50,2,0.972384286269934%,0.0473484848484848%
80000,50,2,0.972384286269934%,0.0473484848484848%
90000,50,2,0.972384286269934%,0.0473484848484848%
100000,50,2,0.972384286269934%,0.0473484848484848%
110000,62,3,1.20575651497472%,0.0710227272727273%
120000,62,3,1.20575651497472%,0.0710227272727273%
130000,62,3,1.20575651497472%,0.0710227272727273%
140000,62,3,1.20575651497472%,0.0710227272727273%
150000,62,3,1.20575651497472%,0.0710227272727273%
160000,62,3,1.20575651497472%,0.0710227272727273%
170000,65,4,1.26409957215091%,0.0946969696969697%
180000,66,5,1.28354725787631%,0.118371212121212%
190000,66,5,1.28354725787631%,0.118371212121212%
200000,66,5,1.28354725787631%,0.118371212121212%
210000,66,5,1.28354725787631%,0.118371212121212%
220000,66,5,1.28354725787631%,0.118371212121212%
230000,66,5,1.28354725787631%,0.118371212121212%
240000,66,5,1.28354725787631%,0.118371212121212%
250000,66,5,1.28354725787631%,0.118371212121212%
260000,66,5,1.28354725787631%,0.118371212121212%
270000,66,5,1.28354725787631%,0.118371212121212%
280000,66,5,1.28354725787631%,0.118371212121212%
290000,66,5,1.28354725787631%,0.118371212121212%
300000,66,5,1.28354725787631%,0.118371212121212%
310000,66,5,1.28354725787631%,0.118371212121212%
320000,66,5,1.28354725787631%,0.118371212121212%
330000,66,5,1.28354725787631%,0.118371212121212%
340000,66,5,1.28354725787631%,0.118371212121212%
350000,66,5,1.28354725787631%,0.118371212121212%
360000,66,5,1.28354725787631%,0.118371212121212%
370000,66,5,1.28354725787631%,0.118371212121212%
380000,66,5,1.28354725787631%,0.118371212121212%
390000,66,5,1.28354725787631%,0.118371212121212%
400000,66,5,1.28354725787631%,0.118371212121212%
410000,66,5,1.28354725787631%,0.118371212121212%
420000,66,5,1.28354725787631%,0.118371212121212%
430000,66,5,1.28354725787631%,0.118371212121212%
440000,66,5,1.28354725787631%,0.118371212121212%
450000,66,5,1.28354725787631%,0.118371212121212%
460000,66,5,1.28354725787631%,0.118371212121212%
